EPI,Between-EPI,Within-EPI,Gini,Median Income,Rurality (%),Poverty (%)
0.8993336047481897,0.8674306167016134,0.0319029880465763,0.358,23650,0.32999999999999996,10.3
0.8775523283451918,0.8443250619099827,0.0332272664352091,0.351,19310,0.46799999999999997,18.4
0.90346209262543,0.8713831250530666,0.0320789675723634,0.329,19990,0.41700000000000004,15.5
0.9015693970589758,0.8704607795347558,0.03110861752422,0.34,20430,0.381,16.8
0.9069518182435048,0.8762353149900854,0.0307165032534193,0.318,20760,0.405,13.9
0.9028189055264852,0.8639778466816613,0.0388410588448239,0.393,22440,0.040999999999999925,15.8
0.9048253846642071,0.8713999519559523,0.033425432708254904,0.319,20600,0.367,14.4
0.8840493582709897,0.8460993208566164,0.0379500374143733,0.348,19410,0.42700000000000005,18.9
0.9046817822903411,0.8686768761846028,0.036004906105738296,0.336,19440,0.44499999999999995,18.0
0.8919375831010902,0.8534616319141509,0.0384759511869393,0.357,20240,0.387,16.2
0.8987769572941533,0.8667815916549831,0.0319953656391702,0.361,18890,0.384,20.7
0.910745909318718,0.8775744893719348,0.0331714199467832,0.316,20440,0.5229999999999999,14.0
0.9009909995941423,0.8491062759222957,0.0518847236718466,0.397,21730,0.007000000000000006,18.7
0.892550982561357,0.8547017792486852,0.0378492033126718,0.331,21660,0.31099999999999994,12.4
0.9069992385600147,0.875181431388342,0.0318178071716727,0.306,20160,0.647,13.0
0.894944916741977,0.8637519016366869,0.03119301510529,0.334,20690,0.5329999999999999,15.0
0.8973213374508151,0.8620555458026453,0.0352657916481698,0.331,21500,0.391,12.8
0.8969137150204896,0.8617571573046492,0.0351565577158403,0.326,20910,0.44700000000000006,14.3
0.9199912889225766,0.8885210145205582,0.0314702744020184,0.312,20970,0.44399999999999995,13.1
0.9010720497271771,0.857324985320802,0.0437470644063751,0.33,22650,0.371,11.2
0.8939375478073458,0.8645923608034138,0.029345187003931898,0.308,21210,0.392,11.7
0.9088722894825343,0.8759034979272055,0.0329687915553288,0.322,19110,0.786,18.7
0.9055387661340744,0.876289817163202,0.0292489489708724,0.324,20030,0.51,16.3
0.9043430952008019,0.8604273003124265,0.0439157948883754,0.344,22970,0.346,12.1
0.9012745991072697,0.8652520941138997,0.03602250499337,0.35,20990,0.28700000000000003,14.8
0.8840443479325445,0.8519714586287397,0.0320728893038048,0.319,21690,0.44100000000000006,12.5
0.8946482523716572,0.853831685042916,0.0408165673287414,0.314,22190,0.386,12.0
0.8930781126800544,0.8652390106155303,0.0278391020645242,0.31,21890,0.22099999999999997,10.6
0.921493411780487,0.8767913717587332,0.044702040021753806,0.374,22120,0.265,16.1
0.9354607617605747,0.8727333793824191,0.0627273823781556,0.384,20080,0.29799999999999993,20.6
0.8995005129048145,0.8591796535486347,0.0403208593561798,0.372,19860,0.17900000000000005,19.8
0.9054364808405283,0.8637665703496318,0.0416699104908965,0.364,23520,0.132,13.3
0.9145370358068128,0.8819296785265809,0.0326073572802318,0.326,20690,0.639,14.9
0.9019895424580957,0.8583433769543756,0.043646165503720094,0.347,22930,0.133,12.6
0.8991294432069237,0.8550590517794673,0.0440703914274564,0.391,20390,0.1090000000000001,19.7
0.8884216160039671,0.8514621333189611,0.0369594826850059,0.322,22390,0.267,10.5
0.8948494221924725,0.865330423875085,0.0295189983173876,0.315,20050,0.45100000000000007,14.5
0.8931596557940992,0.8577453443349065,0.035414311459192695,0.331,22030,0.23199999999999998,13.0
0.897735737118765,0.8566606172512945,0.0410751198674705,0.326,23200,0.18799999999999994,11.3
