EPI,Between-EPI,Within-EPI,Gini,Personal Income,Household Income,Rurality (%),Poverty (%),state
0.9981041002220576,0.8958628043892278,0.1022412958328299,0.6118554472923279,52327.0,70821.0,0.11566848044278731,12.8,ARIZONA
0.8915266244454143,0.6497106525913954,0.2418159718540191,0.6192117929458618,47154.0,50784.0,0.452568147510558,15.2,ARKANSAS
0.8896914468181899,0.6945460581466544,0.19514538867153552,0.6676006317138672,70647.0,81575.0,0.06325934766029528,11.5,CALIFORNIA
0.9719160153717972,0.7350603678578879,0.2368556475139092,0.6150405406951904,65358.0,84954.0,0.16896937861573375,9.0,COLORADO
0.8655587071039744,0.7888373576948788,0.0767213494090956,0.672940731048584,78463.0,80958.0,0.12053974383876238,9.7,CONNECTICUT
0.1106609230476112,0.1106609230476112,0.0,0.6489786505699158,89735.0,90640.0,0.0,15.0,DISTRICT OF COLUMBIA
0.9998351371275547,0.6324659886448715,0.3673691484826832,0.6291898488998413,51987.0,61497.0,0.26109903612330365,14.0,GEORGIA
0.9613254318519096,0.6850637604437391,0.2762616714081705,0.6327947974205017,62139.0,79253.0,0.12152985388113198,11.0,ILLINOIS
0.9669049999606145,0.7258968637146996,0.2410081362459149,0.5764332413673401,52219.0,70190.0,0.2681395121731357,11.6,INDIANA
0.9372550379489539,0.6566149260499465,0.2806401118990074,0.6300914883613586,50809.0,57206.0,0.2695674920011949,17.8,LOUISIANA
0.996266987708122,0.7324670983525001,0.263799889355622,0.5878055691719055,62240.0,80441.0,0.3021147315462118,8.3,MINNESOTA
0.9493584475852226,0.6771802634377033,0.2721781841475192,0.5844727158546448,42716.0,46637.0,0.5088031166084447,18.7,MISSISSIPPI
0.9632628954456199,0.7442231126316607,0.21903978281395908,0.6078420877456665,54106.0,64999.0,0.4781587531714389,12.4,MONTANA
0.9576154080640167,0.7124397460029436,0.24517566206107322,0.589526355266571,46760.0,53463.0,0.248915006634213,16.8,NEW MEXICO
0.883310948303323,0.6668594265684973,0.21645152173482568,0.5844799280166626,60864.0,68882.0,0.42664205758776436,10.2,NORTH DAKOTA
0.9076534998526777,0.6836192731751309,0.2240342266775467,0.6011737585067749,50518.0,60096.0,0.3444457929628966,14.3,OKLAHOMA
0.9986950400767995,0.7313703748160056,0.2673246652607938,0.602458119392395,60685.0,72627.0,0.2245894115924822,10.9,PENNSYLVANIA
0.9310899465215567,0.6289901307373658,0.3020998157841909,0.6104544997215271,52351.0,62166.0,0.34376396848939933,13.6,TENNESSEE
0.9834948311237811,0.6900281640530046,0.2934666670707766,0.5973942875862122,62189.0,80268.0,0.269487500367763,9.2,VIRGINIA
0.9662864248922871,0.7547905119104013,0.2114959129818858,0.5734153389930725,56324.0,68687.0,0.16451457925274401,10.9,DELAWARE
0.7787947848620619,0.6203279044001796,0.1584668804618823,0.5450440049171448,45240.0,46836.0,0.5187268189636893,15.8,WEST VIRGINIA
1.0017658242869945,0.7598366813477004,0.2419291429392941,0.5772997736930847,55941.0,69943.0,0.3356100806368643,10.0,WISCONSIN
0.7618061491010284,0.5309799755917829,0.2308261735092454,0.6578660607337952,65782.0,71052.0,0.3780301525959644,9.2,WYOMING
0.9488736129573924,0.6651649974608802,0.28370861549651216,0.585331916809082,46179.0,56929.0,0.4165240465169604,14.9,ALABAMA
1.0040321454104364,0.8182981926974775,0.1857339527129589,0.6931326389312744,57292.0,59734.0,0.0889444223200639,12.4,FLORIDA
0.9099255759365636,0.6869756030739362,0.2229499728626275,0.6109022498130798,49491.0,76918.0,0.3299360882664766,10.1,IDAHO
0.9911102506204118,0.7468875141213568,0.24422273649905502,0.603488564491272,55974.0,75979.0,0.26941936320917276,10.6,KANSAS
0.9314263562706458,0.6091598778458531,0.3222664784247927,0.5908116102218628,65685.0,97332.0,0.12851025763258497,9.0,MARYLAND
0.9518102840880811,0.774383260700162,0.1774270233879192,0.6360195279121399,71505.0,88559.0,0.05078172267713354,9.4,NEW JERSEY
1.000333707373735,0.7199985282508043,0.2803351791229309,0.6007347106933594,51900.0,62891.0,0.35583409281233996,12.9,NORTH CAROLINA
0.953517334383452,0.7677938097374365,0.1857235246460155,0.593585193157196,49105.0,62542.0,0.33418238344974444,13.8,SOUTH CAROLINA
0.9571060522330943,0.7414698663521992,0.21563618588089511,0.6046215891838074,68350.0,87648.0,0.17529993828138077,9.5,WASHINGTON
0.8140116699891737,0.6466035503007338,0.1674081196884399,0.5789884328842163,59296.0,76079.0,0.6696182477157802,9.4,VERMONT
0.9651235161441384,0.7063617836368642,0.2587617325072742,0.6048631072044373,52225.0,87649.0,0.1334927003834812,7.3,UTAH
0.9943318921118612,0.7841085216611468,0.2102233704507145,0.5627623200416565,53312.0,72429.0,0.3651659624204122,10.2,IOWA
0.9126089928811678,0.6458312823791788,0.26677771050198906,0.5831708312034607,47525.0,55629.0,0.4201168141372504,14.9,KENTUCKY
0.9923069334623674,0.8311300830236863,0.1611768504386811,0.5570027232170105,54912.0,71139.0,0.6520496515800119,10.6,MAINE
0.8027833983545445,0.66710791330135,0.1356754850531945,0.646236777305603,78388.0,86566.0,0.08614391718128062,9.4,MASSACHUSETTS
0.9997090335682013,0.7850579075210149,0.2146511260471865,0.6066641211509705,53388.0,64488.0,0.2814442682006861,12.6,MICHIGAN
0.9736992898177346,0.6387368450416309,0.3349624447761036,0.603760838508606,52108.0,63594.0,0.30630888673361767,12.1,MISSOURI
1.0097757739526743,0.7250192198878992,0.2847565540647751,0.5871738791465759,57421.0,78109.0,0.2919829867983278,9.2,NEBRASKA
