region_id,value,n
1,2.4300294963863798,33
2,2.1676472184183586,65
3,1.8694221933818078,25
4,1.5136726361863397,102
5,1.9084586612755463,260
6,2.0527042102844937,97
7,2.006599217340935,66
8,1.0921309862258781,246
9,1.7682223322134314,86
10,1.676758599282897,86
11,1.8811730543061744,26
12,0.0,16
13,2.123492978065976,817
14,1.4997266747944302,49
15,2.1175354934955632,26
