year,state,gini,moe
1917,UNITED STATES,0.5076805949211121,
1917,ALABAMA,0.3997918665409088,
1917,ARIZONA,0.3996579349040985,
1917,ARKANSAS,0.3764827847480774,
1917,CALIFORNIA,0.44936254620552063,
1917,COLORADO,0.43890124559402466,
1917,CONNECTICUT,0.5315470099449158,
1917,DELAWARE,0.7277280688285828,
1917,DISTRICT OF COLUMBIA,0.48247823119163513,
1917,FLORIDA,0.3979615867137909,
1917,GEORGIA,0.3887948989868164,
1917,IDAHO,0.3461049497127533,
1917,ILLINOIS,0.4870532155036926,
1917,INDIANA,0.38376402854919434,
1917,IOWA,0.30065885186195374,
1917,KANSAS,0.3663225769996643,
1917,KENTUCKY,0.4226660132408142,
1917,LOUISIANA,0.4660888612270355,
1917,MAINE,0.48396509885787964,
1917,MARYLAND,0.5055856704711914,
1917,MASSACHUSETTS,0.5803886651992798,
1917,MICHIGAN,0.48904141783714294,
1917,MINNESOTA,0.4457201361656189,
1917,MISSISSIPPI,0.4367484748363495,
1917,MISSOURI,0.46901077032089233,
1917,MONTANA,0.3548746109008789,
1917,NEBRASKA,0.3055329918861389,
1917,NEVADA,0.3152739703655243,
1917,NEW HAMPSHIRE,0.48403283953666687,
1917,NEW JERSEY,0.512200653553009,
1917,NEW MEXICO,0.4189186096191406,
1917,NEW YORK,0.6293997168540955,
1917,NORTH CAROLINA,0.4304084777832031,
1917,NORTH DAKOTA,0.2769472599029541,
1917,OHIO,0.5185989141464233,
1917,OKLAHOMA,0.41807863116264343,
1917,OREGON,0.42518946528434753,
1917,PENNSYLVANIA,0.5597894787788391,
1917,RHODE ISLAND,0.6065289378166199,
1917,SOUTH CAROLINA,0.3680568337440491,
1917,SOUTH DAKOTA,0.24018965661525726,
1917,TENNESSEE,0.41627857089042664,
1917,TEXAS,0.4157921075820923,
1917,UTAH,0.4223470985889435,
1917,VERMONT,0.5100271105766296,
1917,VIRGINIA,0.4358534812927246,
1917,WASHINGTON,0.3978241980075836,
1917,WEST VIRGINIA,0.4826652407646179,
1917,WISCONSIN,0.4416849613189697,
1917,WYOMING,0.4289964437484741,
1918,UNITED STATES,0.4412369728088379,
1918,ALABAMA,0.34633201360702515,
1918,ARIZONA,0.3566133975982666,
1918,ARKANSAS,0.37716400623321533,
1918,CALIFORNIA,0.41719532012939453,
1918,COLORADO,0.33982419967651367,
1918,CONNECTICUT,0.4601770043373108,
1918,DELAWARE,0.5692365169525146,
1918,DISTRICT OF COLUMBIA,0.43861478567123413,
1918,FLORIDA,0.3829387426376343,
1918,GEORGIA,0.39297807216644287,
1918,IDAHO,0.30374765396118164,
1918,ILLINOIS,0.44760388135910034,
1918,INDIANA,0.3305494785308838,
1918,IOWA,0.3008235692977905,
1918,KANSAS,0.3243911862373352,
1918,KENTUCKY,0.40514305233955383,
1918,LOUISIANA,0.46657729148864746,
1918,MAINE,0.4131195843219757,
1918,MARYLAND,0.42296791076660156,
1918,MASSACHUSETTS,0.5024549961090088,
1918,MICHIGAN,0.4270597994327545,
1918,MINNESOTA,0.3801316022872925,
1918,MISSISSIPPI,0.377701073884964,
1918,MISSOURI,0.4201368987560272,
1918,MONTANA,0.31743064522743225,
1918,NEBRASKA,0.305358350276947,
1918,NEVADA,0.28269949555397034,
1918,NEW HAMPSHIRE,0.42521312832832336,
1918,NEW JERSEY,0.4334337115287781,
1918,NEW MEXICO,0.2884005904197693,
1918,NEW YORK,0.5576754808425903,
1918,NORTH CAROLINA,0.42341578006744385,
1918,NORTH DAKOTA,0.28773486614227295,
1918,OHIO,0.4066348969936371,
1918,OKLAHOMA,0.3648566007614136,
1918,OREGON,0.3924954831600189,
1918,PENNSYLVANIA,0.44558268785476685,
1918,RHODE ISLAND,0.5298019647598267,
1918,SOUTH CAROLINA,0.34995225071907043,
1918,SOUTH DAKOTA,0.27046871185302734,
1918,TENNESSEE,0.397225022315979,
1918,TEXAS,0.41127923130989075,
1918,UTAH,0.34023988246917725,
1918,VERMONT,0.43948426842689514,
1918,VIRGINIA,0.38419803977012634,
1918,WASHINGTON,0.3366076648235321,
1918,WEST VIRGINIA,0.3530166745185852,
1918,WISCONSIN,0.3915911912918091,
1918,WYOMING,0.42813217639923096,
1919,UNITED STATES,0.45560067892074585,
1919,ALABAMA,0.3891565501689911,
1919,ARIZONA,0.3477092385292053,
1919,ARKANSAS,0.3676636815071106,
1919,CALIFORNIA,0.4374138414859772,
1919,COLORADO,0.3912094533443451,
1919,CONNECTICUT,0.4604174792766571,
1919,DELAWARE,0.5529280304908752,
1919,DISTRICT OF COLUMBIA,0.4500585198402405,
1919,FLORIDA,0.4002903699874878,
1919,GEORGIA,0.39640742540359497,
1919,IDAHO,0.3220770061016083,
1919,ILLINOIS,0.43944549560546875,
1919,INDIANA,0.3598850965499878,
1919,IOWA,0.3208426237106323,
1919,KANSAS,0.3374501168727875,
1919,KENTUCKY,0.3741201162338257,
1919,LOUISIANA,0.4924091100692749,
1919,MAINE,0.40401971340179443,
1919,MARYLAND,0.45282867550849915,
1919,MASSACHUSETTS,0.49811848998069763,
1919,MICHIGAN,0.4569639563560486,
1919,MINNESOTA,0.4063222110271454,
1919,MISSISSIPPI,0.4408343434333801,
1919,MISSOURI,0.440644234418869,
1919,MONTANA,0.3091326653957367,
1919,NEBRASKA,0.3610927164554596,
1919,NEVADA,0.30995357036590576,
1919,NEW HAMPSHIRE,0.4011933207511902,
1919,NEW JERSEY,0.437443345785141,
1919,NEW MEXICO,0.31857404112815857,
1919,NEW YORK,0.5652174949645996,
