value,poverty_rate,gini,median_household_income,rurality
11.14869291310295,0.091,0.37,26540.0,0.1359999999999999
11.062862229409902,0.09300000000000001,0.286,21550.0,0.32299999999999995
11.16397802882927,0.094,0.381,26970.0,0.06999999999999995
11.184412355533754,0.098,0.319,23210.0,0.22799999999999998
11.15213189764787,0.10099999999999999,0.321,22910.0,0.15400000000000003
11.13374778674164,0.105,0.359,23490.0,0.32999999999999996
11.123881969049565,0.105,0.322,22460.0,0.267
11.115564719042,0.106,0.306,21970.0,0.22099999999999997
11.185933035021055,0.11199999999999999,0.328,23030.0,0.18799999999999994
11.10832068022421,0.11199999999999999,0.31,21830.0,0.31599999999999995
11.214298915432735,0.113,0.336,22590.0,0.371
11.088007161210475,0.114,0.31,21300.0,0.17099999999999993
11.070123547396584,0.114,0.295,21000.0,0.49
11.148442362871865,0.11599999999999999,0.331,23590.0,0.16299999999999992
11.18165858376123,0.11699999999999999,0.307,21620.0,0.371
11.130172186364836,0.11800000000000001,0.304,21450.0,0.392
11.10651592202766,0.11800000000000001,0.436,28310.0,0.0
11.219072433186694,0.11900000000000001,0.344,22750.0,0.346
11.212893471473025,0.11900000000000001,0.315,21880.0,0.5329999999999999
11.185291281923584,0.121,0.299,21000.0,0.508
11.129739295888998,0.121,0.308,21250.0,0.48
11.259873596056124,0.122,0.339,22110.0,0.21599999999999997
11.163287394370744,0.12300000000000001,0.332,21730.0,0.31099999999999994
11.110299811219898,0.12300000000000001,0.309,21080.0,0.44799999999999995
11.125555883129483,0.124,0.314,22180.0,0.386
11.062597509709322,0.125,0.32,21790.0,0.44100000000000006
11.214430960995621,0.126,0.35,22640.0,0.133
11.104774008549303,0.127,0.313,21530.0,0.42500000000000004
11.219395615265597,0.127,0.332,22100.0,0.31200000000000006
11.168052398583315,0.127,0.352,24010.0,0.039000000000000035
11.144273581951376,0.128,0.333,22000.0,0.23199999999999998
11.263518567722626,0.129,0.313,21170.0,0.44399999999999995
11.209891921927658,0.129,0.363,23380.0,0.132
11.11828644687423,0.129,0.338,22250.0,0.33599999999999997
11.122617251790455,0.129,0.372,23300.0,0.21099999999999997
11.138992569598074,0.129,0.32,21000.0,0.4079999999999999
11.17473738522399,0.13,0.331,21540.0,0.391
11.144728571207677,0.13,0.352,22860.0,0.19999999999999996
11.132858770538416,0.13,0.315,21210.0,0.352
11.188778711266004,0.132,0.304,20690.0,0.647
11.155990835907309,0.134,0.332,22050.0,0.2509999999999999
11.15449706920615,0.134,0.302,20840.0,0.5740000000000001
11.199858630056333,0.138,0.385,23190.0,0.05400000000000005
11.185678253743905,0.139,0.318,21020.0,0.405
11.240608783707597,0.139,0.316,20850.0,0.5229999999999999
11.150106292834852,0.14,0.326,21140.0,0.397
11.14258337340102,0.142,0.352,22050.0,0.18599999999999994
11.205688950592288,0.14300000000000002,0.32,21010.0,0.367
11.144402752102126,0.14400000000000002,0.366,21750.0,0.33499999999999996
11.135658744657347,0.14400000000000002,0.326,20920.0,0.569
11.140900168269908,0.145,0.316,20370.0,0.45100000000000007
11.166164255964606,0.145,0.35,21300.0,0.2340000000000001
11.162367887545798,0.147,0.328,21090.0,0.44700000000000006
11.179266493313843,0.147,0.339,21260.0,0.28700000000000003
11.153909417994056,0.147,0.338,20930.0,0.19799999999999995
11.170348644581086,0.147,0.351,21790.0,0.23199999999999998
11.251704134028191,0.14800000000000002,0.325,20950.0,0.639
11.217219498207582,0.14800000000000002,0.322,20940.0,0.605
11.141717379865021,0.149,0.336,20940.0,0.5329999999999999
11.304498772982793,0.149,0.31,20550.0,0.63
11.139957249222574,0.149,0.356,21820.0,0.2490000000000001
11.235482682798558,0.15,0.318,20720.0,0.378
11.160177471693412,0.151,0.317,20420.0,0.5509999999999999
11.124878532646807,0.151,0.314,20830.0,0.588
11.17539511002799,0.151,0.339,21100.0,0.3540000000000001
11.103571856494924,0.152,0.511,28570.0,0.0
11.189906679125842,0.152,0.333,20650.0,0.32599999999999996
11.172662793168348,0.154,0.33,20570.0,0.41700000000000004
11.125642519029991,0.154,0.319,20350.0,0.5820000000000001
11.069000804943908,0.154,0.362,21830.0,0.04500000000000004
11.124955275403126,0.154,0.328,20420.0,0.31099999999999994
11.134339318778087,0.155,0.393,22300.0,0.040999999999999925
11.152747606224672,0.155,0.327,20510.0,0.515
11.124784007017098,0.163,0.36,20580.0,0.387
11.18574384867041,0.163,0.326,20400.0,0.51
11.165988579060583,0.163,0.4,23060.0,0.0
11.156029599024938,0.166,0.351,20690.0,0.381
11.104275336760413,0.166,0.35,20540.0,0.43200000000000005
11.135326239336928,0.166,0.366,22220.0,0.040000000000000036
11.130322235381035,0.168,0.339,20380.0,0.30599999999999994
11.135304953503894,0.17,0.339,20110.0,0.3540000000000001
11.183988744958585,0.182,0.398,21650.0,0.007000000000000006
11.240793195702249,0.182,0.322,19690.0,0.786
11.216492010198449,0.184,0.336,20010.0,0.44499999999999995
11.038267786025775,0.185,0.352,19880.0,0.46799999999999997
11.180162720988076,0.188,0.386,20290.0,0.08499999999999996
11.097607762207069,0.18899999999999997,0.347,19840.0,0.42700000000000005
11.188873476585101,0.191,0.387,20640.0,0.1090000000000001
11.128534216536439,0.193,0.372,20240.0,0.17900000000000005
11.045834972034344,0.193,0.352,19560.0,0.17900000000000005
11.103243314097321,0.195,0.374,20140.0,0.08999999999999997
11.084202516772162,0.205,0.379,19610.0,0.125
11.143407504982907,0.20800000000000002,0.362,19550.0,0.384
11.003677092402416,0.27899999999999997,0.409,18070.0,0.0
