year,state,poverty_rate,value,household_income,gini
2016,MISSISSIPPI,0.22313608524584952,0.605932169567076,40528,0.4799
2016,NEW MEXICO,0.20901619675477248,0.4255120926790945,45674,0.4754
2016,LOUISIANA,0.19704183625439545,0.6412806056984411,45652,0.4903
2020,MISSISSIPPI,0.1957767993468083,0.5888944714792546,46511,0.4838
2016,ARKANSAS,0.18825232421416782,0.4401178532530663,42336,0.4708
2016,KENTUCKY,0.1880938023513275,0.3965758898249944,44811,0.4741
2020,LOUISIANA,0.18649495265751392,0.6174958142098712,50800,0.4991
2020,NEW MEXICO,0.18551260060694022,0.39078563648396025,51243,0.4742
2016,ALABAMA,0.18401632676579546,0.5863573480380069,44758,0.4769
2016,DISTRICT OF COLUMBIA,0.17930919715691074,0.0833892011522037,72935,0.5334
2016,GEORGIA,0.17772754575820912,0.557982822581562,51037,0.4816
2016,WEST VIRGINIA,0.1774088469038514,0.24143769859340428,42644,0.4621
2016,ARIZONA,0.17732287542007535,0.4156956222061136,51340,0.4682
2016,TENNESSEE,0.17225800724030105,0.4559874936421931,46574,0.4786
2016,SOUTH CAROLINA,0.17182533442596265,0.44723929557328995,46898,0.469
2020,WEST VIRGINIA,0.17096920638121293,0.2834879844700488,48037,0.4661
2016,NORTH CAROLINA,0.16846855060099566,0.4594486456894137,48256,0.4748
2016,TEXAS,0.16698208267219514,0.5254130062352163,54727,0.4803
2020,KENTUCKY,0.1660686472748151,0.4929713017512166,52238,0.4776
2016,OKLAHOMA,0.16519860108243242,0.3311385255568338,48038,0.4652
2016,MICHIGAN,0.16264848797458453,0.4855221190550936,50803,0.4648
2016,FLORIDA,0.16086933840529735,0.4111326689184495,48900,0.4852
2020,ARKANSAS,0.16082651949575608,0.43899130373838213,49475,0.4792
2020,ALABAMA,0.15982893838437057,0.5611588874401245,52035,0.4777
2016,CALIFORNIA,0.1583687440957152,0.39722997870391474,63783,0.488
2016,OREGON,0.15727587490711545,0.3892959434921917,53270,0.4612
2016,NEW YORK,0.15467290786405255,0.4872488297391389,60741,0.5102
2020,DISTRICT OF COLUMBIA,0.15452503329153522,0.06899856657931211,90842,0.5212
2016,OHIO,0.153790903039716,0.44134248005992294,50674,0.4641
2016,MISSOURI,0.15277384015903706,0.503059711060868,49593,0.4632
2020,OKLAHOMA,0.15272926083127789,0.38059230352875983,53840,0.4673
2016,IDAHO,0.15244934301273586,0.34227660391256737,49174,0.4457
2016,INDIANA,0.14989905971676618,0.4265630629110968,50433,0.4494
2016,NEVADA,0.14909794132160914,0.3498776818155543,53094,0.4522
2016,MONTANA,0.14892809276440078,0.398312102024559,48380,0.4587
2020,SOUTH CAROLINA,0.1467562499229826,0.4423620124131372,54864,0.477
2020,TENNESSEE,0.1461675895150851,0.4570011441504085,54833,0.4775
2020,GEORGIA,0.1427543781631625,0.5575125208575558,61224,0.4814
2020,TEXAS,0.14222670070651072,0.47912134670471174,63826,0.4765
2020,ARIZONA,0.14124171413684788,0.4282903607545834,61529,0.4661
2016,SOUTH DAKOTA,0.14021066865774734,0.3170125671606539,52078,0.4438
2020,NORTH CAROLINA,0.13981905919097515,0.46453461915137095,56642,0.4759
2016,ILLINOIS,0.13975580262816273,0.4986232028302821,59196,0.4789
2016,RHODE ISLAND,0.13823728987411185,0.3161195924301821,58387,0.4738
2020,MICHIGAN,0.13710466793547083,0.4479908289622766,59234,0.4655
2020,OHIO,0.13620788664483244,0.43425503348198957,58116,0.4646
2020,NEW YORK,0.1357796145824489,0.4420582426824915,71117,0.5127
2016,MAINE,0.13473331448357057,0.2753289140695282,50826,0.4515
2020,FLORIDA,0.13335522786115053,0.3687612540363798,57703,0.4856
2016,PENNSYLVANIA,0.1332098485076927,0.5056150158098013,54895,0.468
2016,KANSAS,0.1325059273323436,0.38524934672690603,53571,0.4555
2020,MISSOURI,0.13007173538861141,0.5264962943615388,57290,0.4634
2020,INDIANA,0.12911221708192946,0.4401317177350549,58235,0.4502
2020,SOUTH DAKOTA,0.12808767987198644,0.3379971763698159,59896,0.4413
2020,MONTANA,0.12781213518702544,0.3916018387096175,56539,0.4611
2020,NEVADA,0.12775046128996523,0.316688046282901,62043,0.4638
2016,WISCONSIN,0.12733127096765212,0.3812405479109353,54610,0.4435
2016,WASHINGTON,0.12727724939485177,0.41088490990735727,62848,0.456
2020,CALIFORNIA,0.12576959939913784,0.4099272983517477,78672,0.4874
2016,NEBRASKA,0.12424590532681039,0.3754949619748655,54384,0.442
2020,OREGON,0.12364892705036,0.3910104078782308,65667,0.4579
2016,IOWA,0.12303779882148161,0.35708620554227577,54570,0.4422
2016,COLORADO,0.12171934020179517,0.4070531078803014,62520,0.459
2016,DELAWARE,0.12040841697168123,0.37079271290447485,61017,0.4488
2020,ILLINOIS,0.11987514760231989,0.47257992227661283,68428,0.4801
2020,PENNSYLVANIA,0.11951422536790608,0.4793184175210726,63627,0.4702
2020,IDAHO,0.11937280466542695,0.3634790363675582,58915,0.4422
2016,UTAH,0.11677135516023802,0.4311301669720131,62518,0.4261
2016,VERMONT,0.11582476917501472,0.267027546299692,56104,0.4435
2020,RHODE ISLAND,0.11581293730359439,0.38420271673805495,70305,0.4661
2016,WYOMING,0.11558627138395235,0.3219523525316363,59143,0.4279
2020,KANSAS,0.11442256632318637,0.3936342577626217,61091,0.4561
2020,DELAWARE,0.11435768422528807,0.4257972145125579,69110,0.4568
2016,VIRGINIA,0.11433771845597236,0.43999039089151754,66149,0.4673
2016,MASSACHUSETTS,0.11386915121343603,0.31839512844619944,70954,0.4826
2016,NORTH DAKOTA,0.11165403213886015,0.3278182714401705,59114,0.4586
2020,IOWA,0.11113026516050292,0.4050196763905737,61836,0.4405
2020,MAINE,0.11072069985690601,0.2773454811072093,59489,0.4493
2020,WISCONSIN,0.1097179336989143,0.37829354964126227,63293,0.4448
2016,NEW JERSEY,0.10863196010370912,0.41897021889117647,73702,0.4782
