turnout_rate,value,department_id,poverty
0.8179016148604499,0.030981661279898,01,0.105
0.7870164948497049,0.037165797849966556,02,0.185
0.8103751199398356,0.030995158234353053,03,0.154
0.8138722079242525,0.03786993748719157,04,0.166
0.817412655894467,0.03653220905614117,05,0.139
0.7889711723981387,0.038077202303809794,06,0.155
0.8254235046278224,0.03531631838215643,07,0.14300000000000002
0.7904272706047163,0.04246541340412011,08,0.18899999999999997
0.8262752746985778,0.043925120378692256,09,0.184
0.796910074243511,0.04298802525640019,10,0.163
0.8163540867719066,0.044657567395263255,11,0.20800000000000002
0.8335251290348309,0.03415003368793756,12,0.139
0.7861749303621169,0.045580921968372656,13,0.182
0.8130017287168603,0.03567346796551971,14,0.12300000000000001
0.8222627944644938,0.03484839777302183,15,0.132
0.8113203387535156,0.029887004026404422,16,0.149
0.8168189805848918,0.03249457881951852,17,0.13
0.789688372518268,0.03531897963873121,18,0.147
0.8280244515846095,0.036284241114737555,19,0.129
0.824874928329717,0.04249528576134086,21,0.113
0.8300392892395342,0.02956702550489641,22,0.11800000000000001
0.8054519851567136,0.03536757577125253,23,0.182
0.8306737958979071,0.03091140250182289,24,0.163
0.8141044340723453,0.04413038892160983,25,0.11900000000000001
0.8193072755998688,0.04388854351198181,26,0.147
0.802356212905705,0.03144624869813931,27,0.125
0.7937562688064193,0.03613466802677227,28,0.124
0.8208706977217602,0.027423824631596767,29,0.106
0.7289165877505055,0.05067566287541549,2A,0.165
0.7279072258522807,0.06671860344329927,2B,0.20600000000000002
0.8070216252448161,0.03807184530219143,30,0.193
0.8353523027565196,0.042078103372996764,31,0.129
0.8389757612008317,0.03714438006105006,32,0.14800000000000002
0.8230884323390373,0.03837334023569697,33,0.126
0.8123284611424644,0.039144107133307494,34,0.191
0.8269923895814109,0.03295474484842823,35,0.105
0.8004587819147398,0.030792428126220787,36,0.145
0.8067240741486856,0.03640424329868236,37,0.128
0.8167391681332994,0.03776183393415988,38,0.11199999999999999
0.8207216090875034,0.04073387352150392,39,0.11900000000000001
0.8337835545620027,0.02884794597104761,40,0.11699999999999999
0.8048133970033019,0.0318876313819225,41,0.127
0.8124689667386691,0.03534411211311665,42,0.147
0.8300460253736691,0.03333809155565252,43,0.121
0.8172210741884192,0.03372638351228354,44,0.10099999999999999
0.7998874161302616,0.03772972050139673,45,0.134
0.8367960010093606,0.032218372592450334,46,0.14800000000000002
0.8201732770018796,0.0288450713077054,47,0.17
0.8366250769316846,0.04416243736922185,48,0.149
0.8115128303648526,0.032827101980622796,49,0.114
0.8045068430971839,0.031313024668173775,50,0.121
0.7902851424466526,0.041850946058893154,51,0.14400000000000002
0.7954470005287037,0.047520501994818845,52,0.151
0.8097098013216398,0.03209105293151011,53,0.114
0.7898490471543045,0.03999164036398421,54,0.147
0.7981491678360184,0.046772921813615344,55,0.151
0.8235004570705295,0.02938119938357612,56,0.11199999999999999
0.7800709674518125,0.04022005635260819,57,0.149
0.7987422035268033,0.03545212057089887,58,0.155
0.779189660897472,0.04760418383443552,59,0.188
0.7988096890124922,0.03868116990137335,60,0.129
0.8014020969068869,0.03504258629508002,61,0.154
0.7925287781096517,0.03680053695147121,62,0.193
0.8227171108595853,0.0356768234789706,63,0.127
0.8252016068234447,0.03808943952596756,64,0.122
0.817566509090574,0.045305056395977934,65,0.15
0.8050068922584375,0.037769231867740706,66,0.205
0.8036774358677973,0.0409154022408707,67,0.13
0.7941140891787473,0.03782703724147092,68,0.129
0.8221193397020892,0.04293451341244,69,0.138
0.8198925971377691,0.03860871640339478,70,0.134
0.8086347045615527,0.03353847698592271,71,0.129
0.7959331374985003,0.03318071461223887,72,0.13
0.8230947700172981,0.032640072411768764,73,0.098
0.8138490955313942,0.0300951460911743,74,0.091
0.8217881615408967,0.041413136466786786,75,0.152
0.7983047015659175,0.03976708834477448,76,0.145
0.8011786454041293,0.03794186630989207,77,0.11599999999999999
0.819508539557851,0.04595530291913102,78,0.094
0.8214072040815713,0.033074403760374044,79,0.12300000000000001
0.7997300792014713,0.04015599393287806,80,0.166
0.8259869915456127,0.03247256020404777,81,0.152
0.8264580805935243,0.030381209934185503,82,0.168
0.7953602114491006,0.03107080048617999,83,0.154
0.8019510693473251,0.03790955938580134,84,0.195
0.820483686021057,0.027137985194816847,85,0.09300000000000001
0.817522674752548,0.032443211825218685,86,0.14
0.8261921021470682,0.030763936106818723,87,0.151
0.8013015134346518,0.037182700995227795,88,0.154
0.8052526852246655,0.03663711303747771,89,0.14400000000000002
0.808230282333868,0.038441358332066376,90,0.142
0.8061913885247555,0.03970733663726972,91,0.127
0.8269395428100629,0.044140897167927746,92,0.11800000000000001
0.7679299631670174,0.03583830349418921,93,0.27899999999999997
0.8029147902914286,0.04047221158609106,94,0.163
0.7918213005002256,0.04197747292347077,95,0.166
