value_x,value_y,averaged_values_x,averaged_values_y
0.053278783998070005,0.054612772392285985,0.04686975527041533,0.04409875972833136
0.03825516769469963,0.03790834653029131,0.042179877873553255,0.045187131520043604
0.051073974594834794,0.053838590931303554,0.04068218152214118,0.04365753182102106
0.04668988695606627,0.04569584827488741,0.0501642037914172,0.04855722178703065
0.04068218152214118,0.04365753182102106,0.05168164252638617,0.053835215887516774
0.042179877873553255,0.045187131520043604,0.03825516769469963,0.03790834653029131
0.047049623584764395,0.042501671181775315,0.04922754942944679,0.051016902660406954
0.05089646678248807,0.04666623400872249,0.0,0.0
0.04933448536977825,0.0462664248822105,0.05584982684488937,0.05075097428880987
0.0492204237187841,0.04131898177245467,0.05026492844784628,0.04982271610265243
0.051418150563668684,0.05582154741177997,0.0,0.0
0.05026492844784628,0.04982271610265243,0.049277454544281174,0.04379270332733258
0.04407584057897942,0.04465663033951051,0.0,0.0
0.06009863785883923,0.055194670584899,0.05474499976046463,0.049561182710328264
0.04920432425799468,0.04742384421285164,0.05158553224593755,0.04691221717753889
0.0394428614469333,0.04202290674808945,0.051459987005019886,0.04911070996170589
0.05731626243532037,0.06529632923265226,0.054432642181113475,0.050263557909335815
0.051328895211660015,0.048612338646861215,0.05974298873655905,0.05377315869455632
0.04368415380285346,0.0476476478066666,0.04699990221409194,0.04612194818069083
0.06093003328234137,0.04774974429507441,0.05880375716083776,0.05482375685093266
0.05235252093734785,0.04891909358113142,0.0449489017686613,0.04651110810418667
0.052289310457937554,0.05383184084373,0.04919316561154026,0.04772074504304543
0.057704149700939344,0.0517839582650698,0.05180910283479878,0.05122208974529561
0.04820420715249113,0.04486378553890972,0.05731626243532037,0.06529632923265226
0.058501395586121496,0.04910739979487982,0.05712629350370871,0.0514739644325376
0.04842763718915386,0.04107025479048283,0.05606017880492121,0.05448368062244282
0.0553692171114381,0.04803338724298415,0.0544231922840664,0.051978647637836495
0.06178182777217874,0.055762359124042836,0.054294710294862124,0.05107244822033202
0.05145659781408713,0.049410335429235876,0.05690609131387305,0.05433090343301924
0.056689718915465315,0.05352957696489563,0.051636905472403544,0.04841698819199087
0.06870555163839712,0.06794002654506652,0.05670784992871873,0.05128193608646038
0.05142234122837227,0.046222819866711264,0.0608587214453189,0.05502693786097683
0.05225492197227721,0.055367295069860815,0.05174946672320334,0.04822460533261257
0.034487983315405216,0.0372219613307743,0.047899293968632656,0.04775223538124596
0.05357614000731581,0.04870727523501033,0.05036850913411754,0.05047282338306192
0.04407889788106817,0.04564170100468797,0.043103836685801186,0.04354236554428913
0.0480553549625373,0.045892693912053646,0.05291553098979651,0.052037285152435574
0.04942255582738395,0.047701135107288795,0.05047398823785598,0.05084162194679417
0.05171969005619715,0.04986276975780395,0.04363980071127374,0.04392758530553123
0.05079525046753811,0.050158481167271306,0.05357614000731581,0.04870727523501033
0.056714341646587,0.05360491396673395,0.0,0.0
0.0484662330764114,0.04724869802079132,0.05710411886192393,0.055039243981968744
0.05047398823785598,0.05084162194679417,0.051098034154649676,0.05305019529812949
0.0527735124819154,0.05839925548897018,0.04947011065713369,0.04904515998379275
0.06143472524193246,0.051679232474967314,0.048900359223094825,0.04675756145150091
0.04771397733420412,0.05274208731404748,0.047049623584764395,0.042501671181775315
0.05361690519975689,0.050073846850773755,0.05225492197227721,0.055367295069860815
