polling_id,divisiveness_ciro,divisiveness_haddad,divisiveness_alckmin,divisiveness_bolsonaro,divisiveness_amoedo,rate_ciro,rate_haddad,rate_alckmin,rate_bolsonaro,rate_amoedo,value_ciro,value_haddad,value_alckmin,value_bolsonaro,value_amoedo,candidate,value,rate
AC-ACRELÂNDIA-8,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03968489892984542,0.16795481569560047,0.08145065398335315,0.7098692033293698,0.0010404280618311534,267,1130,548,4776,7,FERNANDO HADDAD,1300,0.20108275328692962
AC-ACRELÂNDIA-8,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03968489892984542,0.16795481569560047,0.08145065398335315,0.7098692033293698,0.0010404280618311534,267,1130,548,4776,7,JAIR MESSIAS BOLSONARO,5165,0.7989172467130704
AC-ASSIS BRASIL-6,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.023244781783681213,0.428842504743833,0.08183111954459203,0.4637096774193548,0.0023719165085388993,98,1808,345,1955,10,FERNANDO HADDAD,1660,0.4157275231655397
AC-ASSIS BRASIL-6,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.023244781783681213,0.428842504743833,0.08183111954459203,0.4637096774193548,0.0023719165085388993,98,1808,345,1955,10,JAIR MESSIAS BOLSONARO,2333,0.5842724768344603
AC-BRASILÉIA-6,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03272963534475758,0.26597904653618126,0.08121497604158207,0.6178835377243563,0.002192804353122716,403,3275,1000,7608,27,FERNANDO HADDAD,3208,0.2691500964846044
AC-BRASILÉIA-6,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03272963534475758,0.26597904653618126,0.08121497604158207,0.6178835377243563,0.002192804353122716,403,3275,1000,7608,27,JAIR MESSIAS BOLSONARO,8711,0.7308499035153956
AC-BUJARI-9,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04851708575112831,0.1827852998065764,0.09945196647324307,0.6673114119922631,0.0019342359767891683,301,1134,617,4140,12,FERNANDO HADDAD,1274,0.21411764705882352
AC-BUJARI-9,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04851708575112831,0.1827852998065764,0.09945196647324307,0.6673114119922631,0.0019342359767891683,301,1134,617,4140,12,JAIR MESSIAS BOLSONARO,4676,0.7858823529411765
AC-CAPIXABA-2,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04427767354596623,0.18611632270168857,0.11557223264540338,0.6536585365853659,0.000375234521575985,236,992,616,3484,2,FERNANDO HADDAD,1086,0.21802850833166032
AC-CAPIXABA-2,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04427767354596623,0.18611632270168857,0.11557223264540338,0.6536585365853659,0.000375234521575985,236,992,616,3484,2,JAIR MESSIAS BOLSONARO,3895,0.7819714916683397
AC-CRUZEIRO DO SUL-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.060001479691237765,0.1591654541419024,0.10079163481220252,0.6770820488791339,0.002959382475523441,2433,6454,4087,27455,120,FERNANDO HADDAD,7818,0.2006416014371872
AC-CRUZEIRO DO SUL-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.060001479691237765,0.1591654541419024,0.10079163481220252,0.6770820488791339,0.002959382475523441,2433,6454,4087,27455,120,JAIR MESSIAS BOLSONARO,31147,0.7993583985628128
AC-EPITACIOLÂNDIA-6,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.037836555568734435,0.22773099276479658,0.07116593523899893,0.6603012691258451,0.0029652473016249553,319,1920,600,5567,25,FERNANDO HADDAD,2026,0.24380264741275573
AC-EPITACIOLÂNDIA-6,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.037836555568734435,0.22773099276479658,0.07116593523899893,0.6603012691258451,0.0029652473016249553,319,1920,600,5567,25,JAIR MESSIAS BOLSONARO,6284,0.7561973525872443
AC-FEIJÓ-7,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.030053428317008014,0.47617987533392697,0.08021668150786583,0.4126595428910656,0.0008904719501335708,405,6417,1081,5561,12,FERNANDO HADDAD,5256,0.4549861495844875
AC-FEIJÓ-7,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.030053428317008014,0.47617987533392697,0.08021668150786583,0.4126595428910656,0.0008904719501335708,405,6417,1081,5561,12,JAIR MESSIAS BOLSONARO,6296,0.5450138504155124
AC-JORDÃO-5,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.05056009688162277,0.5074174992431123,0.11444141689373297,0.3272782319103845,0.0003027550711474417,167,1676,378,1081,1,FERNANDO HADDAD,1415,0.507168458781362
AC-JORDÃO-5,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.05056009688162277,0.5074174992431123,0.11444141689373297,0.3272782319103845,0.0003027550711474417,167,1676,378,1081,1,JAIR MESSIAS BOLSONARO,1375,0.492831541218638
AC-MANOEL URBANO-3,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.045909090909090906,0.39090909090909093,0.11318181818181818,0.44977272727272727,0.00022727272727272727,202,1720,498,1979,1,FERNANDO HADDAD,1621,0.41617458279845954
AC-MANOEL URBANO-3,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.045909090909090906,0.39090909090909093,0.11318181818181818,0.44977272727272727,0.00022727272727272727,202,1720,498,1979,1,JAIR MESSIAS BOLSONARO,2274,0.5838254172015405
AC-MARECHAL THAUMATURGO-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.050599408376148215,0.4432508173750584,0.1975712283979449,0.30857854585084854,0.0,325,2847,1269,1982,0,FERNANDO HADDAD,2451,0.4902980596119224
AC-MARECHAL THAUMATURGO-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.050599408376148215,0.4432508173750584,0.1975712283979449,0.30857854585084854,0.0,325,2847,1269,1982,0,JAIR MESSIAS BOLSONARO,2548,0.5097019403880776
AC-MÂNCIO LIMA-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.037765716870194484,0.31252826775214837,0.12268204432383537,0.526232473993668,0.0007914970601537765,334,2764,1085,4654,7,FERNANDO HADDAD,2334,0.30877100145521896
AC-MÂNCIO LIMA-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.037765716870194484,0.31252826775214837,0.12268204432383537,0.526232473993668,0.0007914970601537765,334,2764,1085,4654,7,JAIR MESSIAS BOLSONARO,5225,0.691228998544781
AC-PLÁCIDO DE CASTRO-8,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.05886952636282395,0.1634271671134942,0.12432975871313673,0.6513628239499554,0.0020107238605898124,527,1463,1113,5831,18,FERNANDO HADDAD,1837,0.2195267686424474
AC-PLÁCIDO DE CASTRO-8,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.05886952636282395,0.1634271671134942,0.12432975871313673,0.6513628239499554,0.0020107238605898124,527,1463,1113,5831,18,JAIR MESSIAS BOLSONARO,6531,0.7804732313575525
AC-PORTO ACRE-1,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.036440677966101696,0.2086864406779661,0.11504237288135594,0.6388771186440678,0.0009533898305084746,344,1970,1086,6031,9,FERNANDO HADDAD,2059,0.22358562276034313
AC-PORTO ACRE-1,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.036440677966101696,0.2086864406779661,0.11504237288135594,0.6388771186440678,0.0009533898305084746,344,1970,1086,6031,9,JAIR MESSIAS BOLSONARO,7150,0.7764143772396569
AC-PORTO WALTER-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03908219868885527,0.3973777105395865,0.15431164901664146,0.4092284417549168,0.0,155,1576,612,1623,0,FERNANDO HADDAD,1208,0.3890499194847021
AC-PORTO WALTER-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03908219868885527,0.3973777105395865,0.15431164901664146,0.4092284417549168,0.0,155,1576,612,1623,0,JAIR MESSIAS BOLSONARO,1897,0.6109500805152979
AC-RIO BRANCO-1,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.06394087120616448,0.11594066152959061,0.06472715835823242,0.7470671489227866,0.008324159983225873,6099,11059,6174,71259,794,FERNANDO HADDAD,16552,0.17124293902211923
AC-RIO BRANCO-1,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.06394087120616448,0.11594066152959061,0.06472715835823242,0.7470671489227866,0.008324159983225873,6099,11059,6174,71259,794,JAIR MESSIAS BOLSONARO,80106,0.8287570609778808
AC-RIO BRANCO-9,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.0688999021705243,0.11383695804083037,0.06232060116750341,0.7457938700695557,0.009148668551586235,6409,10589,5797,69373,851,FERNANDO HADDAD,16385,0.17330738394169848
AC-RIO BRANCO-9,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.0688999021705243,0.11383695804083037,0.06232060116750341,0.7457938700695557,0.009148668551586235,6409,10589,5797,69373,851,JAIR MESSIAS BOLSONARO,78158,0.8266926160583015
AC-RODRIGUES ALVES-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.036036036036036036,0.26666666666666666,0.13462033462033463,0.5625482625482625,0.0001287001287001287,280,2072,1046,4371,1,FERNANDO HADDAD,1682,0.2610180012414649
AC-RODRIGUES ALVES-4,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.036036036036036036,0.26666666666666666,0.13462033462033463,0.5625482625482625,0.0001287001287001287,280,2072,1046,4371,1,JAIR MESSIAS BOLSONARO,4762,0.7389819987585351
AC-SANTA ROSA DO PURUS-3,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03763987792472025,0.5645981688708036,0.15462868769074262,0.24109867751780265,0.002034587995930824,74,1110,304,474,4,FERNANDO HADDAD,975,0.535126234906696
AC-SANTA ROSA DO PURUS-3,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.03763987792472025,0.5645981688708036,0.15462868769074262,0.24109867751780265,0.002034587995930824,74,1110,304,474,4,JAIR MESSIAS BOLSONARO,847,0.4648737650933041
AC-SENA MADUREIRA-3,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04693140794223827,0.20561452664475457,0.09332399374966324,0.6522441941914974,0.0018858774718465434,871,3816,1732,12105,35,FERNANDO HADDAD,3711,0.23543966501712982
AC-SENA MADUREIRA-3,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04693140794223827,0.20561452664475457,0.09332399374966324,0.6522441941914974,0.0018858774718465434,871,3816,1732,12105,35,JAIR MESSIAS BOLSONARO,12051,0.7645603349828702
AC-SENADOR GUIOMARD-8,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04119935912108034,0.15854123750667581,0.10566872663462272,0.6919966430151827,0.0025940337224383916,540,2078,1385,9070,34,FERNANDO HADDAD,2452,0.19308606976927317
AC-SENADOR GUIOMARD-8,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.04119935912108034,0.15854123750667581,0.10566872663462272,0.6919966430151827,0.0025940337224383916,540,2078,1385,9070,34,JAIR MESSIAS BOLSONARO,10247,0.8069139302307269
AC-TARAUACÁ-5,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.0400437503797776,0.41429179072735006,0.07097283830588808,0.47384091875797535,0.0008507018290089324,659,6818,1168,7798,14,FERNANDO HADDAD,5267,0.38845047569879787
AC-TARAUACÁ-5,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.0400437503797776,0.41429179072735006,0.07097283830588808,0.47384091875797535,0.0008507018290089324,659,6818,1168,7798,14,JAIR MESSIAS BOLSONARO,8292,0.6115495243012021
AC-XAPURI-2,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.041238291066940824,0.39776102353209963,0.06557002513136852,0.4947452593100297,0.0006854009595613434,361,3482,574,4331,6,FERNANDO HADDAD,3400,0.40821227038059793
AC-XAPURI-2,0.010137133818768376,0.1308323500994518,0.03097446352483589,0.14019494843560978,0.0021843231649171352,0.041238291066940824,0.39776102353209963,0.06557002513136852,0.4947452593100297,0.0006854009595613434,361,3482,574,4331,6,JAIR MESSIAS BOLSONARO,4929,0.5917877296194021
AL-ANADIA-48,0.02572440315004289,0.16269331166402728,0.014841571338331262,0.129646503956031,0.0034102075566909604,0.06714437367303609,0.6925424628450106,0.024018046709129513,0.2136411889596603,0.002653927813163482,506,5219,181,1610,20,FERNANDO HADDAD,6182,0.7832256429747878
AL-ANADIA-48,0.02572440315004289,0.16269331166402728,0.014841571338331262,0.129646503956031,0.0034102075566909604,0.06714437367303609,0.6925424628450106,0.024018046709129513,0.2136411889596603,0.002653927813163482,506,5219,181,1610,20,JAIR MESSIAS BOLSONARO,1711,0.21677435702521222
AL-ARAPIRACA-22,0.02572440315004289,0.16269331166402728,0.014841571338331262,0.129646503956031,0.0034102075566909604,0.16713647736990467,0.39750736388686536,0.04594115225034048,0.38148101225730846,0.007933994235581034,10554,25101,2901,24089,501,FERNANDO HADDAD,37584,0.5684468442306819
AL-ARAPIRACA-22,0.02572440315004289,0.16269331166402728,0.014841571338331262,0.129646503956031,0.0034102075566909604,0.16713647736990467,0.39750736388686536,0.04594115225034048,0.38148101225730846,0.007933994235581034,10554,25101,2901,24089,501,JAIR MESSIAS BOLSONARO,28533,0.431553155769318
AL-ARAPIRACA-55,0.02572440315004289,0.16269331166402728,0.014841571338331262,0.129646503956031,0.0034102075566909604,0.1790993194385368,0.30744895789025944,0.04673543173117822,0.4544076988515525,0.01230859208847299,6737,11565,1758,17093,463,FERNANDO HADDAD,19171,0.4914003024632815
AL-ARAPIRACA-55,0.02572440315004289,0.16269331166402728,0.014841571338331262,0.129646503956031,0.0034102075566909604,0.1790993194385368,0.30744895789025944,0.04673543173117822,0.4544076988515525,0.01230859208847299,6737,11565,1758,17093,463,JAIR MESSIAS BOLSONARO,19842,0.5085996975367185
