polling_id,divisiveness_+EUROPA,divisiveness_ALLEANZA VERDI E SINISTRA,divisiveness_AZIONE - ITALIA VIVA - CALENDA,divisiveness_FORZA ITALIA,divisiveness_FRATELLI D'ITALIA CON GIORGIA MELONI,divisiveness_LEGA PER SALVINI PREMIER,divisiveness_MOVIMENTO 5 STELLE,divisiveness_PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,rate_+EUROPA,rate_ALLEANZA VERDI E SINISTRA,rate_AZIONE - ITALIA VIVA - CALENDA,rate_FORZA ITALIA,rate_FRATELLI D'ITALIA CON GIORGIA MELONI,rate_LEGA PER SALVINI PREMIER,rate_MOVIMENTO 5 STELLE,rate_PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,value_+EUROPA,value_ALLEANZA VERDI E SINISTRA,value_AZIONE - ITALIA VIVA - CALENDA,value_FORZA ITALIA,value_FRATELLI D'ITALIA CON GIORGIA MELONI,value_LEGA PER SALVINI PREMIER,value_MOVIMENTO 5 STELLE,value_PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
10101101110812620,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.06531957689742852,0.07665616681214658,0.1322168427786844,0.05817931438299349,0.21145911833751702,0.06086843375061671,0.11375625518441612,0.28154429185619717,12048,14139,24387,10731,39003,11227,20982,51930
10101101120812620,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.051087464436334384,0.06053956217504717,0.09108438865984869,0.06353844424859371,0.2375504989264357,0.08475538704506604,0.14634189621620342,0.26510235829247086,8637,10235,15399,10742,40161,14329,24741,44819
10101101130810080,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.0484945377031708,0.04343192112976286,0.08220090594191314,0.07087663202771116,0.27045030642152945,0.10098587796429523,0.15654143351985078,0.2270183852917666,364,326,617,532,2030,758,1175,1704
10101101130810280,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.04313938734819649,0.038426681167301066,0.08809135399673736,0.06253398586188146,0.2932753307957223,0.10349827804966467,0.16639477977161501,0.20464020300888164,238,212,486,345,1618,571,918,1129
10101101130810450,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.048070634401569654,0.03597122302158273,0.09450621321124918,0.07979071288423806,0.2975801177240026,0.08731196860693263,0.15042511445389142,0.20634401569653368,147,110,289,244,910,267,460,631
10101101130810620,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.04115294901699434,0.04015328223925358,0.07030989670109963,0.0793068977007664,0.28157280906364546,0.10513162279240253,0.172109296901033,0.21026324558480505,247,241,422,476,1690,631,1033,1262
10101101130810880,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.047004488950276244,0.07134841160220995,0.090728591160221,0.05624136740331492,0.2298860497237569,0.08554903314917127,0.1640193370165746,0.2552227209944751,1089,1653,2102,1303,5326,1982,3800,5913
10101101130810970,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.04712778429073857,0.046658851113716295,0.07362250879249707,0.07737397420867527,0.28417350527549823,0.09331770222743259,0.1432590855803048,0.23446658851113716,201,199,314,330,1212,398,611,1000
10101101130811180,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.04429514916875427,0.048166704623092686,0.07993623320428149,0.06160327943520838,0.23599407879754042,0.08358005010248235,0.16733090412206786,0.27909360054657256,778,846,1404,1082,4145,1468,2939,4902
10101101130811280,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.03657850309510411,0.0319358469330332,0.07104670793472144,0.08849184018007879,0.3353967360720315,0.11325267304445695,0.13590320765334835,0.18739448508722567,260,227,505,629,2384,805,966,1332
10101101130811415,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.034106793402292425,0.034106793402292425,0.0651383841207716,0.0835896002236511,0.29549902152641877,0.11266424377970366,0.16885658372938217,0.20603857981548784,122,122,233,299,1057,403,604,737
10101101130811850,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.04400647948164147,0.04454643628509719,0.0847732181425486,0.08639308855291576,0.2819924406047516,0.09192764578833694,0.13782397408207345,0.22853671706263498,326,330,628,640,2089,681,1021,1693
10101101130812030,0.014630191934053693,0.03135958278914956,0.028017299980105777,0.038134041616708615,0.058393384010209146,0.04340739715837487,0.04255791102632723,0.05410571871207698,0.06310679611650485,0.03033980582524272,0.08859223300970874,0.08737864077669903,0.32402912621359226,0.10072815533980582,0.13592233009708737,0.16990291262135923,52,25,73,72,267,83,112,140
