affective,year,state
0.7797563261480788,1978,ALABAMA
0.8027491408934707,1980,ALABAMA
0.8591065292096219,1982,ALABAMA
0.8251387787470261,1984,ALABAMA
0.803186504217432,1986,ALABAMA
0.8444771723122239,1988,ALABAMA
0.7821834522865451,1990,ALABAMA
0.8084428088041617,1992,ALABAMA
0.8171323824280903,1994,ALABAMA
0.8425211251699263,1996,ALABAMA
0.8021690175012264,1998,ALABAMA
0.8029178393355567,2000,ALABAMA
0.8691815411243142,2004,ALABAMA
0.7438067528273714,2008,ALABAMA
0.8512215686877109,2012,ALABAMA
0.8457207425022361,2016,ALABAMA
0.8680754498993293,2020,ALABAMA
0.700171821305842,1978,ARIZONA
0.8336769759450171,1986,ARIZONA
0.711340206185567,1992,ARIZONA
0.7437288501312562,1994,ARIZONA
0.7218850176353748,1996,ARIZONA
0.7611882451736509,2000,ARIZONA
0.6812965846132268,2008,ARIZONA
0.7461633976961829,2012,ARIZONA
0.651394166722386,2016,ARIZONA
0.7829390668015185,2020,ARIZONA
0.6936671575846834,1978,ARKANSAS
0.8445678033306899,1980,ARKANSAS
0.8206185567010309,1982,ARKANSAS
0.8298969072164949,1984,ARKANSAS
0.8534997287032012,1986,ARKANSAS
0.7592480291085506,1988,ARKANSAS
0.8465736810187994,1990,ARKANSAS
0.8326274336985436,1992,ARKANSAS
0.7082874030396276,1994,ARKANSAS
0.8117558918340172,1996,ARKANSAS
0.7900310878611111,2000,ARKANSAS
0.8057975408021989,2004,ARKANSAS
0.7080161511185472,2012,ARKANSAS
0.7537237266735506,2016,ARKANSAS
0.7452805137633016,2020,ARKANSAS
0.7466863033873343,1978,CALIFORNIA
0.7550160736060304,1980,CALIFORNIA
0.7825074825407383,1982,CALIFORNIA
0.7904325533191513,1984,CALIFORNIA
0.7694419542805917,1986,CALIFORNIA
0.7965310671496239,1988,CALIFORNIA
0.7572266019809986,1990,CALIFORNIA
0.7200172299498787,1992,CALIFORNIA
0.7393876119082159,1994,CALIFORNIA
0.7381724179962472,1996,CALIFORNIA
0.7057319826750756,1998,CALIFORNIA
0.7696717051885525,2000,CALIFORNIA
0.7609688415330549,2004,CALIFORNIA
0.7420013242573312,2008,CALIFORNIA
0.7519313908278725,2012,CALIFORNIA
0.7361314015201932,2016,CALIFORNIA
0.7571210231310489,2020,CALIFORNIA
0.8433654805453942,1978,COLORADO
0.7268041237113402,1980,COLORADO
0.6935332708528584,1982,COLORADO
0.7125530624620983,1984,COLORADO
0.7553528945281524,1986,COLORADO
0.8193163320672816,1988,COLORADO
0.7053264604810997,1990,COLORADO
0.7007159929582248,1992,COLORADO
0.7328407146988232,1994,COLORADO
0.7456358774618564,1996,COLORADO
0.7908811647535515,1998,COLORADO
0.7735332997761183,2000,COLORADO
0.7390510344664705,2004,COLORADO
0.8049226208435919,2008,COLORADO
0.6911351450674813,2012,COLORADO
0.6904644493633121,2016,COLORADO
0.7239407747795377,2020,COLORADO
0.7717231222385862,1978,CONNECTICUT
0.852498017446471,1980,CONNECTICUT
0.726159793814433,1982,CONNECTICUT
0.8420618556701032,1984,CONNECTICUT
0.8170103092783505,1986,CONNECTICUT
0.8619702176403208,1988,CONNECTICUT
0.6672394043528065,1990,CONNECTICUT
0.739612136630945,1992,CONNECTICUT
0.7948669665500772,2008,CONNECTICUT
0.7414394946108982,2012,CONNECTICUT
0.6252883862630987,2016,CONNECTICUT
0.7013894973942373,2020,CONNECTICUT
0.9186484458757663,2008,DELAWARE
0.7440000810049643,2012,DELAWARE
0.8893847504171187,2020,DELAWARE
0.7658934707903781,1978,FLORIDA
0.7523669261519041,1980,FLORIDA
0.813953488372093,1982,FLORIDA
0.8043634619995205,1984,FLORIDA
0.8393788977981417,1986,FLORIDA
0.7659039476992708,1988,FLORIDA
0.837238363011559,1990,FLORIDA
0.7428797211315236,1992,FLORIDA
0.7622266906870728,1994,FLORIDA
0.7832664411502082,1996,FLORIDA
0.7859805673673909,1998,FLORIDA
0.7810627245115505,2000,FLORIDA
0.8044796656551185,2004,FLORIDA
0.755680661271936,2008,FLORIDA
0.7618823986640496,2012,FLORIDA
0.7661035285733777,2016,FLORIDA
0.7972600515802021,2020,FLORIDA
0.7770618556701031,1978,GEORGIA
0.8402061855670103,1980,GEORGIA
0.8281786941580755,1982,GEORGIA
0.8683726067746687,1984,GEORGIA
0.7898781630740395,1986,GEORGIA
0.786426116838488,1988,GEORGIA
0.7955014058106841,1990,GEORGIA
0.7894620977819036,1992,GEORGIA
0.7449120000999974,1994,GEORGIA
0.8067221760642167,1996,GEORGIA
0.80209130030706,1998,GEORGIA
0.8317139354282538,2000,GEORGIA
0.7735503705239709,2008,GEORGIA
0.7802401402013796,2012,GEORGIA
0.7579791402905889,2016,GEORGIA
0.8321969267943334,2020,GEORGIA
0.7702881311128733,1978,ILLINOIS
0.7493556701030928,1980,ILLINOIS
0.7837694951097013,1982,ILLINOIS
0.7784898300362219,1984,ILLINOIS
0.7617083946980854,1986,ILLINOIS
0.8334655035685963,1988,ILLINOIS
0.7721649484536083,1990,ILLINOIS
0.7521038029356558,1992,ILLINOIS
0.7495917371879668,1994,ILLINOIS
0.7847927235488603,1996,ILLINOIS
0.7447482426640314,1998,ILLINOIS
0.7915161408837288,2000,ILLINOIS
0.7613772443165051,2004,ILLINOIS
0.813410872513818,2008,ILLINOIS
0.7374021905244633,2012,ILLINOIS
0.6970160992846594,2016,ILLINOIS
0.7416798503523868,2020,ILLINOIS
0.7568067671160454,1978,INDIANA
0.7835051546391752,1980,INDIANA
0.7434462444771723,1984,INDIANA
