candidate,party_id,district_id,value,N,Q,vQ/N
A. Thomas Skriver Jensen,The Social Democratic Party,Fyns Storkreds,3726,40647,8,0.7333382537456639
A. Trine Bramsen,The Social Democratic Party,Fyns Storkreds,6456,40647,8,1.2706472802420843
A. Fie Hækkerup,The Social Democratic Party,Nordsjællands Storkreds,5789,23457,6,1.4807520143240824
A. Henrik Møller,The Social Democratic Party,Nordsjællands Storkreds,4218,23457,6,1.0789103465916356
A. Louise Mehnke,The Social Democratic Party,Nordsjællands Storkreds,2762,23457,6,0.7064842051413224
A. Matilde Powers,The Social Democratic Party,Nordsjællands Storkreds,4221,23457,6,1.0796777081468218
A. Miki Dam Larsen,The Social Democratic Party,Nordsjællands Storkreds,1820,23457,6,0.4655326768128917
A. Rasmus Stoklund,The Social Democratic Party,Nordsjællands Storkreds,4647,23457,6,1.188643048983246
A. Gunvor Wibroe,The Social Democratic Party,Københavns Omegns Storkreds,1903,35723,8,0.42616801500433893
A. Jeppe Bruus,The Social Democratic Party,Københavns Omegns Storkreds,4507,35723,8,1.0093217254989781
A. Kasper Sand Kjær,The Social Democratic Party,Københavns Omegns Storkreds,2930,35723,8,0.6561598969851357
A. Maria Durhuus,The Social Democratic Party,Københavns Omegns Storkreds,2616,35723,8,0.585841054782633
A. Maria Gudme,The Social Democratic Party,Københavns Omegns Storkreds,946,35723,8,0.21185230803683902
A. Mattias Tesfaye,The Social Democratic Party,Københavns Omegns Storkreds,13948,35723,8,3.1235898440780447
A. Morten Bødskov,The Social Democratic Party,Københavns Omegns Storkreds,8489,35723,8,1.9010721383982307
A. Sebastian Schwartz,The Social Democratic Party,Københavns Omegns Storkreds,384,35723,8,0.08599501721579934
A. Halima El Abassi,The Social Democratic Party,Københavns Storkreds,619,35889,12,0.20697149544428656
A. Ida Auken,The Social Democratic Party,Københavns Storkreds,9879,35889,12,3.303184819861239
A. Jarl Feyling,The Social Democratic Party,Københavns Storkreds,265,35889,12,0.08860653682186742
A. Jørgen Mørup Pedersen,The Social Democratic Party,Københavns Storkreds,158,35889,12,0.052829557803226616
A. Lars Aslan Rasmussen,The Social Democratic Party,Københavns Storkreds,2130,35889,12,0.7121959374738778
A. Lars Werge,The Social Democratic Party,Københavns Storkreds,574,35889,12,0.19192510239906377
A. Lone Larsen,The Social Democratic Party,Københavns Storkreds,336,35889,12,0.11234640140433001
A. Mette Reissmann,The Social Democratic Party,Københavns Storkreds,3347,35889,12,1.1191172782746803
A. Nikoline Prehn,The Social Democratic Party,Københavns Storkreds,1016,35889,12,0.3397141185321408
A. Pernille Rosenkrantz-Theil,The Social Democratic Party,Københavns Storkreds,5361,35889,12,1.7925269581208727
A. Peter Hummelgaard,The Social Democratic Party,Københavns Storkreds,9321,35889,12,3.1166095461004764
A. Yildiz Akdogan,The Social Democratic Party,Københavns Storkreds,2883,35889,12,0.9639722477639389
A. Lars Goldschmidt,The Social Democratic Party,Bornholms Storkreds,236,4223,3,0.16765332701870708
A. Lea Wermelin,The Social Democratic Party,Bornholms Storkreds,3580,4223,3,2.54321572341937
A. Steen Frandsen,The Social Democratic Party,Bornholms Storkreds,407,4223,3,0.2891309495619228
B. Abbas Razvi,The Danish Social-Liberal Party,Københavns Omegns Storkreds,171,8916,8,0.15343203230148048
B. Brian Køster,The Danish Social-Liberal Party,Københavns Omegns Storkreds,525,8916,8,0.47106325706594887
B. Christina Rittig Falkberg,The Danish Social-Liberal Party,Københavns Omegns Storkreds,1390,8916,8,1.2471960520412742
B. Esat Sentürk,The Danish Social-Liberal Party,Københavns Omegns Storkreds,584,8916,8,0.5240017945266936
B. Hediye Temiz,The Danish Social-Liberal Party,Københavns Omegns Storkreds,656,8916,8,0.588604755495738
