candidate,value,elected,party,party_id,district_id,N,Q,vQ/N
PAJETTA GIAN CARLO,104355,Eletto,PCI,1,1,410940,36,9.1419185282523
MAGRI LUCIO,46878,Eletto,PCI,1,1,410940,36,4.106701708278581
LEVI BALDINI NATALIA DETTA NATALIA GINZBURG,31825,Eletto,PCI,1,1,410940,36,2.787998247919404
SPAGNOLI UGO,20367,Eletto,PCI,1,1,410940,36,1.7842312746386333
VIOLANTE LUCIANO,19291,Eletto,PCI,1,1,410940,36,1.689969338589575
PISANI LUCIO,15674,Eletto,PCI,1,1,410940,36,1.3731055628558915
LIBERTINI LUCIO,13108,Eletto,PCI,1,1,410940,36,1.1483136224266317
ALASIA GIOVANNI BATTISTA,11861,Eletto,PCI,1,1,410940,36,1.0390713972842751
MOTETTA GIOVANNI,11712,Eletto,PCI,1,1,410940,36,1.0260183968462548
RONZANI GIANNI VILMER,11546,Eletto,PCI,1,1,410940,36,1.0114761279018836
SANLORENZO BERNARDO,10961,Eletto,PCI,1,1,410940,36,0.960227770477442
DANINI FERRUCCIO,9093,Eletto,PCI,1,1,410940,36,0.7965834428383706
MIGLIASSO ARDITO TERESA,8896,,PCI,1,1,410940,36,0.7793254489706527
MANFREDINI VILLER,8716,,PCI,1,1,410940,36,0.7635567236092861
MOLINERI FOSALBA,8457,,PCI,1,1,410940,36,0.7408672798948752
MAIORANA GIOVANNI,6937,,PCI,1,1,410940,36,0.6077091546211125
ALFIERI FIORENZO,6358,,PCI,1,1,410940,36,0.5569864213753832
GANDOLFO GIULIANA,5691,,PCI,1,1,410940,36,0.4985545335085414
TIRELLA GIOVANNI,4288,,PCI,1,1,410940,36,0.3756460797196671
FRANCONI UMBERTO,4256,,PCI,1,1,410940,36,0.3728427507665353
GRIJUELA FIORENZO,4176,,PCI,1,1,410940,36,0.36583442838370567
D'ANGELLA EMANUELE,3854,,PCI,1,1,410940,36,0.33762593079281644
ACCANTO PIER MARCO,3763,,PCI,1,1,410940,36,0.32965396408234776
TARTAGLIA ANGELO RENATO,3732,,PCI,1,1,410940,36,0.32693823915900133
GALLO BERNARDINO,3659,,PCI,1,1,410940,36,0.3205431449846693
PUCCI MODESTO,3655,,PCI,1,1,410940,36,0.3201927288655278
BIRACCI NICOLETTA,3564,,PCI,1,1,410940,36,0.3122207621550591
BADIOLI LEONARDO,3486,,PCI,1,1,410940,36,0.3053876478318003
CAPELLINO BOFFELI CARLA,3417,,PCI,1,1,410940,36,0.29934296977660974
CADEDDU SARA LINDA TERESA,3173,,PCI,1,1,410940,36,0.2779675865089794
GALAFASSI DANIELE,2810,,PCI,1,1,410940,36,0.24616732369689007
VEDOVATO SERGIO LUIGI,2808,,PCI,1,1,410940,36,0.24599211563731932
DIGLIO TOMMASO,2565,,PCI,1,1,410940,36,0.22470433639947437
BOSISIO FERRUCCIO,2508,,PCI,1,1,410940,36,0.2197109067017083
TRICERRI GIOVANNI,1772,,PCI,1,1,410940,36,0.15523434077967588
FERRARIS CARLO,1728,,PCI,1,1,410940,36,0.15137976346911958
PANNELLA GIACINO DETTO MARCO,17464,Eletto,P.RAD,2,1,35872,35,17.039473684210527
AGLIETTA MARIA ADELAIDE,6748,,P.RAD,2,1,35872,35,6.583965209634255
NEGRI GIOVANNI,3604,,P.RAD,2,1,35872,35,3.5163916146297947
ROCCELLA DETTO FRANCO FRANCESCO EUGENIO,2995,,P.RAD,2,1,35872,35,2.9221955842997325
VIGEVANO PAOLO,642,,P.RAD,2,1,35872,35,0.6263938447814451
CHICCO PAOLO,503,,P.RAD,2,1,35872,35,0.4907727475468332
CIVATI FERNANDA,346,,P.RAD,2,1,35872,35,0.3375892060660125
VITERBO ALFREDO,279,,P.RAD,2,1,35872,35,0.2722178858162355
CAIRUS ESTHER,263,,P.RAD,2,1,35872,35,0.25660682426404996
MERLIN ELISABETTA,208,,P.RAD,2,1,35872,35,0.20294380017841213
GOZZANO PIER ANGELO,203,,P.RAD,2,1,35872,35,0.19806534344335414
SIBILLE ATTILIO,197,,P.RAD,2,1,35872,35,0.19221119536128456
FAVA ROSA,172,,P.RAD,2,1,35872,35,0.16781891168599464
BERRUTO ALESSANDRO,157,,P.RAD,2,1,35872,35,0.1531835414808207
