candidate,value,elected,party,party_id,district_id,N,Q,vQ/N
SARAGAT GIUSEPPE,16833,Eletto,PSDI,1,1,60916,28,7.737277562545144
BONFANTINI CORRADO,5516,Eletto,PSDI,1,1,60916,28,2.5354258322936505
SECRETO GUIDO,4606,,PSDI,1,1,60916,28,2.117144920874647
CHIGNOLI LUIGI,3034,,PSDI,1,1,60916,28,1.3945761376321493
BATTISTINI RENATO,2921,,PSDI,1,1,60916,28,1.3426357607196795
SAVOIA GIOVANNI,2641,,PSDI,1,1,60916,28,1.2139339418215247
BRUZZONE LUIGI,2501,,PSDI,1,1,60916,28,1.1495830323724474
FALCETTO ANGIOLO,2145,,PSDI,1,1,60916,28,0.9859478626305076
NOVARETTI FRANCESCO,1921,,PSDI,1,1,60916,28,0.8829864075119838
BARTOLETTI ALDO,1889,,PSDI,1,1,60916,28,0.8682776282093374
RAMELLA SECONDO,1731,,PSDI,1,1,60916,28,0.7956530304025216
GALLINA ARCHIMEDE,1723,,PSDI,1,1,60916,28,0.7919758355768599
CALDERINI GIOVANNI,1616,,PSDI,1,1,60916,28,0.7427933547836365
CARANZANO ALDO,1541,,PSDI,1,1,60916,28,0.7083196532930593
PUTATURO VITANTONIO,1515,,PSDI,1,1,60916,28,0.6963687701096593
ARVONIO GIOSUE',1289,,PSDI,1,1,60916,28,0.5924880162847199
AMATEIS FRANCESCO,1188,,PSDI,1,1,60916,28,0.5460634316107427
RICOTTI GUIDO,1181,,PSDI,1,1,60916,28,0.5428458861382888
ARIANGO GIOVAN BATTISTA,879,,PSDI,1,1,60916,28,0.40403178146956464
NICOLAZZI FRANCO,793,,PSDI,1,1,60916,28,0.3645019370937028
PERUCCHETTI PAOLO,717,,PSDI,1,1,60916,28,0.3295685862499179
BENSO GIOVANNI,611,,PSDI,1,1,60916,28,0.28084575480990215
DE MAIO ANTONIO,405,,PSDI,1,1,60916,28,0.18615798804911682
NEGRO UMBERTO,395,,PSDI,1,1,60916,28,0.18156149451703985
FECCIA LIVIO,377,,PSDI,1,1,60916,28,0.17328780615930134
REINERI GIUSEPPE,374,,PSDI,1,1,60916,28,0.17190885809967824
RIVA GIOVANNI,345,,PSDI,1,1,60916,28,0.15857902685665506
RACHETTO PIETRO,229,,PSDI,1,1,60916,28,0.10525970188456235
TOGLIATTI PALMIRO,120759,Eletto,PCI,2,1,371683,28,9.097139228859001
COGGIOLA DOMENICO,55326,Eletto,PCI,2,1,371683,28,4.167874236916942
MORANINO FRANCESCO,51647,Eletto,PCI,2,1,371683,28,3.8907240847711626
RAVERA CAMILLA,43650,Eletto,PCI,2,1,371683,28,3.288285985638299
ORTONA SILVIO,24405,Eletto,PCI,2,1,371683,28,1.8385021644788704
SCARPA SERGIO,19662,Eletto,PCI,2,1,371683,28,1.4811976872765233
FLOREANINI GISELLA,13770,Eletto,PCI,2,1,371683,28,1.0373355789745562
BALTARO GIOVANNI,9835,,PCI,2,1,371683,28,0.7409001756873465
CODA SPIRITO MARIO,4806,,PCI,2,1,371683,28,0.36205045697543337
MARCHISIO DOMENICO,4258,,PCI,2,1,371683,28,0.3207679662508105
VANNONI PRIMO CARLO,3354,,PCI,2,1,371683,28,0.252666923157637
SACCHI ENRICO,1943,,PCI,2,1,371683,28,0.14637204284296026
BALCONI MARCELLA,1867,,PCI,2,1,371683,28,0.14064673391034835
BLANDINO VINCENZO,1741,,PCI,2,1,371683,28,0.1311547743641759
MANDIROLA ARMANDO,1688,,PCI,2,1,371683,28,0.1271621247138018
RAVETTO CARLO,1600,,PCI,2,1,371683,28,0.12053281963393538
TODROS ALBERTO,1486,,PCI,2,1,371683,28,0.11194485623501747
CACCIA MARIO,1418,,PCI,2,1,371683,28,0.10682221140057523
RASTELLI PIETRO,1368,,PCI,2,1,371683,28,0.10305556078701474
FERRERO VARSINO ANTONIO,1285,,PCI,2,1,371683,28,0.09680292076850434
GIUGLIANO GIUSEPPE,1062,,PCI,2,1,371683,28,0.0800036590320246
BATISTINI MARIO,1039,,PCI,2,1,371683,28,0.07827099974978678
SANTHIA' LUIGI BATTISTA,941,,PCI,2,1,371683,28,0.07088836454720823
LEVI GIORGINA,713,,PCI,2,1,371683,28,0.05371243774937245
CALLETTI ALBINO,683,,PCI,2,1,371683,28,0.05145244738123616
LEONARDI OTTAVIO,567,,PCI,2,1,371683,28,0.042713817957775846
CALVINO ITALO,464,,PCI,2,1,371683,28,0.03495451769384126
GRASSI LUIGI,346,,PCI,2,1,371683,28,0.026065222245838522
VILLABRUNA BRUNO,16835,Eletto,PLI,3,1,76189,28,6.186982372783473
ALPINO GIUSEPPE,11971,Eletto,PLI,3,1,76189,28,4.399427738912442
CAPUTO MASSIMILIANO,11916,,PLI,3,1,76189,28,4.379214847287666
DE MARCHI ENRICO,5059,,PLI,3,1,76189,28,1.8592185223588706
ZINI LAMBERTI GAETANO,4229,,PLI,3,1,76189,28,1.55418761238499
ARGENTA FRANCESCO,2910,,PLI,3,1,76189,28,1.069445720510835
MALCHIODI ERCOLE,2161,,PLI,3,1,76189,28,0.7941828872934413
OLIVETTI ARRIGO,1902,,PLI,3,1,76189,28,0.6989985430967725
FALCIONI GIOVANNI,1884,,PLI,3,1,76189,28,0.6923834149286643
AGOSTINI FRANCESCO,1786,,PLI,3,1,76189,28,0.6563677171245192
GIUSTINIANI MARCELLO,1702,,PLI,3,1,76189,28,0.6254971190066807
MONGILARDI GIUSEPPE,1511,,PLI,3,1,76189,28,0.5553032590006431
AVOGADRO DI VIGLIANO RODOLFO,1303,,PLI,3,1,76189,28,0.47886177794694773
BOBBA ALDO,1242,,PLI,3,1,76189,28,0.45644384359946977
ROSSANO PAOLO,1176,,PLI,3,1,76189,28,0.43218837364973944
BODO DI ALBARETTO GIUSEPPE,1131,,PLI,3,1,76189,28,0.4156505532294688
MAZZONE MAURO ITALO,1129,,PLI,3,1,76189,28,0.4149155389885679
FONIO MARIO,1075,,PLI,3,1,76189,28,0.39507015448424315
GRASSOTTI ALDO,919,,PLI,3,1,76189,28,0.33773904369397156
SANCIO ETTORE,906,,PLI,3,1,76189,28,0.3329614511281156
GHIGO PIETRO,859,,PLI,3,1,76189,28,0.31568861646694407
MASSARA PIETRO,457,,PLI,3,1,76189,28,0.16795075404585963
BERTOLINO CRISTOFORO LUIGI,445,,PLI,3,1,76189,28,0.16354066860045413
PESCETTI LUIGI,406,,PLI,3,1,76189,28,0.14920789090288625
NOMIS DI POLLONE AMEDEO,403,,PLI,3,1,76189,28,0.14810536954153486
BERARDI LUISA,302,,PLI,3,1,76189,28,0.11098715037603854
DEBERNARDI ANGIOLINA,295,,PLI,3,1,76189,28,0.10841460053288532
MICHON MARIO,275,,PLI,3,1,76189,28,0.10106445812387616
CALAMANDREI PIETRO,3655,,UNITA'POPOLARE,4,1,10771,28,9.501439049299044
ALUFFI TANCREDI,824,,UNITA'POPOLARE,4,1,10771,28,2.142048092099155
MALAN FRIDA,818,,UNITA'POPOLARE,4,1,10771,28,2.1264506545353266
GAROSCI ALDO,776,,UNITA'POPOLARE,4,1,10771,28,2.017268591588525
TRON EMILIO,741,,UNITA'POPOLARE,4,1,10771,28,1.9262835391328568
CHABOD RENATO,641,,UNITA'POPOLARE,4,1,10771,28,1.6663262464023767
CA' ZORZI GIACOMO,336,,UNITA'POPOLARE,4,1,10771,28,0.8734565035744127
VENTURI FRANCO,320,,UNITA'POPOLARE,4,1,10771,28,0.831863336737536
GLIOZZI MARIO,290,,UNITA'POPOLARE,4,1,10771,28,0.7538761489183919
LEVI RICCARDO,282,,UNITA'POPOLARE,4,1,10771,28,0.7330795654999536
CASALEGNO VINCENZO,273,,UNITA'POPOLARE,4,1,10771,28,0.7096834091542104
PICCARDI LEOPOLDO,230,,UNITA'POPOLARE,4,1,10771,28,0.597901773280104
LEVI LUISA,208,,UNITA'POPOLARE,4,1,10771,28,0.5407111688793984
GIANI FAUSTA,189,,UNITA'POPOLARE,4,1,10771,28,0.4913192832606072
BRUZZO COSTANTINO,167,,UNITA'POPOLARE,4,1,10771,28,0.4341286788599016
RHO EDMONDO,152,,UNITA'POPOLARE,4,1,10771,28,0.39513508495032956
GIORGI ENZO,148,,UNITA'POPOLARE,4,1,10771,28,0.3847367932411104
BERTOLOTTI LUIGI,131,,UNITA'POPOLARE,4,1,10771,28,0.3405440534769288
FERRARIS ARTURO,117,,UNITA'POPOLARE,4,1,10771,28,0.3041500324946616
FUBINI GUIDO,95,,UNITA'POPOLARE,4,1,10771,28,0.246959428093956
DI PIETRANTONIO MATILDE,87,,UNITA'POPOLARE,4,1,10771,28,0.2261628446755176
CERVI FERRUCCIO,64,,UNITA'POPOLARE,4,1,10771,28,0.1663726673475072
GRASSI MARCELLO,53,,UNITA'POPOLARE,4,1,10771,28,0.13777736514715438
NAZZARI NAZARIO,48,,UNITA'POPOLARE,4,1,10771,28,0.1247795005106304
MAGLIACANE FEDERICO,47,,UNITA'POPOLARE,4,1,10771,28,0.12217992758332559
MINOIA CELESTINO,33,,UNITA'POPOLARE,4,1,10771,28,0.08578590660105839
RASCHI ORAZIO,31,,UNITA'POPOLARE,4,1,10771,28,0.0805867607464488
SAGONA PIER LUIGI,15,,UNITA'POPOLARE,4,1,10771,28,0.038993593909572
BACHI EMILIO,434,,PRI,5,1,3447,28,3.5253843922251233
CAMANDONA RODOLFO,405,,PRI,5,1,3447,28,3.289817232375979
MARTELLI GIOVANNI,320,,PRI,5,1,3447,28,2.5993617638526256
CERA GIOVANNI,284,,PRI,5,1,3447,28,2.306933565419205
GRIECO NICOLA,219,,PRI,5,1,3447,28,1.7789382071366406
DEBENEDETTI LEO,209,,PRI,5,1,3447,28,1.697708152016246
GIACOMASSO PIER PAOLO,201,,PRI,5,1,3447,28,1.6327241079199304
PARMENTOLA VITTORIO,171,,PRI,5,1,3447,28,1.3890339425587468
VIANO LUIGI,171,,PRI,5,1,3447,28,1.3890339425587468
USSEGLIO GAUDI ITALO,159,,PRI,5,1,3447,28,1.2915578764142732
FOA FLORIO,150,,PRI,5,1,3447,28,1.2184508268059182
PARACCA LUIGI,109,,PRI,5,1,3447,28,0.8854076008123005
FRANCHINO CESARE,87,,PRI,5,1,3447,28,0.7067014795474326
BALLARINO DOMENICO,71,,PRI,5,1,3447,28,0.5767333913548013
DEBENEDETTI RICCARDO,68,,PRI,5,1,3447,28,0.552364374818683
GASTALDI DELFINO,58,,PRI,5,1,3447,28,0.47113431969828834
POZZO GIOVANNI,47,,PRI,5,1,3447,28,0.38178125906585436
LATTES ADA,46,,PRI,5,1,3447,28,0.37365825355381493
TOFFALONI MANLIO,39,,PRI,5,1,3447,28,0.3167972149695387
ALLAN MARIA PIA,37,,PRI,5,1,3447,28,0.3005512039454598
BOERI ALDINO,33,,PRI,5,1,3447,28,0.268059181897302
BRUNI MODESTO,31,,PRI,5,1,3447,28,0.2518131708732231
ROCCA ETTORE,23,,PRI,5,1,3447,28,0.18682912677690747
BELLACCINI AZZO,21,,PRI,5,1,3447,28,0.17058311575282856
PANICHI FORTUNATO,20,,PRI,5,1,3447,28,0.1624601102407891
RISSO BENEDETTO,18,,PRI,5,1,3447,28,0.1462140992167102
PECCHIO PIETRO,13,,PRI,5,1,3447,28,0.10559907165651292
PITTO ADOLFO,3,,PRI,5,1,3447,28,0.024369016536118365
IACOMETTI ALBERTO,18186,Eletto,PSI,6,1,103736,28,4.908691293282949
FOA VITTORIO,15906,Eletto,PSI,6,1,103736,28,4.293282949024447
SAMPIETRO GIOVANNI,11324,Eletto,PSI,6,1,103736,28,3.0565281098172283
GUGLIELMINETTI MARZIANO,7908,Eletto,PSI,6,1,103736,28,2.134495257191332
ALBERTINI FRANCESCO,7884,,PSI,6,1,103736,28,2.1280172746201895
BERMANI ALESSANDRO,5924,,PSI,6,1,103736,28,1.5989820313102492
PIRAZZI MAFFIOLA ALCIDE,4674,,PSI,6,1,103736,28,1.2615871057299297
FERRARIS GIUSEPPE,4588,,PSI,6,1,103736,28,1.2383743348500038
CARLETTO GIULIO,4270,,PSI,6,1,103736,28,1.1525410657823707
ANSALDI EMILIO,3931,,PSI,6,1,103736,28,1.061039561964988
