candidate,party_id,value,district_id,N,Q,vQ/N
VERONIKA ISBERG,Rahva Ühtsuse Erakond,55,1,89,3,1.853932584269663
VADIM ŠAPTŠENKO,Rahva Ühtsuse Erakond,20,1,89,3,0.6741573033707865
AIMAR JUKKUM,Rahva Ühtsuse Erakond,14,1,89,3,0.47191011235955055
URMAS ESPENBERG,Eesti Konservatiivne Rahvaerakond,2087,1,2986,11,7.68821165438714
NELE VALGEPEA,Eesti Konservatiivne Rahvaerakond,281,1,2986,11,1.0351640991292699
MARET JÕGI,Eesti Konservatiivne Rahvaerakond,130,1,2986,11,0.47890154052243805
RIHO RAUSMA,Eesti Konservatiivne Rahvaerakond,116,1,2986,11,0.4273275284661755
ANNIKA SOOTS,Eesti Konservatiivne Rahvaerakond,101,1,2986,11,0.3720696584058942
TAIVO PÕRK,Eesti Konservatiivne Rahvaerakond,83,1,2986,11,0.3057602143335566
REIN PIKA,Eesti Konservatiivne Rahvaerakond,57,1,2986,11,0.20997990622906898
URMAS SIEMER,Eesti Konservatiivne Rahvaerakond,47,1,2986,11,0.17314132618888145
NIKOLAI JAKOBIŠVILI,Eesti Konservatiivne Rahvaerakond,28,1,2986,11,0.10314802411252512
MARIKA ISTAHL,Eesti Konservatiivne Rahvaerakond,28,1,2986,11,0.10314802411252512
ALEKSANDER TŠERNIKOV,Eesti Konservatiivne Rahvaerakond,28,1,2986,11,0.10314802411252512
KRISTEN MICHAL,Eesti Reformierakond,4766,1,14149,11,3.7052795250547743
HEIDY PURGA,Eesti Reformierakond,3283,1,14149,11,2.5523358541239665
VILJA SAVISAAR-TOOMAST,Eesti Reformierakond,2395,1,14149,11,1.861969043748675
REMO HOLSMER,Eesti Reformierakond,1385,1,14149,11,1.076754540956958
TIINA LOKK-TRAMBERG,Eesti Reformierakond,977,1,14149,11,0.7595589794331755
ANTS LEEMETS,Eesti Reformierakond,570,1,14149,11,0.44314085801116687
ANDRES ARO,Eesti Reformierakond,206,1,14149,11,0.16015266096543926
LIINA HERMAKÜLA,Eesti Reformierakond,184,1,14149,11,0.14304897872641176
KARIN PÄRTEL,Eesti Reformierakond,150,1,14149,11,0.11661601526609654
TATJANA MURAVJOVA,Eesti Reformierakond,144,1,14149,11,0.11195137465545268
GEROL SILKIN,Eesti Reformierakond,89,1,14149,11,0.06919216905788395
KEN-MARTI VAHER,Erakond Isamaa ja Res Publica Liit,2313,1,7193,11,3.5371889336855276
LIISA-LY PAKOSTA,Erakond Isamaa ja Res Publica Liit,1808,1,7193,11,2.764910329487001
TARMO KRUUSIMÄE,Erakond Isamaa ja Res Publica Liit,1260,1,7193,11,1.9268733490893926
TIIT MEREN,Erakond Isamaa ja Res Publica Liit,292,1,7193,11,0.44654525232865283
DIANA INGERAINEN,Erakond Isamaa ja Res Publica Liit,288,1,7193,11,0.44042819407757544
MAKSIM ROGALSKI,Erakond Isamaa ja Res Publica Liit,278,1,7193,11,0.42513554844988183
AVO ÜPRUS,Erakond Isamaa ja Res Publica Liit,247,1,7193,11,0.3777283470040317
TIIA SIHVER,Erakond Isamaa ja Res Publica Liit,233,1,7193,11,0.3563186431252607
TIIT RIISALO,Erakond Isamaa ja Res Publica Liit,229,1,7193,11,0.35020158487418324
IMRE RAMMUL,Erakond Isamaa ja Res Publica Liit,158,1,7193,11,0.24162380091755875
HENRIK AAVIK,Erakond Isamaa ja Res Publica Liit,87,1,7193,11,0.13304601696093424
OLEV-ANDRES TINN,Erakond Eestimaa Rohelised,247,1,539,6,2.749536178107607
EERO UUSTALU,Erakond Eestimaa Rohelised,85,1,539,6,0.9461966604823747
MIHKEL VESKIMÄGI,Erakond Eestimaa Rohelised,69,1,539,6,0.7680890538033395
PIRET KÄIGE,Erakond Eestimaa Rohelised,62,1,539,6,0.6901669758812616
RAIVO JUURAK,Erakond Eestimaa Rohelised,39,1,539,6,0.43413729128014844
ANDREI GUDIM,Erakond Eestimaa Rohelised,37,1,539,6,0.41187384044526903
VICTOR POLYAKOFF,Eestimaa Ühendatud Vasakpartei,16,1,39,4,1.641025641025641
JEKATERINA KRAVTSOVA,Eestimaa Ühendatud Vasakpartei,11,1,39,4,1.1282051282051282
DIANA VINOGRADOVA,Eestimaa Ühendatud Vasakpartei,9,1,39,4,0.9230769230769231
ADA LEIST,Eestimaa Ühendatud Vasakpartei,3,1,39,4,0.3076923076923077
NEEME KUNINGAS,Eesti Vabaerakond,2432,1,4557,11,5.870528856703972
KÜLLIKI KÜBARSEPP,Eesti Vabaerakond,1032,1,4557,11,2.4911125740618827
ANTS MILLER,Eesti Vabaerakond,227,1,4557,11,0.5479482115426816
TÕNU TEEVEER,Eesti Vabaerakond,210,1,4557,11,0.5069124423963134
LII RAMJALG,Eesti Vabaerakond,192,1,4557,11,0.46346280447662935
GEORG KIRSBERG,Eesti Vabaerakond,179,1,4557,11,0.43208251042352425
KUIDO MERITS,Eesti Vabaerakond,87,1,4557,11,0.21000658327847269
IVIKA PUUST,Eesti Vabaerakond,70,1,4557,11,0.16897081413210446
JAANUS PAASOJA,Eesti Vabaerakond,59,1,4557,11,0.1424182576256309
PEETER KÕLUVERE,Eesti Vabaerakond,50,1,4557,11,0.1206934386657889
MAGOMED MURTUZALIEV,Eesti Vabaerakond,19,1,4557,11,0.04586350669299978
MIHHAIL KÕLVART,Eesti Keskerakond,10996,1,18916,11,6.3943751321632485
VIKTOR VASSILJEV,Eesti Keskerakond,1862,1,18916,11,1.0827870585747514
MÄRT SULTS,Eesti Keskerakond,1285,1,18916,11,0.7472510044406852
ANDREI NOVIKOV,Eesti Keskerakond,1096,1,18916,11,0.6373440473673081
KARIN TAMMEMÄGI,Eesti Keskerakond,881,1,18916,11,0.5123176147176993
MAREK JÜRGENSON,Eesti Keskerakond,687,1,18916,11,0.3995030661873546
KALEV KALLO,Eesti Keskerakond,575,1,18916,11,0.33437301755127935
ANTON STALNUHHIN,Eesti Keskerakond,491,1,18916,11,0.2855254810742229
LAURI LAASI,Eesti Keskerakond,407,1,18916,11,0.23667794459716643
ENNO TAMM,Eesti Keskerakond,346,1,18916,11,0.20120532882216113
IRINA ANTONJUK,Eesti Keskerakond,290,1,18916,11,0.16864030450412348
EIKI NESTOR,Sotsiaaldemokraatlik Erakond,3744,1,7718,11,5.336097434568541
