candidate,party_id,district_id,value,N,Q,vQ/N
A. Anders Andreasen,tjyllands Storkreds,A. Socialdemokratiet,410,45863,10,0.08939668142075312
A. Anne Paulin,tjyllands Storkreds,A. Socialdemokratiet,6100,45863,10,1.3300481869916927
A. Annette Lind,tjyllands Storkreds,A. Socialdemokratiet,12703,45863,10,2.769770839238602
A. Frank Heidemann,tjyllands Storkreds,A. Socialdemokratiet,1697,45863,10,0.370015044807361
A. Helle Dam,tjyllands Storkreds,A. Socialdemokratiet,2948,45863,10,0.642783943483854
A. Karin Gaardsted,tjyllands Storkreds,A. Socialdemokratiet,5931,45863,10,1.293199310991431
A. Kasper Skov Andersen,tjyllands Storkreds,A. Socialdemokratiet,413,45863,10,0.09005080347992936
A. Lars Fibæk,tjyllands Storkreds,A. Socialdemokratiet,150,45863,10,0.032706102958812114
A. Mogens Jensen,tjyllands Storkreds,A. Socialdemokratiet,7921,45863,10,1.7271002769116717
A. Thomas Jensen,tjyllands Storkreds,A. Socialdemokratiet,7590,45863,10,1.654928809715893
A. Ane Halsboe-Jørgensen,djyllands Storkreds,A. Socialdemokratiet,8285,72010,9,1.0354811831690043
A. Bjarne Laustsen,djyllands Storkreds,A. Socialdemokratiet,16704,72010,9,2.087710040272184
A. Flemming Møller Mortensen,djyllands Storkreds,A. Socialdemokratiet,7897,72010,9,0.9869879183446744
A. Morten Ryom,djyllands Storkreds,A. Socialdemokratiet,2246,72010,9,0.28071101235939455
A. Orla Hav,djyllands Storkreds,A. Socialdemokratiet,13046,72010,9,1.6305235383974448
A. Per Husted,djyllands Storkreds,A. Socialdemokratiet,3934,72010,9,0.4916817108734898
A. Peter Duetoft,djyllands Storkreds,A. Socialdemokratiet,3149,72010,9,0.3935703374531315
A. Rasmus Prehn,djyllands Storkreds,A. Socialdemokratiet,5875,72010,9,0.7342730176364394
A. Simon Kollerup,djyllands Storkreds,A. Socialdemokratiet,10874,72010,9,1.359061241494237
A. Anne Sina,jyllands Storkreds,A. Socialdemokratiet,4582,130122,24,0.8451145847742887
A. Benny Engelbrecht,jyllands Storkreds,A. Socialdemokratiet,8516,130122,24,1.5707105639323098
A. Bjarne Corydon,jyllands Storkreds,A. Socialdemokratiet,11326,130122,24,2.088993406188039
A. Christen Sørensen,jyllands Storkreds,A. Socialdemokratiet,1779,130122,24,0.3281228385668834
A. Christian Rabjerg Madsen,jyllands Storkreds,A. Socialdemokratiet,5201,130122,24,0.9592843639046433
A. Daniel Toft Jakobsen,jyllands Storkreds,A. Socialdemokratiet,4344,130122,24,0.8012173191312768
A. Frank Mosegaard,jyllands Storkreds,A. Socialdemokratiet,354,130122,24,0.06529257158666482
A. Helle Due Buchvaldt,jyllands Storkreds,A. Socialdemokratiet,2739,130122,24,0.5051874394798728
A. Henrik Dam Kristensen,jyllands Storkreds,A. Socialdemokratiet,8109,130122,24,1.495642550836907
A. Jan Salskov,jyllands Storkreds,A. Socialdemokratiet,237,130122,24,0.043712823350394246
A. Jens Joel,jyllands Storkreds,A. Socialdemokratiet,7191,130122,24,1.3263245262138608
A. Jesper Petersen,jyllands Storkreds,A. Socialdemokratiet,6842,130122,24,1.2619541660902844
A. John Nyborg,jyllands Storkreds,A. Socialdemokratiet,2719,130122,24,0.5014985936275188
A. Karen J. Klint,jyllands Storkreds,A. Socialdemokratiet,6050,130122,24,1.1158758703370684
A. Kim Qvist,jyllands Storkreds,A. Socialdemokratiet,1365,130122,24,0.2517637294231567
A. Kirsten Brosbøl,jyllands Storkreds,A. Socialdemokratiet,10843,130122,24,1.9999077788536912
A. Leif Lahn Jensen,jyllands Storkreds,A. Socialdemokratiet,7393,130122,24,1.3635818693226356
A. Maja Panduro,jyllands Storkreds,A. Socialdemokratiet,8672,130122,24,1.5994835615806704
A. Malte Larsen,jyllands Storkreds,A. Socialdemokratiet,3449,130122,24,0.6361414672384378
A. Nicolai Wammen,jyllands Storkreds,A. Socialdemokratiet,21152,130122,24,3.901323373449532
A. Niels Ole Beck,jyllands Storkreds,A. Socialdemokratiet,1130,130122,24,0.20841979065799787
A. Ove Jensen,jyllands Storkreds,A. Socialdemokratiet,138,130122,24,0.02545303638124222
A. Thyge Risvig,jyllands Storkreds,A. Socialdemokratiet,100,130122,24,0.018444229261769723
A. Troels Ravn,jyllands Storkreds,A. Socialdemokratiet,5891,130122,24,1.0865495458108545
A. Astrid Krag,llands Storkreds,A. Socialdemokratiet,14898,83374,12,2.1442655983879866
A. Henrik Sass Larsen,llands Storkreds,A. Socialdemokratiet,7201,83374,12,1.036438218149543
A. Jeannie Thorving Hansen,llands Storkreds,A. Socialdemokratiet,825,83374,12,0.11874205387770768
A. Kaare Dybvad,llands Storkreds,A. Socialdemokratiet,4121,83374,12,0.5931345503394344
A. Kasper Roug,llands Storkreds,A. Socialdemokratiet,4257,83374,12,0.6127089980089716
A. Lennart Damsbo-Andersen,llands Storkreds,A. Socialdemokratiet,5902,83374,12,0.8494734569530069
A. Magnus Heunicke,llands Storkreds,A. Socialdemokratiet,17864,83374,12,2.5711612732986304
A. Mette Gjerskov,llands Storkreds,A. Socialdemokratiet,3935,83374,12,0.5663636145560966
A. Ole Hækkerup,llands Storkreds,A. Socialdemokratiet,3561,83374,12,0.5125338834648692
A. Pernille Rosenkrantz-Theil,llands Storkreds,A. Socialdemokratiet,12071,83374,12,1.7373761604337083
