candidate,value,elected,party,party_id,district_id,N,Q,vQ/N
PAJETTA GIAN CARLO,98354,Eletto,PCI,1,1,317482,33,10.223200055436214
DAMICO VITO,20307,Eletto,PCI,1,1,317482,33,2.1107684845125076
TODROS ALBERTO,17881,Eletto,PCI,1,1,317482,33,1.8586030074145936
SULOTTO EGIDIO,16012,Eletto,PCI,1,1,317482,33,1.6643337260065139
LEVI GIORGINA VED. ARIAN,15010,Eletto,PCI,1,1,317482,33,1.5601829395052318
SPAGNOLI UGO,14032,Eletto,PCI,1,1,317482,33,1.458526782620747
TEMPIA VALENTA ELVO,13289,Eletto,PCI,1,1,317482,33,1.3812972074007346
MAULINI PASQUALE,12847,Eletto,PCI,1,1,317482,33,1.3353544452913866
GASTONE ERALDO,12242,Eletto,PCI,1,1,317482,33,1.2724689903679578
ALLERA PIER GIORGIO,8990,Eletto,PCI,1,1,317482,33,0.934446677291941
AGAZZONI FRANCO,8286,,PCI,1,1,317482,33,0.8612708751992239
AYASSOT GIOVANNI,8241,,PCI,1,1,317482,33,0.8565934446677292
DELLAVALLE CLAUDIO,6737,,PCI,1,1,317482,33,0.7002633220151063
BALCONI MARCELLA,6604,,PCI,1,1,317482,33,0.686438916222022
GROSA NICOLA,6366,,PCI,1,1,317482,33,0.66170050585545
SANGUINETI EDOARDO,6356,,PCI,1,1,317482,33,0.6606610768484512
GARBI MARIO,5266,,PCI,1,1,317482,33,0.5473633150855797
BALDINI ENEA,3978,,PCI,1,1,317482,33,0.4134848589841314
BECCARO ELIDE IN VESCOVO,3305,,PCI,1,1,317482,33,0.3435312868131107
BRICCO ANTONIO,3131,,PCI,1,1,317482,33,0.32544522209133114
FRANCESCONI FRANCESCO,3056,,PCI,1,1,317482,33,0.31764950453884
CAVALLI LUCIANO,2715,,PCI,1,1,317482,33,0.2822049754001802
GIULIO GINO,2706,,PCI,1,1,317482,33,0.28126948929388124
ZANONI VALTER,2573,,PCI,1,1,317482,33,0.2674450835007969
MANDOSINO EUSEBIO,2564,,PCI,1,1,317482,33,0.266509597394498
RONZA CARLA IN MAGGIA,2451,,PCI,1,1,317482,33,0.25476404961541127
MAZZOLA PIETRO,2402,,PCI,1,1,317482,33,0.24967084748111704
MAGGIANI DINO,2343,,PCI,1,1,317482,33,0.24353821633982398
MERZAGORA ALESSANDRO,2224,,PCI,1,1,317482,33,0.231169011156538
MARCELLINO WANDA IN GALLEAZZO,1967,,PCI,1,1,317482,33,0.20445568567666828
NAVIGANTI NATALINA IN GALASSI,1885,,PCI,1,1,317482,33,0.19593236781927795
ZAMPINI FERDINANDO,1721,,PCI,1,1,317482,33,0.17888573210449726
PEZZINO FRANCESCO,1641,,PCI,1,1,317482,33,0.17057030004850668
LIBERTINI LUCIO,5925,Eletto,PSIUP,2,1,24107,33,8.110714730161364
AMODEI FAUSTO,1905,Eletto,PSIUP,2,1,24107,33,2.6077487866594766
CASTOLDI GIUSEPPE,1582,,PSIUP,2,1,24107,33,2.165595055378106
BARAZZETTI ALBINO,1149,,PSIUP,2,1,24107,33,1.5728626540009125
BATTAGLIA LUCIANO,995,,PSIUP,2,1,24107,33,1.3620525158667607
DINA ANGELO,907,,PSIUP,2,1,24107,33,1.2415895797901024
CERRUTI LUIGI,837,,PSIUP,2,1,24107,33,1.1457667897291244
PASSONI PIER LUIGI,751,,PSIUP,2,1,24107,33,1.0280416476542082
BIONDA CELSO,656,,PSIUP,2,1,24107,33,0.8979964325714522
BASSO GIUSEPPE,653,,PSIUP,2,1,24107,33,0.8938897415688389
ROLANDO ITALO,637,,PSIUP,2,1,24107,33,0.8719873895549011
FENOGLIO TEOBALDO,565,,PSIUP,2,1,24107,33,0.7734268054921807
ZANOTTI MICHELE,532,,PSIUP,2,1,24107,33,0.7282532044634339
PIRACCINI GUIDO,507,,PSIUP,2,1,24107,33,0.6940307794416559
CAPELLO MARIA,480,,PSIUP,2,1,24107,33,0.6570705604181358
ROBOTTI EZIO,471,,PSIUP,2,1,24107,33,0.6447504874102957
TRAVERS CARLO ALBERTO,464,,PSIUP,2,1,24107,33,0.635168208404198
BURBERI GILBERTO,441,,PSIUP,2,1,24107,33,0.6036835773841622
FERRARA ANGELO,432,,PSIUP,2,1,24107,33,0.5913635043763222
CODA ZABET FRANCESCO,427,,PSIUP,2,1,24107,33,0.5845190193719666
COCCA BATTISTA,387,,PSIUP,2,1,24107,33,0.529763139337122
GIANOTTI GIUSEPPE,381,,PSIUP,2,1,24107,33,0.5215497573318953
LUSSO GINO,376,,PSIUP,2,1,24107,33,0.5147052723275397
CARLETTO BATTISTA,345,,PSIUP,2,1,24107,33,0.4722694653005351
COLOMBO ENRICO,342,,PSIUP,2,1,24107,33,0.46816277429792175
GIANOTTI MARIO,303,,PSIUP,2,1,24107,33,0.41477579126394826
FERRARIO FRANCESCO,302,,PSIUP,2,1,24107,33,0.41340689426307714
MAGLIANO LORENZO,277,,PSIUP,2,1,24107,33,0.3791844692412992
GOLA GIUSEPPE,266,,PSIUP,2,1,24107,33,0.36412660223171694
FERRARIO PIETRO,253,,PSIUP,2,1,24107,33,0.34633094122039243
SLOMPO CARLO,224,,PSIUP,2,1,24107,33,0.30663292819513005
VARINI CARLO,199,,PSIUP,2,1,24107,33,0.27241050317335214
MINELLA LUIGI,136,,PSIUP,2,1,24107,33,0.18616999211847182
ALPINO GIUSEPPE,32012,Eletto,PLI,3,1,171384,33,6.163912617280493
CATELLA VITTORE,26302,Eletto,PLI,3,1,171384,33,5.064451757456939
DEMARCHI ENRICO,15502,Eletto,PLI,3,1,171384,33,2.984911076879989
ALTAMURA MARIO,9076,,PLI,3,1,171384,33,1.7475843719367035
PORTA STEFANO,8187,,PLI,3,1,171384,33,1.5764073659151379
CASALEGNO UMBERTO,7089,,PLI,3,1,171384,33,1.364987396723148
ZANONE VALERIO,6237,,PLI,3,1,171384,33,1.2009347430331887
ROSSOTTO CARLOFELICE,5995,,PLI,3,1,171384,33,1.1543376277832236
CAFFARENA GIACOMO,5097,,PLI,3,1,171384,33,0.9814276711945106
CHIELI FABRIZIO,4693,,PLI,3,1,171384,33,0.9036374457358913
PIETRI MASSIMO,4250,,PLI,3,1,171384,33,0.8183377678196331
MANGANARO ANTONIA,3746,,PLI,3,1,171384,33,0.7212925360593755
BUSTO DOMENICO,3687,,PLI,3,1,171384,33,0.7099320823414088
VIGNO ANDREA,3529,,PLI,3,1,171384,33,0.67950917238482
FRANCHI FILIPPO,3458,,PLI,3,1,171384,33,0.6658381179106567
GARRONE OCCLERIO,3322,,PLI,3,1,171384,33,0.6396513093404285
ZIGNOLI VITTORINO,3081,,PLI,3,1,171384,33,0.5932467441534799
CANSACCHI DI AMELIA E DI CASTELNOVO GIORGIO,2639,,PLI,3,1,171384,33,0.5081396163002381
PUGNO REMO,2322,,PLI,3,1,171384,33,0.44710124632404424
POZZA GEROLAMO,2205,,PLI,3,1,171384,33,0.42457288895112727
RANGHINO CARLO,2191,,PLI,3,1,171384,33,0.4218771880688979
ZAARUOLO DOMENICO,2125,,PLI,3,1,171384,33,0.40916888390981654
ROVERE CARLO,2010,,PLI,3,1,171384,33,0.3870256266629324
BROGGIO ALBERTO,1831,,PLI,3,1,171384,33,0.3525591653829996
MENZIO ADELE,1597,,PLI,3,1,171384,33,0.30750245063716564
ROCCO GIULIO,1479,,PLI,3,1,171384,33,0.28478154320123233
VIGANOTTI ITALO,1457,,PLI,3,1,171384,33,0.28054544181487184
GALLETTI GIUSEPPE,1323,,PLI,3,1,171384,33,0.25474373337067635
GIOIRA FRANCO,1261,,PLI,3,1,171384,33,0.24280562946366055
GRASSI RICCARDO,1257,,PLI,3,1,171384,33,0.24203542921159502
VINCENTI LUCIANO,1025,,PLI,3,1,171384,33,0.19736381459179386
OCCLEPPO PIETRO UMBERTO,1013,,PLI,3,1,171384,33,0.19505321383559726
SCARUFFI MARIO,386,,PLI,3,1,171384,33,0.07432432432432433
MARIANINI GIAN LUIGI,126,,NUOVA REPUBBLICA,4,1,578,10,2.179930795847751
MAGNO GIUSEPPE,96,,NUOVA REPUBBLICA,4,1,578,10,1.6608996539792387
FAVALE FAUSTINO,64,,NUOVA REPUBBLICA,4,1,578,10,1.1072664359861593
CAPORALI ALFREDO,54,,NUOVA REPUBBLICA,4,1,578,10,0.9342560553633218
MANCINI PAOLO,54,,NUOVA REPUBBLICA,4,1,578,10,0.9342560553633218
MASOERO ELSA,49,,NUOVA REPUBBLICA,4,1,578,10,0.8477508650519031
GALLINA STEFANO,41,,NUOVA REPUBBLICA,4,1,578,10,0.7093425605536332
VERDERONE GIOVANNI,40,,NUOVA REPUBBLICA,4,1,578,10,0.6920415224913494
COLONNA EZIO,38,,NUOVA REPUBBLICA,4,1,578,10,0.657439446366782
GIATTINO LEONARDO,16,,NUOVA REPUBBLICA,4,1,578,10,0.2768166089965398
FERRARIO PIERINO LUIGI,2513,,PDIUM,5,1,8166,33,10.155400440852315
MUROLO VITTORIO,689,,PDIUM,5,1,8166,33,2.78434974283615
ARMOSINO GIUSEPPE,667,,PDIUM,5,1,8166,33,2.695444526083762
LICCIARDI FRANCESCO,631,,PDIUM,5,1,8166,33,2.549963262307127
CUTTITTA ANTONINO,498,,PDIUM,5,1,8166,33,2.0124908155767818
LO GRECO SEBASTIANO,298,,PDIUM,5,1,8166,33,1.204261572373255
ASINARI ROSSILLON DI BERNEZZO MARIA INES IN MANNO,284,,PDIUM,5,1,8166,33,1.1476855253490081
THAON DI REVEL DI PRALUNGO DI CASTELNUOVO CARLO,260,,PDIUM,5,1,8166,33,1.050698016164585
ADORNO MICHELE,240,,PDIUM,5,1,8166,33,0.9698750918442322
BOLLA GIOVANNI,210,,PDIUM,5,1,8166,33,0.8486407053637032
AGOSTA GAUDENZIO,164,,PDIUM,5,1,8166,33,0.662747979426892
DARDINO NICOLAO,150,,PDIUM,5,1,8166,33,0.6061719324026451
GAGLIARDINI LIVIO,140,,PDIUM,5,1,8166,33,0.5657604702424688
SEREN GAY GIACOMO,128,,PDIUM,5,1,8166,33,0.5172667156502572
CASELLI MAURIZIO,121,,PDIUM,5,1,8166,33,0.4889786921381337
LANZETTI GIUSEPPE,117,,PDIUM,5,1,8166,33,0.4728141072740632
BALP ALFREDO,105,,PDIUM,5,1,8166,33,0.4243203526818516
VOLPIS BRUNO,86,,PDIUM,5,1,8166,33,0.3475385745775165
VALFRE' DI BONZO OTTAVIO,80,,PDIUM,5,1,8166,33,0.3232916972814107
BONFANTE GIULIANO,79,,PDIUM,5,1,8166,33,0.3192505510653931
DE BONIS ALBERTO,75,,PDIUM,5,1,8166,33,0.30308596620132255
SAVIOLO EUSEBIO,70,,PDIUM,5,1,8166,33,0.2828802351212344
CERRINA FERONI RODOLFO,69,,PDIUM,5,1,8166,33,0.27883908890521675
