candidate,elected,value,party,party_id,district_id,N,Q,vQ/N
M.J. (Job) Cohen,False,65538,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,60.48332234673698
N. (Nebahat) Albayrak,False,2946,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,2.7187870797626896
A.G. (Agnes) Wolbert,False,2078,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,1.9177323665128543
R.H.A. (Ronald) Plasterk,False,1065,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.982860909690178
J. (Jetta) Klijnsma,False,951,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.8776532630191167
M.I. (Mariëtte) Hamer,False,580,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.5352669742913645
D.M. (Diederik) Samsom,False,313,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.2888595912986157
T.R. (Tjeerd) van Dekken,False,296,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.2731707317073171
S.A.M. (Sharon) Dijksma,False,278,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.25655899802241267
M. (Marianne) Besselink,False,262,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.24179301252471985
M.L. (Mei Li) Vos,False,210,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.19380355965721818
G.A. (Gerdi) Verbeet,False,142,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.13104812129202373
A. (Ahmed) Marcouch,False,109,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.1005932762030323
A. (Ard) van der Tuuk,False,67,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.06183256427158866
J.R.V.A. (Jeroen) Dijsselbloem,False,66,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.06090969017798286
J.L. (Hans) Spekman,False,62,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.05721819380355966
M.J.A. (Thijs) Reuten,False,62,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.05721819380355966
J.M. (Marijke) Drees,False,55,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.05075807514831905
F.C.G.M. (Frans) Timmermans,False,55,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.05075807514831905
K.A. (Karin) Hazewinkel,False,44,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.04060646011865524
A.H. (Attje) Kuiken,False,41,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.03783783783783784
M.H.P. (Martijn) van Dam,False,36,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.033223467369808836
L. (Lutz) Jacobi,False,35,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.032300593276203035
L.T. (Lea) Bouwmeester,False,35,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.032300593276203035
A.J. (Anja) Timmer,False,35,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.032300593276203035
K. (Khadija) Arib,False,33,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.03045484508899143
M. (Mohamed) Mohandis,False,33,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.03045484508899143
K. (Keklik) Yücel,False,28,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.025840474620962426
L.J. (Lodewijk) de Waal,False,28,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.025840474620962426
M. (Metin) Çelik,False,26,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.023994726433750824
R.A. (Roos) Vermeij,False,22,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.02030323005932762
M. (Myrthe) Hilkens,False,20,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.01845748187211602
T.M. (Tanja) Jadnanansing,False,19,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.01753460777851022
M.V.H. (Marije) van den Berg,False,19,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.01753460777851022
H. (Henk) Nijboer,False,18,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.016611733684904418
J.C. (Jan) Vos,False,17,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.015688859591298617
A.M.C. (Angelien) Eijsink,False,16,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.014765985497692815
E. (Eelke) van der Veen,False,14,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.012920237310481213
P.E. (Pauline) Smeets,False,14,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.012920237310481213
H. (Hedy) d' Ancona,False,14,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.012920237310481213
S. (Sander) Terphuis,False,13,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.011997363216875412
M. (Margot) Kraneveldt-van der Veen,False,13,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.011997363216875412
J.S. (Jacques) Monasch,False,12,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.011074489123269611
V.A. (Ed) Groot,False,12,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.011074489123269611
G.S.I.A. (Grace) Tanamal,False,12,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.011074489123269611
J. (Jeroen) Recourt,False,11,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.01015161502966381
J.A.W.J. (John) Leerdam,False,11,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.01015161502966381
J. (Jeroen) de Lange,False,11,Partij van de Arbeid (P.v.d.A.),544124,663491,75850,70,0.01015161502966381
