candidate,value,elected,party,party_id,district_id,N,Q,vQ/N
PAJETTA GIAN CARLO,103730,Eletto,PCI,1,1,323403,33,10.584595690206955
DAMICO VITO,25845,Eletto,PCI,1,1,323403,33,2.637220433947737
GARBI MARIO,25506,Eletto,PCI,1,1,323403,33,2.60262891809909
SPAGNOLI UGO,20432,Eletto,PCI,1,1,323403,33,2.0848786189367448
FURIA GIOVANNI,19425,Eletto,PCI,1,1,323403,33,1.9821244700884035
TODROS ALBERTO,17387,Eletto,PCI,1,1,323403,33,1.7741672155174812
GASTONE ERALDO,11415,Eletto,PCI,1,1,323403,33,1.1647851133106373
TAMINI MARIO,10509,Eletto,PCI,1,1,323403,33,1.0723369913080583
CASAPIERI IN QUAGLIOTTI CARMEN,9770,Eletto,PCI,1,1,323403,33,0.996929527555403
BENEDETTI TULLIO,9319,Eletto,PCI,1,1,323403,33,0.9509095462936337
ALLERA PIER GIORGIO,7982,,PCI,1,1,323403,33,0.8144822404244858
COLAJANNI POMPEO,6813,,PCI,1,1,323403,33,0.6951976326750215
ROSSI LUCIANO,5734,,PCI,1,1,323403,33,0.5850966132039591
MARCHIARO ELIO,5201,,PCI,1,1,323403,33,0.5307093626218681
AGAZZONE FRANCO,4261,,PCI,1,1,323403,33,0.43479188504744853
BRUNDI MARIO,3375,,PCI,1,1,323403,33,0.34438456044007015
AUGELLO SALVATORE,3236,,PCI,1,1,323403,33,0.33020101854342726
CASSARDO MARIO EUGENIO,2695,,PCI,1,1,323403,33,0.274997449003256
GUIDO IN GIARDINO MARIA TERESA,2621,,PCI,1,1,323403,33,0.26744649864101444
AVOGADRO FRANCESCO,2551,,PCI,1,1,323403,33,0.26030370775781303
BELTRAME OSCAR,2520,,PCI,1,1,323403,33,0.25714047179525235
LEALE FRANCESCO,2400,,PCI,1,1,323403,33,0.24489568742404988
HERNIS SALVATORE,2348,,PCI,1,1,323403,33,0.2395896141965288
VARVELLI FRANCESCO,2195,,PCI,1,1,323403,33,0.2239775141232456
STROZZI PIA,2167,,PCI,1,1,323403,33,0.22112039776996503
CARRARO EZIO,2084,,PCI,1,1,323403,33,0.2126510885798833
SIMULA BERNARDINO,1953,,PCI,1,1,323403,33,0.19928386564132058
PESCIO EUGENIO,1837,,PCI,1,1,323403,33,0.18744724074915817
MARCHETTI ALFREDO,1815,,PCI,1,1,323403,33,0.1852023636144377
PELLIZZON ELIGIO,1784,,PCI,1,1,323403,33,0.18203912765187708
PALUMBO VITO DOMENICO,1677,,PCI,1,1,323403,33,0.17112086158755485
SAGGION IN PULZE ARGENIDE,1463,,PCI,1,1,323403,33,0.1492843294589104
PACCAGNELLA FLORINDO,1353,,PCI,1,1,323403,33,0.13805994378530811
LIBERTINI LUCIO ALDO,3210,,PSIUP,2,1,12381,33,8.55585170826266
CASTOLDI GIUSEPPE,1686,,PSIUP,2,1,12381,33,4.493821177610855
AMODEI FAUSTO,924,,PSIUP,2,1,12381,33,2.462805912284953
AGOSTI ALDO,482,,PSIUP,2,1,12381,33,1.2847104434213714
ARMENIA GIOVANNI,447,,PSIUP,2,1,12381,33,1.191422340683305
FENOGLIO TEOBALDO,426,,PSIUP,2,1,12381,33,1.1354494790404652
ROLANDO ITALO,373,,PSIUP,2,1,12381,33,0.9941846377513933
ALBERTONE CARLO,349,,PSIUP,2,1,12381,33,0.9302156530167192
ARRIGONI ANGELO,318,,PSIUP,2,1,12381,33,0.8475890477344318
BOSSO GIUSEPPE,310,,PSIUP,2,1,12381,33,0.8262660528228738
CARDINALI PIERO EMANUELE,309,,PSIUP,2,1,12381,33,0.823600678458929
CERRUTI LUIGI,273,,PSIUP,2,1,12381,33,0.7276472013569178
ZANOTTI MICHELE,269,,PSIUP,2,1,12381,33,0.7169857039011388
FERRARA ANGELO,263,,PSIUP,2,1,12381,33,0.7009934577174703
GARIAZZO SILVIO,259,,PSIUP,2,1,12381,33,0.6903319602616913
BORIO ADRIANO,254,,PSIUP,2,1,12381,33,0.6770050884419675
RIZZO FRANCESCO,191,,PSIUP,2,1,12381,33,0.509086503513448
COLOMBO ENRICO,181,,PSIUP,2,1,12381,33,0.48243275987400047
TERRACINA IN DINA MARINA,167,,PSIUP,2,1,12381,33,0.4451175187787739
GOLA GIUSEPPE,164,,PSIUP,2,1,12381,33,0.43712139568693964
MAGISTRI BRUNO,149,,PSIUP,2,1,12381,33,0.39714078022776833
NICOSIA FRANCESCO,141,,PSIUP,2,1,12381,33,0.3758177853162103
