candidate,value,elected,party,party_id,district_id,Unnamed: 3,N,Q,vQ/N
NOVELLI DIEGO,115727,Eletto,PCI,1,1,,454833,36,9.15978392069177
PAJETTA GIAN CARLO,74612,Eletto,PCI,1,1,,454833,36,5.905534558838079
TURCO LIVIA,27578,Eletto,PCI,1,1,,454833,36,2.182796762767873
GIOLITTI ANTONIO,26629,Eletto,PCI,1,1,,454833,36,2.107683479430912
VIOLANTE LUCIANO,18069,Eletto,PCI,1,1,,454833,36,1.4301600807329284
GARAVANI ANDREA,15957,Eletto,PCI,1,1,,454833,36,1.2629954290915566
MAGRI LUCIO,13073,Eletto,PCI,1,1,,454833,36,1.0347270316797594
BERTONE GIUSEPPINA,12382,Eletto,PCI,1,1,,454833,36,0.9800344302194431
MOTETTA GIOVANNI,11582,Eletto,PCI,1,1,,454833,36,0.9167144864158933
RONZANI GIANNI WILMER,10380,Eletto,PCI,1,1,,454833,36,0.8215762708510597
MIGLIASSO TERESA,10318,,PCI,1,1,,454833,36,0.8166689752062845
MANFREDINI VILLER,10041,,PCI,1,1,,454833,36,0.7947444446643054
MARCHIARO MARIA LAURA,9583,,PCI,1,1,,454833,36,0.7584937768367731
LEVI BALDINI NATALIA DETTA NATALIA GINZBURG,9314,,PCI,1,1,,454833,36,0.7372024457328294
DANINI FERRUCCIO,9001,,PCI,1,1,,454833,36,0.7124285177196905
AIRAUDO GIORGIO,8977,,PCI,1,1,,454833,36,0.710528919405584
FOA VITTORIO,6344,,PCI,1,1,,454833,36,0.5021271543621505
ALBERTI AMELIA,6274,,PCI,1,1,,454833,36,0.49658665927933987
BURBA GARBOLI VILMA,5105,,PCI,1,1,,454833,36,0.40406039139640265
CELLI DANIELA,4917,,PCI,1,1,,454833,36,0.3891802046025684
RIVALTA LUIGI,4787,,PCI,1,1,,454833,36,0.37889071373449157
TESTA ENRICO DETTO CHICCO,4323,,PCI,1,1,,454833,36,0.34216514632843265
MANICA GIULIANA,4226,,PCI,1,1,,454833,36,0.33448760314225223
PRINA FRANCO,4025,,PCI,1,1,,454833,36,0.3185784672616103
ORSI ALDO,3696,,PCI,1,1,,454833,36,0.29253814037240045
BRAGGIO GUIDETTO MARIA,3406,,PCI,1,1,,454833,36,0.2695846607436136
DE MARTINO VITTORIO,3326,,PCI,1,1,,454833,36,0.2632526663632586
LASSANDRO MAURA,3295,,PCI,1,1,,454833,36,0.26079901854087106
DEMARCHI FERRAROTTI CLAUDIA,2714,,PCI,1,1,,454833,36,0.21481290935354294
SACCO CERUTTI LUISA,2551,,PCI,1,1,,454833,36,0.20191147080356966
FRANZONI PAGANOTTI MARIANGELA,2418,,PCI,1,1,,454833,36,0.1913845301462295
GROSPIETRO MARICA,2230,,PCI,1,1,,454833,36,0.1765043433523953
VARVELLO COGGIOLA SANDRA,2164,,PCI,1,1,,454833,36,0.1712804479886024
PISANI LUCIO,2149,,PCI,1,1,,454833,36,0.17009319904228584
GUERRIERI LEONARDO,2128,,PCI,1,1,,454833,36,0.16843105051744267
GARDANO ANDREA,1532,,PCI,1,1,,454833,36,0.12125769238379801
GUIDETTI SERRA BIANCA,8565,Eletto,DEM.PROL,2,1,,27359,36,11.270148762747176
TRIDENTE ALBERTO,2788,,DEM.PROL,2,1,,27359,36,3.6685551372491685
CALAMIDA FRANCO,2711,,DEM.PROL,2,1,,27359,36,3.5672356445776527
COLOMBATI GIUSEPPE DETTO LORIS,1482,,DEM.PROL,2,1,,27359,36,1.950071274534888
GARDIOL GIORGIO,1096,,DEM.PROL,2,1,,27359,36,1.4421579736101466
PAPANDREA ROCCO,849,,DEM.PROL,2,1,,27359,36,1.1171460945209986
VITALE FIERRO ALIDA,741,,DEM.PROL,2,1,,27359,36,0.975035637267444
ALBA MARIA GRAZIA,679,,DEM.PROL,2,1,,27359,36,0.8934537081033663
CAMOCARDI MARIA TERESA,569,,DEM.PROL,2,1,,27359,36,0.7487115757154866
BELCARI RENZO,568,,DEM.PROL,2,1,,27359,36,0.7473957381483242
YERRE PAOLO,553,,DEM.PROL,2,1,,27359,36,0.727658174640886
BONINO PIERO,459,,DEM.PROL,2,1,,27359,36,0.603969443327607
DOSIO NICOLETTA,443,,DEM.PROL,2,1,,27359,36,0.5829160422530063
GARELLI ANNAMARIA,384,,DEM.PROL,2,1,,27359,36,0.5052816257904164
GARDIOL EMILIO,377,,DEM.PROL,2,1,,27359,36,0.4960707628202785
OTTINO CARLO,376,,DEM.PROL,2,1,,27359,36,0.494754925253116
ANCHISI CAMILLO,365,,DEM.PROL,2,1,,27359,36,0.480280712014328
PANDOLFO GUGLIULMO,343,,DEM.PROL,2,1,,27359,36,0.4513322855367521
MAGGIAROTTI PIERGIORGIO,334,,DEM.PROL,2,1,,27359,36,0.4394897474322892
PENNINI DANIELA,326,,DEM.PROL,2,1,,27359,36,0.4289630468949889
CRISTOFARI FAUSTO,325,,DEM.PROL,2,1,,27359,36,0.4276472093278263
ZACCAGNINI FRANCESCO,315,,DEM.PROL,2,1,,27359,36,0.4144888336562009
FISSORE MAURO,309,,DEM.PROL,2,1,,27359,36,0.4065938082532256
FORNASERO ALBERTO,282,,DEM.PROL,2,1,,27359,36,0.371066193939837
GRANERO VALENTINO MARGHERITA,265,,DEM.PROL,2,1,,27359,36,0.34869695529807376
SCALDAFERRO LETIZIA,229,,DEM.PROL,2,1,,27359,36,0.30132680288022223
SELLARO SALVATORE,217,,DEM.PROL,2,1,,27359,36,0.2855367520742717
CATTANI OSVALDO,214,,DEM.PROL,2,1,,27359,36,0.2815892393727841
CLIENTI FRANCESCO SAVERIO,200,,DEM.PROL,2,1,,27359,36,0.2631675134325085
CANALIA ANTONIO,188,,DEM.PROL,2,1,,27359,36,0.247377462626558
CAGGIULA LORENZO,187,,DEM.PROL,2,1,,27359,36,0.24606162505939544
MANZONE GIUSEPPINA,180,,DEM.PROL,2,1,,27359,36,0.23685076208925765
ZANETTI ALESSANDRO,155,,DEM.PROL,2,1,,27359,36,0.2039548229101941
PASTORE RAFFAELE,102,,DEM.PROL,2,1,,27359,36,0.13421543185057933
POMPILI ENNIO,97,,DEM.PROL,2,1,,27359,36,0.12763624401476661
SENSOLO CARLINO,86,,DEM.PROL,2,1,,27359,36,0.11316203077597865
GREMMO ROBERTO,13190,,PIEMONT,3,1,,23821,35,19.37995885982956
BODRERO ANTONIO DETTO BARBA TONI,2064,,PIEMONT,3,1,,23821,35,3.0326182779900086
SEGHESIO ALBERTO,2026,,PIEMONT,3,1,,23821,35,2.9767851895386426
VAGLIO ROBERTO,1227,,PIEMONT,3,1,,23821,35,1.8028210402585954
AIROLA GIOVANNI,539,,PIEMONT,3,1,,23821,35,0.7919482809285924
BOCCO DARIO,465,,PIEMONT,3,1,,23821,35,0.683220687628563
ANGELERI BORSARELLI ELENA,411,,PIEMONT,3,1,,23821,35,0.6038789303555686
FOGLIATO ANDREA,293,,PIEMONT,3,1,,23821,35,0.4305024977960623
BRUNO PIERO,279,,PIEMONT,3,1,,23821,35,0.4099324125771378
BOSIO BERNARDO,272,,PIEMONT,3,1,,23821,35,0.3996473699676756
ALBANO GIUSEPPE,263,,PIEMONT,3,1,,23821,35,0.38642374375550986
BONNIN GIORGIO,259,,PIEMONT,3,1,,23821,35,0.3805465765501029
BESENZON CLAUDIO,186,,PIEMONT,3,1,,23821,35,0.2732882750514252
AUDINO ELIO,184,,PIEMONT,3,1,,23821,35,0.27034969144872173
MARTELLI ANGELO,169,,PIEMONT,3,1,,23821,35,0.24831031442844548
CASTAGNERI BATTISTA,166,,PIEMONT,3,1,,23821,35,0.24390243902439024
CLIMENCO WILLER,159,,PIEMONT,3,1,,23821,35,0.233617396414928
PELISSERO MAURO,155,,PIEMONT,3,1,,23821,35,0.227740229209521
CAPUCCHIO BERNARDINO,151,,PIEMONT,3,1,,23821,35,0.22186306200411401
BOLMIDA GIUSEPPE,120,,PIEMONT,3,1,,23821,35,0.17631501616220982
GONNET SILVIO,118,,PIEMONT,3,1,,23821,35,0.17337643255950633
PALLIERI VITTORIO,116,,PIEMONT,3,1,,23821,35,0.17043784895680283
VILLA PIERANGELO,109,,PIEMONT,3,1,,23821,35,0.16015280634734058
MERCANTI ENNIO,107,,PIEMONT,3,1,,23821,35,0.1572142227446371
MARENGO ALESSANDRO,99,,PIEMONT,3,1,,23821,35,0.1454598883338231
VIETTI GARBERI CLARA,92,,PIEMONT,3,1,,23821,35,0.13517484572436086
TOMASINO MARCO,87,,PIEMONT,3,1,,23821,35,0.1278283867176021
DANIELE FRANCO,86,,PIEMONT,3,1,,23821,35,0.12635909491625036
POLETTI AURELIO,82,,PIEMONT,3,1,,23821,35,0.12048192771084337
GIORDANO GIUSEPPE,80,,PIEMONT,3,1,,23821,35,0.11754334410813988
MELANO DANIELE,64,,PIEMONT,3,1,,23821,35,0.0940346752865119
LUPO SILVIO,59,,PIEMONT,3,1,,23821,35,0.08668821627975316
COLLI ANGELO,58,,PIEMONT,3,1,,23821,35,0.08521892447840142
OCCHIENA GIAN LUIGI,49,,PIEMONT,3,1,,23821,35,0.07199529826623567
PICCO PIETRO,37,,PIEMONT,3,1,,23821,35,0.054363796650014694
CROSTA CESARE,80,,ALL.POP.,4,1,,238,20,6.722689075630252
BETTINI PAOLO,31,,ALL.POP.,4,1,,238,20,2.6050420168067228
SANTORO CATALDO,26,,ALL.POP.,4,1,,238,20,2.1848739495798317
VENEZIA PIER ALFREDO,23,,ALL.POP.,4,1,,238,20,1.9327731092436975
BALDIOLI GUIDO,14,,ALL.POP.,4,1,,238,20,1.1764705882352942
COSCIA LUCIA,13,,ALL.POP.,4,1,,238,20,1.0924369747899159
COXE ANTONIA,8,,ALL.POP.,4,1,,238,20,0.6722689075630253
BECCARIA GIOVANNI,8,,ALL.POP.,4,1,,238,20,0.6722689075630253
MO ETTORE,6,,ALL.POP.,4,1,,238,20,0.5042016806722689
FERRERO GIORGIO,6,,ALL.POP.,4,1,,238,20,0.5042016806722689
RICCIARDI FRANCESCA,5,,ALL.POP.,4,1,,238,20,0.42016806722689076
DEIDDA BASILIO,4,,ALL.POP.,4,1,,238,20,0.33613445378151263
PIZZICHETTI ANTONIO,4,,ALL.POP.,4,1,,238,20,0.33613445378151263
PIGGIANELLI ATTILIO,3,,ALL.POP.,4,1,,238,20,0.25210084033613445
SPADA FULVIO,3,,ALL.POP.,4,1,,238,20,0.25210084033613445
MENOTTI ACHILLE,2,,ALL.POP.,4,1,,238,20,0.16806722689075632
GEBLESCU RAZVAN,2,,ALL.POP.,4,1,,238,20,0.16806722689075632
ROSSETTI ANTONIO,0,,ALL.POP.,4,1,,238,20,0.0
SANTONI RIFEO,0,,ALL.POP.,4,1,,238,20,0.0
LILLA VINCENZO,0,,ALL.POP.,4,1,,238,20,0.0
MARTINAT UGO,21362,Eletto,MSI-DN,5,1,,71366,36,10.775887677605583
MASSANO MASSIMO,18236,Eletto,MSI-DN,5,1,,71366,36,9.19900232603761
BOETTI VILLANIS AUDIFREDI LUDOVICO,8404,,MSI-DN,5,1,,71366,36,4.239329652775831
MASARACCHIO ANTONINO,5424,,MSI-DN,5,1,,71366,36,2.736092817307962
GILARDI ROBERTO,2246,,MSI-DN,5,1,,71366,36,1.132976487402965
CHIAPPO BERNARDO,1623,,MSI-DN,5,1,,71366,36,0.8187091892497829
ANTINORO MICHELE,1413,,MSI-DN,5,1,,71366,36,0.7127763921194967
BERRINO CLAUDIO,1214,,MSI-DN,5,1,,71366,36,0.6123924557912731
BARATTIERI DI S.PIETRO WARMONDO,1175,,MSI-DN,5,1,,71366,36,0.5927192220385057
PEDRETTI LUIGI,948,,MSI-DN,5,1,,71366,36,0.4782109127595774
FERRARI ELISEO,880,,MSI-DN,5,1,,71366,36,0.4439088641650085
CHIOSSO SECONDO,869,,MSI-DN,5,1,,71366,36,0.43836000336294595
RIGON ROBERTO,605,,MSI-DN,5,1,,71366,36,0.3051873441134434
BOSCHETTI FRANCO,540,,MSI-DN,5,1,,71366,36,0.27239862119216435
ZAMBON PIERO,504,,MSI-DN,5,1,,71366,36,0.2542387131126867
GUGLIELMINO VALENTINO,494,,MSI-DN,5,1,,71366,36,0.2491942942017207
MINA LUIGI,437,,MSI-DN,5,1,,71366,36,0.22044110640921447
CRISAFULLI UMBERTO,410,,MSI-DN,5,1,,71366,36,0.20682117534960626
CONTINI ALDO,394,,MSI-DN,5,1,,71366,36,0.19875010509206065
MANGANIELLO CARMINE,392,,MSI-DN,5,1,,71366,36,0.19774122130986743
CIPOLLA CARMELO,341,,MSI-DN,5,1,,71366,36,0.1720146848639408
LOMBARDI PIETRO,313,,MSI-DN,5,1,,71366,36,0.157890311913236
MARIANI MARIO,308,,MSI-DN,5,1,,71366,36,0.15536810245775298
CRESPI MASSIMO,307,,MSI-DN,5,1,,71366,36,0.1548636605666564
MELANO FERRUCCIO,296,,MSI-DN,5,1,,71366,36,0.14931479976459378
GALATA ANTONIO,238,,MSI-DN,5,1,,71366,36,0.12005717008099095
LUBRANI MARCELLO,227,,MSI-DN,5,1,,71366,36,0.11450830927892834
SERCHINIC STEFANO,227,,MSI-DN,5,1,,71366,36,0.11450830927892834
DEL SANTO ENNIO,224,,MSI-DN,5,1,,71366,36,0.11299498360563853
ROGGERO ETTORE,220,,MSI-DN,5,1,,71366,36,0.11097721604125213
PATRUCCO MARIO,218,,MSI-DN,5,1,,71366,36,0.10996833225905893
TUCCI ILARIO,206,,MSI-DN,5,1,,71366,36,0.10391502956589972
TARSIA EMILIO,197,,MSI-DN,5,1,,71366,36,0.09937505254603032
PRANDI GIUSEPPE,195,,MSI-DN,5,1,,71366,36,0.09836616876383712
SCANO ALESSANDRO,193,,MSI-DN,5,1,,71366,36,0.09735728498164392
ROSSI CARLO ALBERTO,86,,MSI-DN,5,1,,71366,36,0.04338200263430765
MATTIOLI GIANNI,11007,Eletto,LISTA VERDE,6,1,,33577,36,11.801292551448908
CIMA LAURA,4035,,LISTA VERDE,6,1,,33577,36,4.32617565595497
SALIO GIOVANNI DETTO NANNI,3034,,LISTA VERDE,6,1,,33577,36,3.2529410012806386
MOSCA GIOVANNI,1424,,LISTA VERDE,6,1,,33577,36,1.5267593888673794
CRAVARIO SCABELLO TEA,1282,,LISTA VERDE,6,1,,33577,36,1.3745123149775145
CAVAGNA PERINI CARLA,1222,,LISTA VERDE,6,1,,33577,36,1.3101825654465855
BURATTI ZANCHI GUSTAVO DETTO TAVO,908,,LISTA VERDE,6,1,,33577,36,0.9735235429013909
BARCUCCI PAOLO,780,,LISTA VERDE,6,1,,33577,36,0.8362867439020758
FOA' ALMA DETTA ELEFANTINO ROSA,774,,LISTA VERDE,6,1,,33577,36,0.8298537689489829
BROGLIO CANDELLIERI DANIELA,699,,LISTA VERDE,6,1,,33577,36,0.7494415820353219
ALBERTINALE HERBSTRITT CHIARA,656,,LISTA VERDE,6,1,,33577,36,0.7033385948714894
VIGLIOCCO ROSANNA,618,,LISTA VERDE,6,1,,33577,36,0.6625964201685678
HASSAN TRANCHINA RITA,474,,LISTA VERDE,6,1,,33577,36,0.5082050212943384
OITANA DARIO,470,,LISTA VERDE,6,1,,33577,36,0.5039163713256098
BRONZINI GRAZIELLA,463,,LISTA VERDE,6,1,,33577,36,0.49641123388033476
REGGE RENATA,453,,LISTA VERDE,6,1,,33577,36,0.48568960895851326
FRANCONE MARCO,430,,LISTA VERDE,6,1,,33577,36,0.4610298716383239
CANDELARI PAOLO,389,,LISTA VERDE,6,1,,33577,36,0.4170712094588558
DAGNA MAURIZIO,386,,LISTA VERDE,6,1,,33577,36,0.4138547219823093
VERNETTI GIOVANNI DETTO GIANNI,386,,LISTA VERDE,6,1,,33577,36,0.4138547219823093
CONTI TROVATO ARCANGELA DETTA LINA,370,,LISTA VERDE,6,1,,33577,36,0.39670012210739497
PALLANTE MAURIZIO,321,,LISTA VERDE,6,1,,33577,36,0.3441641599904697
SEGRE SERNIOTTI ANNA,307,,LISTA VERDE,6,1,,33577,36,0.3291538850999196
DEMO FEDERICO,298,,LISTA VERDE,6,1,,33577,36,0.31950442267028023
GIACOVELLI GIULIANA,285,,LISTA VERDE,6,1,,33577,36,0.30556631027191233
PREVETE GRAZIA,270,,LISTA VERDE,6,1,,33577,36,0.2894838728891801
CARDILLO GIUSEPPINA,231,,LISTA VERDE,6,1,,33577,36,0.2476695356940763
VERGNANO AUGUSTO,217,,LISTA VERDE,6,1,,33577,36,0.23265926080352622
MORPURGO TREVES GABRIELLA,210,,LISTA VERDE,6,1,,33577,36,0.2251541233582512
TRIRE' STEFANIA,206,,LISTA VERDE,6,1,,33577,36,0.2208654733895226
DI MAURO DETTO ORAZIO CARMELO,184,,LISTA VERDE,6,1,,33577,36,0.1972778985615153
SOAVE EMILIO,175,,LISTA VERDE,6,1,,33577,36,0.187628436131876
FRANZESE SERGIO,161,,LISTA VERDE,6,1,,33577,36,0.1726181612413259
SCOSOPPI SILVIA,160,,LISTA VERDE,6,1,,33577,36,0.17154599874914375
SALOMONE MARIO,160,,LISTA VERDE,6,1,,33577,36,0.17154599874914375
VLAIC GILBERTO,132,,LISTA VERDE,6,1,,33577,36,0.1415254489680436
FARASSINO GIUSEPPE DETTO GIPO,6856,,PIEMONT-AUT.REG.,7,1,,12170,36,20.280690221857025
MOLINO PIETRO,1032,,PIEMONT-AUT.REG.,7,1,,12170,36,3.0527526705012327
RABELLINO RENZO,853,,PIEMONT-AUT.REG.,7,1,,12170,36,2.523253903040263
SCAGLIONE MASSIMO,665,,PIEMONT-AUT.REG.,7,1,,12170,36,1.9671322925225965
BONINO MAURO,404,,PIEMONT-AUT.REG.,7,1,,12170,36,1.1950698438783895
ARNAUD GIOVANNI BATTISTA,291,,PIEMONT-AUT.REG.,7,1,,12170,36,0.8608052588331964
BELFIORE MARCO,215,,PIEMONT-AUT.REG.,7,1,,12170,36,0.6359901396877568
BALDI LUIGINA,169,,PIEMONT-AUT.REG.,7,1,,12170,36,0.49991783073130647
BORSOTTI MAURIZIO,159,,PIEMONT-AUT.REG.,7,1,,12170,36,0.4703368940016434
FRANCO IGNAZIO,158,,PIEMONT-AUT.REG.,7,1,,12170,36,0.46737880032867707
FENOCCHIO VITTORIO,98,,PIEMONT-AUT.REG.,7,1,,12170,36,0.28989317995069847
BERTOLINI BORDIGA,97,,PIEMONT-AUT.REG.,7,1,,12170,36,0.2869350862777321
CERRETO LEA,89,,PIEMONT-AUT.REG.,7,1,,12170,36,0.26327033689400164
DEMARIA GIOVANNI,78,,PIEMONT-AUT.REG.,7,1,,12170,36,0.23073130649137222
CICCARELLI SERGIO,77,,PIEMONT-AUT.REG.,7,1,,12170,36,0.22777321281840593
FENOCCHIO TERSILLO,75,,PIEMONT-AUT.REG.,7,1,,12170,36,0.2218570254724733
MONGIANO PAOLA,70,,PIEMONT-AUT.REG.,7,1,,12170,36,0.20706655710764174
MONGIANO PIETRO,68,,PIEMONT-AUT.REG.,7,1,,12170,36,0.2011503697617091
GROSSO LAMBERTI MARIA,63,,PIEMONT-AUT.REG.,7,1,,12170,36,0.18635990139687758
ROBBA LIBERO,55,,PIEMONT-AUT.REG.,7,1,,12170,36,0.16269515201314708
NARETTO SILVIA,50,,PIEMONT-AUT.REG.,7,1,,12170,36,0.14790468364831552
RICCO ANTONIO,50,,PIEMONT-AUT.REG.,7,1,,12170,36,0.14790468364831552
DADONE EZIO,50,,PIEMONT-AUT.REG.,7,1,,12170,36,0.14790468364831552
GENERO EGIDIO,48,,PIEMONT-AUT.REG.,7,1,,12170,36,0.14198849630238292
GIACHINO AMISTA' ALACEVICH MARGHERITA,47,,PIEMONT-AUT.REG.,7,1,,12170,36,0.1390304026294166
SETTIMO GIOVANNI,47,,PIEMONT-AUT.REG.,7,1,,12170,36,0.1390304026294166
MORREALE GIUSEPPE,47,,PIEMONT-AUT.REG.,7,1,,12170,36,0.1390304026294166
RUELLA RITA,46,,PIEMONT-AUT.REG.,7,1,,12170,36,0.13607230895645028
CASER MAURO,45,,PIEMONT-AUT.REG.,7,1,,12170,36,0.13311421528348397
FERRERO ATTILIO,35,,PIEMONT-AUT.REG.,7,1,,12170,36,0.10353327855382087
FERRERO REGIS MAURIZIO,34,,PIEMONT-AUT.REG.,7,1,,12170,36,0.10057518488085455
SCUTARI AURELIA,28,,PIEMONT-AUT.REG.,7,1,,12170,36,0.0828266228430567
MOSSO RENATO,27,,PIEMONT-AUT.REG.,7,1,,12170,36,0.07986852917009038
MIAN DANTE,16,,PIEMONT-AUT.REG.,7,1,,12170,36,0.04732949876746097
IMARISIO FEDERICO,15,,PIEMONT-AUT.REG.,7,1,,12170,36,0.04437140509449466
RESTA IOLANDA,13,,PIEMONT-AUT.REG.,7,1,,12170,36,0.03845521774856204
MENICACCI STEFANO,904,,LIGA VENETA-PU,8,1,,3946,36,8.247339077546883
TERRENO GIORGIO,484,,LIGA VENETA-PU,8,1,,3946,36,4.415610745058287
SALERNO GIUSEPPE,356,,LIGA VENETA-PU,8,1,,3946,36,3.2478459199189054
DI RODI MICHELE,290,,LIGA VENETA-PU,8,1,,3946,36,2.6457171819564116
CASSANO NICOLA,161,,LIGA VENETA-PU,8,1,,3946,36,1.4688291941206284
AVERSA ULISSE,126,,LIGA VENETA-PU,8,1,,3946,36,1.1495184997465788
SCARDICCHIO TOMMASO,124,,LIGA VENETA-PU,8,1,,3946,36,1.131272174353776
CUPI FORTUNATO,122,,LIGA VENETA-PU,8,1,,3946,36,1.1130258489609732
AZZARO PETRILLO LUCIA,119,,LIGA VENETA-PU,8,1,,3946,36,1.0856563608717689
CAMPOLO OSVALDO,106,,LIGA VENETA-PU,8,1,,3946,36,0.9670552458185504
VITALE BERTOLOTTO BIANCA,104,,LIGA VENETA-PU,8,1,,3946,36,0.9488089204257476
BORGOGNO GIUSEPPE,94,,LIGA VENETA-PU,8,1,,3946,36,0.8575772934617334
GENTA ERCOLE,88,,LIGA VENETA-PU,8,1,,3946,36,0.8028383172833249
SPINEDI ADRIANA,86,,LIGA VENETA-PU,8,1,,3946,36,0.7845919918905221
DE PONTE DOMENICO,73,,LIGA VENETA-PU,8,1,,3946,36,0.6659908768373036
VOGHERA MARCO,71,,LIGA VENETA-PU,8,1,,3946,36,0.6477445514445007
UGHETTO MARCELLO,66,,LIGA VENETA-PU,8,1,,3946,36,0.6021287379624937
CANOBBIO CALISTO,63,,LIGA VENETA-PU,8,1,,3946,36,0.5747592498732894
MOIOLI ALDO,52,,LIGA VENETA-PU,8,1,,3946,36,0.4744044602128738
LONGO FRANCESCO,48,,LIGA VENETA-PU,8,1,,3946,36,0.4379118094272681
ICAOBELLIS CARLO,42,,LIGA VENETA-PU,8,1,,3946,36,0.3831728332488596
CALCAGNILE ALBERTO,41,,LIGA VENETA-PU,8,1,,3946,36,0.3740496705524582
LOMBARDO SALVATORE,41,,LIGA VENETA-PU,8,1,,3946,36,0.3740496705524582
MOIOLI UMBERTO,37,,LIGA VENETA-PU,8,1,,3946,36,0.3375570197668525
ZAINO BRUNO,36,,LIGA VENETA-PU,8,1,,3946,36,0.3284338570704511
GOTTA ELENA MARIA,36,,LIGA VENETA-PU,8,1,,3946,36,0.3284338570704511
DAATO MARIA TERESA,35,,LIGA VENETA-PU,8,1,,3946,36,0.3193106943740497
NAVA LUIGI,30,,LIGA VENETA-PU,8,1,,3946,36,0.2736948808920426
SCAPINO GENTA GIUSEPPA,28,,LIGA VENETA-PU,8,1,,3946,36,0.2554485554992397
DI PARDO CALCAGNILE CARMEN,21,,LIGA VENETA-PU,8,1,,3946,36,0.1915864166244298
CALAMENA GIACOMO,20,,LIGA VENETA-PU,8,1,,3946,36,0.1824632539280284
DI LOIA ALFIO,17,,LIGA VENETA-PU,8,1,,3946,36,0.15509376583882412
GENZANO PASQUALE,12,,LIGA VENETA-PU,8,1,,3946,36,0.10947795235681702
MANDES GIOVANNI,8,,LIGA VENETA-PU,8,1,,3946,36,0.07298530157121136
TELESE FRANCESCO MARIA,3,,LIGA VENETA-PU,8,1,,3946,36,0.027369488089204256
MAFODDA ANTONINO,2,,LIGA VENETA-PU,8,1,,3946,36,0.01824632539280284
AGNELLI SUSANNA,21626,Eletto,PRI,9,1,,99430,36,7.829990948405913
LA MALFA GIORGIO,16481,Eletto,PRI,9,1,,99430,36,5.967172885447048
FIRPO LUIGI,16092,,PRI,9,1,,99430,36,5.826330081464347
POGGIOLINI DANILO,14054,,PRI,9,1,,99430,36,5.088444131549834
ARISIO LUIGI,5719,,PRI,9,1,,99430,36,2.0706426631801267
RAVAIOLI ALDO,3560,,PRI,9,1,,99430,36,1.2889469978879613
LODI GIUSEPPE,3560,,PRI,9,1,,99430,36,1.2889469978879613
PIZZALE GIOVANNI,1867,,PRI,9,1,,99430,36,0.6759730463642764
CARELLO MARSAGLIA LUISA,1271,,PRI,9,1,,99430,36,0.4601830433470783
BARAZOTTO VITTORIO,1227,,PRI,9,1,,99430,36,0.44425223775520467
ALOISI ARTURO,1031,,PRI,9,1,,99430,36,0.37328774011867644
INGHILLERI STEFANO,996,,PRI,9,1,,99430,36,0.3606155083978678
BAMBI GIORGIO,979,,PRI,9,1,,99430,36,0.3544604244191894
CAMIS DE FONSECA TAMAGNO LAURA,790,,PRI,9,1,,99430,36,0.2860303731268229
COPPA PATRIZIA,780,,PRI,9,1,,99430,36,0.28240973549230614
COPPA DETTO PIERMARIO ALBERTO,755,,PRI,9,1,,99430,36,0.2733581414060143
DAL CASON LUIGI,725,,PRI,9,1,,99430,36,0.26249622850246407
GAMBINO OLIMPIA,716,,PRI,9,1,,99430,36,0.259237654631399
REVELLO ANGELO,684,,PRI,9,1,,99430,36,0.2476516142009454
CRAVERO ALBERTO,641,,PRI,9,1,,99430,36,0.2320828723725234
TEDINO FORAPANI ANGELA,616,,PRI,9,1,,99430,36,0.2230312782862315
CAFFI LUCIANO,574,,PRI,9,1,,99430,36,0.2078246002212612
BERTONE CLAUDIO,558,,PRI,9,1,,99430,36,0.20203158000603438
SEGARELLI ITALO,524,,PRI,9,1,,99430,36,0.18972141204867746
RAMONI MAURO,491,,PRI,9,1,,99430,36,0.1777733078547722
MARCHIONNI ROBERTO,455,,PRI,9,1,,99430,36,0.16473901237051192
BARONE VINCENZO,447,,PRI,9,1,,99430,36,0.1618425022628985
CERATO ROMUALDO,302,,PRI,9,1,,99430,36,0.10934325656240572
ROCCIA LUCIANO,294,,PRI,9,1,,99430,36,0.10644674645479231
ROSAPEPE GIACOMO,289,,PRI,9,1,,99430,36,0.10463642763753395
DELLI VENERI SERGIO,259,,PRI,9,1,,99430,36,0.09377451473398371
STANZANI FABRIZIO,256,,PRI,9,1,,99430,36,0.09268832344362868
PESCETTO ANTONIO,238,,PRI,9,1,,99430,36,0.08617117570149854
RICCHETTI ATTILIO,213,,PRI,9,1,,99430,36,0.07711958161520668
MAZZERI VITTORIO,185,,PRI,9,1,,99430,36,0.0669817962385598
COMINOTTI RUGGERO,175,,PRI,9,1,,99430,36,0.06336115860404304
FEMINA GERARDO,73,,ALL.UM.,10,1,,320,17,3.878125
CANGI FRANCESCO,47,,ALL.UM.,10,1,,320,17,2.496875
BORELLI SCOGNAMIGLIO ELISABETTA,34,,ALL.UM.,10,1,,320,17,1.80625
DUO' MARIO,28,,ALL.UM.,10,1,,320,17,1.4875
CRISTOFARO RICCARDO,24,,ALL.UM.,10,1,,320,17,1.275
GUIDI RUSSOMANNO GABRIELLA,20,,ALL.UM.,10,1,,320,17,1.0625
BALESTRA ANNAMARIA,17,,ALL.UM.,10,1,,320,17,0.903125
ARVORIO SERGIO,11,,ALL.UM.,10,1,,320,17,0.584375
VURCHIO FERDINANDO,11,,ALL.UM.,10,1,,320,17,0.584375
MONTANINI BIANCA EMANUELA,9,,ALL.UM.,10,1,,320,17,0.478125
