candidate,value,elected,party,party_id,district_id,N,Q,vQ/N
PASTORE GIULIO,74017,Eletto,DC,1,1,709248,27,2.8177153830536006
SCALFARO OSCAR LUIGI,55499,Eletto,DC,1,1,709248,27,2.1127630955603682
PELLA GIUSEPPE,50814,Eletto,DC,1,1,709248,27,1.9344122225230103
RAPELLI GIUSEPPE ANTONIO,36238,Eletto,DC,1,1,709248,27,1.379525920411478
MENOTTI NATALE,35238,Eletto,DC,1,1,709248,27,1.3414574309691392
GEUNA SILVIO,31957,Eletto,DC,1,1,709248,27,1.2165547171088251
MARCONCINI FEDERICO,31395,Eletto,DC,1,1,709248,27,1.1951602260422307
TONENGO MATTEO,29968,Eletto,DC,1,1,709248,27,1.140836491608013
STELLA ALBINO OTTAVIO,29026,Eletto,DC,1,1,709248,27,1.1049759745533296
BERTOLA ERMENEGILDO,28654,Eletto,DC,1,1,709248,27,1.0908144964807795
QUARELLO GIOACCHINO,27774,Eletto,DC,1,1,709248,27,1.0573142257715213
BOVETTI GIOVANNI,26841,Eletto,DC,1,1,709248,27,1.0217963251218192
FUSI VALDO,23920,Eletto,DC,1,1,709248,27,0.9105982674607471
FRANZO RENZO,23811,,DC,1,1,709248,27,0.9064488021115322
GRAZIOSI DANTE,23713,,DC,1,1,709248,27,0.902718090146183
GUGLIELMINETTI ANDREA,23031,,DC,1,1,709248,27,0.8767553803465078
GROSSO GIUSEPPE,21544,,DC,1,1,709248,27,0.8201475365457499
GOLZIO SILVIO,19544,,DC,1,1,709248,27,0.744010557661072
COLONNETTI GUSTAVO,18112,,DC,1,1,709248,27,0.6894964807796427
PRINI FRANCESCO,17452,,DC,1,1,709248,27,0.664371277747699
LANZA ANNA LIDIA,17055,,DC,1,1,709248,27,0.6492580874390904
GETTO GIOVANNI GIUSEPPE,16528,,DC,1,1,709248,27,0.6291959935029778
ALISIO ANTONIO FAUSTINO,12727,,DC,1,1,709248,27,0.4844976651326475
SAVIO EMANUELA,11819,,DC,1,1,709248,27,0.4499314767190038
COASSOLO ADOLFO,9765,,DC,1,1,709248,27,0.37173879940443966
APPENDINO DOMENICO,9589,,DC,1,1,709248,27,0.365038745262588
SARTORIO AUGUSTO,3217,,DC,1,1,709248,27,0.12246633053600434
BOERI GIOVANNI BATTISTA,565,,PRI,2,1,3395,27,4.493372606774669
FOA FLORIO,344,,PRI,2,1,3395,27,2.7357879234167894
ARIETTI VINCENZO,188,,PRI,2,1,3395,27,1.495139911634757
BARALDI DECIO,182,,PRI,2,1,3395,27,1.447422680412371
PARMENTOLA VITTORIO,175,,PRI,2,1,3395,27,1.3917525773195876
FOA' RAFFAELE VITA,153,,PRI,2,1,3395,27,1.2167893961708394
CERA GIOVANNI,146,,PRI,2,1,3395,27,1.161119293078056
MAGNI ACHILLE,143,,PRI,2,1,3395,27,1.137260677466863
GRANDI TERENZIO,126,,PRI,2,1,3395,27,1.002061855670103
RISSO BENEDETTO,120,,PRI,2,1,3395,27,0.9543446244477173
BRUNI MODESTO,115,,PRI,2,1,3395,27,0.914580265095729
GIOVAGNINI LUIGI ARMANDO,109,,PRI,2,1,3395,27,0.8668630338733432
RAFFO GIUSEPPE,95,,PRI,2,1,3395,27,0.7555228276877761
BARBANO ANTENORE,91,,PRI,2,1,3395,27,0.7237113402061855
CROCI ANGELO,88,,PRI,2,1,3395,27,0.6998527245949926
FENOGLIO FRANCESCO,85,,PRI,2,1,3395,27,0.6759941089837997
PISCHEDDA CARLO,85,,PRI,2,1,3395,27,0.6759941089837997
CATALANO MARIANO,82,,PRI,2,1,3395,27,0.6521354933726068
CAMILOT ALBERTO,78,,PRI,2,1,3395,27,0.6203240058910162
MUSSONE LEOPOLDO,74,,PRI,2,1,3395,27,0.5885125184094256
GALLIA PIETRO,68,,PRI,2,1,3395,27,0.5407952871870397
PECCHIO PIETRO,64,,PRI,2,1,3395,27,0.5089837997054492
PICCHI GIUSEPPINA,63,,PRI,2,1,3395,27,0.5010309278350515
SCAGLIARINI ACHILLE,48,,PRI,2,1,3395,27,0.38173784977908687
GENNAI ELIO,45,,PRI,2,1,3395,27,0.35787923416789397
PENTINI ROMEO,32,,PRI,2,1,3395,27,0.2544918998527246
PIZZIGATI GIOVANNI,31,,PRI,2,1,3395,27,0.24653902798232696
PETTINATO CONCETTO,5852,,MSI,3,1,15925,27,9.921758241758242
ABELLI TULLIO,3989,,MSI,3,1,15925,27,6.763139717425432
SILVESTRI ANTONIO,1841,,MSI,3,1,15925,27,3.1213186813186815
ALLACEVICH POMPEO,791,,MSI,3,1,15925,27,1.3410989010989012
INVREA MASSIMO,523,,MSI,3,1,15925,27,0.8867189952904239
ALBERTAZZI EUGENIO,459,,MSI,3,1,15925,27,0.778210361067504
OCCHETTO VITTORIO,332,,MSI,3,1,15925,27,0.5628885400313972
TAVECCHIA ADELE,267,,MSI,3,1,15925,27,0.4526844583987441
BOLDI NICOLA,225,,MSI,3,1,15925,27,0.3814756671899529
CASTELLI GIOVANNI,180,,MSI,3,1,15925,27,0.3051805337519623
BLANCHI ALFREDO,178,,MSI,3,1,15925,27,0.30178963893249605
FILIPPI PIERO,139,,MSI,3,1,15925,27,0.23566718995290423
VERGNANO ANGELO,130,,MSI,3,1,15925,27,0.22040816326530613
BOZZOLA VITTORIO,129,,MSI,3,1,15925,27,0.218712715855573
MARIETTI ALESSANDRO,116,,MSI,3,1,15925,27,0.19667189952904238
FIORA LUIGI,113,,MSI,3,1,15925,27,0.191585557299843
CRESPI CARLO FELICE,107,,MSI,3,1,15925,27,0.18141287284144428
FONTANA GIOVANNI,91,,MSI,3,1,15925,27,0.15428571428571428
ELIA ERBERTO,89,,MSI,3,1,15925,27,0.15089481946624803
PONTETTO ITALO,69,,MSI,3,1,15925,27,0.11698587127158555
SANGIORGIO ANTONINO,65,,MSI,3,1,15925,27,0.11020408163265306
SCARAMUZZA GINO,59,,MSI,3,1,15925,27,0.10003139717425431
ZUANAZZI LUIGI FRANCESCO,52,,MSI,3,1,15925,27,0.08816326530612245
D'AGOSTINO ALBERTO,36,,MSI,3,1,15925,27,0.06103610675039246
GANDINI FAUSTO,35,,MSI,3,1,15925,27,0.05934065934065934
NAZZARI PIERO,32,,MSI,3,1,15925,27,0.05425431711145997
GHERARDI SANDRO,26,,MSI,3,1,15925,27,0.044081632653061226
VILLABRUNA BRUNO,11535,,BLOCCO NAZIONALE,4,1,50499,27,6.167349848511852
ALLARA MARIO,6928,,BLOCCO NAZIONALE,4,1,50499,27,3.7041525574763856
RISSO MARIO,4236,,BLOCCO NAZIONALE,4,1,50499,27,2.26483692746391
ZINI LAMBETI GAETANO,4095,,BLOCCO NAZIONALE,4,1,50499,27,2.1894492960256637
CALANDRA ANTONIO,3841,,BLOCCO NAZIONALE,4,1,50499,27,2.05364462662627
DEMARCHI ENRICO,2961,,BLOCCO NAZIONALE,4,1,50499,27,1.5831402602031723
OLLIVERO LUIGI,2065,,BLOCCO NAZIONALE,4,1,50499,27,1.1040812689360184
JOANNES GIUSEPPE,1939,,BLOCCO NAZIONALE,4,1,50499,27,1.036713598289075
MALCHIODI ERCOLE,1780,,BLOCCO NAZIONALE,4,1,50499,27,0.9517020139012654
COLONNA ARTURO,1578,,BLOCCO NAZIONALE,4,1,50499,27,0.8436998752450544
CHIARLONI MARIO,1530,,BLOCCO NAZIONALE,4,1,50499,27,0.8180360007128854
MARTINI ENRICO,1124,,BLOCCO NAZIONALE,4,1,50499,27,0.6009623952949563
