candidate,party_id,district_id,value,N,Q,vQ/N
*Ahde Matti                                       ,SDP             ,KOK - SAML            ,4783,29295,18,2.938863287250384
*Jaakonsaari Liisa                                ,SDP             ,KOK - SAML            ,5003,29295,18,3.0740399385560675
Aho Virpi                                         ,SDP             ,KOK - SAML            ,1065,29295,18,0.6543778801843319
Haapala Antti                                     ,SDP             ,KOK - SAML            ,465,29295,18,0.2857142857142857
Haapaniemi Jarmo                                  ,SDP             ,KOK - SAML            ,547,29295,18,0.33609831029185866
Hakala Airi                                       ,SDP             ,KOK - SAML            ,541,29295,18,0.33241167434715824
Harju Yrjö                                        ,SDP             ,KOK - SAML            ,316,29295,18,0.19416282642089094
Ikonen Eija                                       ,SDP             ,KOK - SAML            ,467,29295,18,0.2869431643625192
Kansanaho Sirpa                                   ,SDP             ,KOK - SAML            ,741,29295,18,0.4552995391705069
Kippola Eero                                      ,SDP             ,KOK - SAML            ,3379,29295,18,2.0761904761904764
Kohtalo-Törmänen Helena                           ,SDP             ,KOK - SAML            ,251,29295,18,0.1542242703533026
Matero Vuokko                                     ,SDP             ,KOK - SAML            ,604,29295,18,0.37112135176651306
Nikkinen Esa                                      ,SDP             ,KOK - SAML            ,766,29295,18,0.4706605222734255
Piirainen Raimo                                   ,SDP             ,KOK - SAML            ,3468,29295,18,2.1308755760368663
Pohjola Tuija                                     ,SDP             ,KOK - SAML            ,3264,29295,18,2.005529953917051
Räihä Seppo                                       ,SDP             ,KOK - SAML            ,220,29295,18,0.13517665130568357
Sirviö Pirjo                                      ,SDP             ,KOK - SAML            ,624,29295,18,0.38341013824884795
Tuppurainen Tytti                                 ,SDP             ,KOK - SAML            ,2791,29295,18,1.714900153609831
*Ahonen Esko                                      ,KESK - CENT            ,VAASA - VASA ,5974,78523,17,1.2933535397272138
*Haapoja Susanna                                  ,KESK - CENT            ,VAASA - VASA ,7263,78523,17,1.5724182723533233
*Lintilä Mika                                     ,KESK - CENT            ,VAASA - VASA ,7697,78523,17,1.6663780038969473
*Mieto Juha                                       ,KESK - CENT            ,VAASA - VASA ,13768,78523,17,2.9807317601212384
*Puumala Tuomo                                    ,KESK - CENT            ,VAASA - VASA ,7335,78523,17,1.5880060619181642
*Sihto Paula                                      ,KESK - CENT            ,VAASA - VASA ,7313,78523,17,1.5832431262177962
Albäck Peter                                      ,KESK - CENT            ,VAASA - VASA ,803,78523,17,0.17384715306343365
Haapaoja Arja                                     ,KESK - CENT            ,VAASA - VASA ,764,78523,17,0.16540376704914483
Hautala Lasse                                     ,KESK - CENT            ,VAASA - VASA ,5509,78523,17,1.1926823987876163
Lapiolahti Päivi                                  ,KESK - CENT            ,VAASA - VASA ,1652,78523,17,0.3576531716821823
Lehtinen Johanna                                  ,KESK - CENT            ,VAASA - VASA ,807,78523,17,0.17471314137259147
Rajakorpi Harri                                   ,KESK - CENT            ,VAASA - VASA ,1216,78523,17,0.26326044598397924
Ranta-Muotio Aulis                                ,KESK - CENT            ,VAASA - VASA ,4824,78523,17,1.0443819008443387
Räty Pekka                                        ,KESK - CENT            ,VAASA - VASA ,691,78523,17,0.1495994804070145
Savola Mikko                                      ,KESK - CENT            ,VAASA - VASA ,5281,78523,17,1.1433210651656203
Vihriälä Jukka                                    ,KESK - CENT            ,VAASA - VASA ,5153,78523,17,1.1156094392725697
Ylitalo Teppo                                     ,KESK - CENT            ,VAASA - VASA ,2473,78523,17,0.5353972721368262
*Akaan-Penttilä Eero                              ,KOK - SAML             ,UUSIMAA  - NYLAND               ,3985,133885,34,1.0119879000634873
*Harkimo Leena                                    ,KOK - SAML             ,UUSIMAA  - NYLAND               ,4074,133885,34,1.0345893864137132
*Hemming Hanna-Leena                              ,KOK - SAML             ,UUSIMAA  - NYLAND               ,4203,133885,34,1.0673488441572991
*Lauslahti Sanna                                  ,KOK - SAML             ,UUSIMAA  - NYLAND               ,3544,133885,34,0.8999962654516936
*Lehti Eero                                       ,KOK - SAML             ,UUSIMAA  - NYLAND               ,3215,133885,34,0.8164469507413078
*Matikainen-Kallström Marjo                       ,KOK - SAML             ,UUSIMAA  - NYLAND               ,6249,133885,34,1.5869290809276617
*Mäkelä Jukka                                     ,KOK - SAML             ,UUSIMAA  - NYLAND               ,3564,133885,34,0.9050752511483736
