state,ed,ec,N_candidates,year
New Brunswick,0.0,0.0,12,2021
Newfoundland and Labrador,0.0,0.0,12,2021
Northwest Territories,0.0,0.0,12,2021
Nova Scotia,0.0,0.0,12,2021
Nunavut,0.0,0.0,12,2021
Ontario,0.5293874049756959,0.4502523986863092,12,2021
Prince Edward Island,0.0,0.0,12,2021
Quebec,0.0,0.0,12,2021
Saskatchewan,0.0,0.0,12,2021
Yukon,0.0,0.0,12,2021
Alberta,0.6477902992310963,0.05406855907062315,13,2021
British Columbia,0.0,0.0,13,2021
Manitoba,0.0,0.0,13,2021
New Brunswick,0.0,0.0,13,2021
Newfoundland and Labrador,0.0,0.0,13,2021
Northwest Territories,0.0,0.0,13,2021
Nova Scotia,0.0,0.0,13,2021
Nunavut,0.0,0.0,13,2021
Ontario,0.5293874049756959,0.4502523986863092,13,2021
Prince Edward Island,0.0,0.0,13,2021
Quebec,0.0,0.0,13,2021
Saskatchewan,0.0,0.0,13,2021
Yukon,0.0,0.0,13,2021
Alberta,0.6477902992310963,0.05406855907062315,14,2021
British Columbia,0.0,0.0,14,2021
Manitoba,0.0,0.0,14,2021
New Brunswick,0.0,0.0,14,2021
Newfoundland and Labrador,0.0,0.0,14,2021
Northwest Territories,0.0,0.0,14,2021
Nova Scotia,0.0,0.0,14,2021
Nunavut,0.0,0.0,14,2021
Ontario,0.5088020697569543,0.2985472171313768,14,2021
Prince Edward Island,0.0,0.0,14,2021
Quebec,0.0,0.0,14,2021
Saskatchewan,0.0,0.0,14,2021
Yukon,0.0,0.0,14,2021
Alberta,0.6401970601044936,0.05111220533886702,15,2021
British Columbia,0.0,0.0,15,2021
Manitoba,0.0,0.0,15,2021
New Brunswick,0.0,0.0,15,2021
Newfoundland and Labrador,0.0,0.0,15,2021
Northwest Territories,0.0,0.0,15,2021
Nova Scotia,0.0,0.0,15,2021
Nunavut,0.0,0.0,15,2021
Ontario,0.5088020697569543,0.2985472171313768,15,2021
Prince Edward Island,0.0,0.0,15,2021
Quebec,0.0,0.0,15,2021
Saskatchewan,0.0,0.0,15,2021
Yukon,0.0,0.0,15,2021
Alberta,0.17156511909462846,0.0200571369221212,2012,2021
British Columbia,0.19100871389746849,0.01587671083995617,2012,2021
Manitoba,0.16841246263204762,0.07685397791063038,2012,2021
New Brunswick,0.1865611428866514,0.0660179858092415,2012,2021
Newfoundland and Labrador,0.2609516076984092,0.08008306787158963,2012,2021
Northwest Territories,0.07386767540519969,0.7976518587643112,2012,2021
Nova Scotia,0.1948560770356296,0.061532926422175005,2012,2021
Nunavut,0.12724459934367416,0.7762703078533193,2012,2021
Ontario,0.19651616192740382,0.005472292550933617,2012,2021
Prince Edward Island,0.1632985557178852,0.1683471408013923,2012,2021
Quebec,0.15466542901700484,0.009298667043140547,2012,2021
Saskatchewan,0.19248398065643507,0.04503479435167398,2012,2021
Yukon,0.053757206539524115,0.8415678006759545,2012,2021
