"","Nathalie.ARTHAUD.Emmanuel.MACRON","Fabien.ROUSSEL.Emmanuel.MACRON","Emmanuel.MACRON.Emmanuel.MACRON","Jean.LASSALLE.Emmanuel.MACRON","Marine.LE.PEN.Emmanuel.MACRON","Éric.ZEMMOUR.Emmanuel.MACRON","Jean.Luc.MÉLENCHON.Emmanuel.MACRON","Anne.HIDALGO.Emmanuel.MACRON","Yannick.JADOT.Emmanuel.MACRON","Valérie.PÉCRESSE.Emmanuel.MACRON","Philippe.POUTOU.Emmanuel.MACRON","Nicolas.DUPONT.AIGNAN.Emmanuel.MACRON","Nathalie.ARTHAUD.Marine.LE.PEN","Fabien.ROUSSEL.Marine.LE.PEN","Emmanuel.MACRON.Marine.LE.PEN","Jean.LASSALLE.Marine.LE.PEN","Marine.LE.PEN.Marine.LE.PEN","Éric.ZEMMOUR.Marine.LE.PEN","Jean.Luc.MÉLENCHON.Marine.LE.PEN","Anne.HIDALGO.Marine.LE.PEN","Yannick.JADOT.Marine.LE.PEN","Valérie.PÉCRESSE.Marine.LE.PEN","Philippe.POUTOU.Marine.LE.PEN","Nicolas.DUPONT.AIGNAN.Marine.LE.PEN","department_id"
"91",0,0.453649686818764,0.916560538658604,0.352489346103053,0,0.182560782536043,0.774461661090887,0.507705823687183,0.9868107552089,0.950622223575372,0,0,0.98357101890446,0.538357079866007,0.0830989807286465,0.637887674428722,1,0.814813574404752,0.225441686196959,0.473140421535797,0,0,0.769311450563344,0.995715556732714,"90"
"92",0,0.407064256368187,0.96863164428351,0.37380963847652,0,0.217429901414671,0.844488987287554,0.524796770067143,0.997184726460621,0.959129828438886,0,0,0.980190379192535,0.586316763875982,0.0310710783478674,0.608813077931002,0.961306499138501,0.780772696877644,0.153379547779027,0.452679441739153,0,0,0.75604567444453,0.988442668006652,"91"
"93",0,0.438925597447906,1,0.384492333440747,0,0.249915366429515,0.96171980721928,0.526432161427447,1,0.978574260371386,0,0,0.977881652834225,0.553773068984506,0,0.594538200357646,0.954628503180435,0.749837699400655,0.0377064018281741,0.451188379962654,0,0,0.755756222499369,0.986391279714793,"92"
"94",0,0.421670462404687,0.993180786103291,0.371263898510222,0,0.213780997647202,0.880238294267818,0.521636269055532,1,0.966523456941834,0,0,0.981619678137677,0.571160762896911,0.00675166348133615,0.612281865846613,0.952505970573496,0.784290408872423,0.117893012485587,0.456366942063783,0,0,0.758598307188194,0.98722757438252,"93"
"95",0,0.439434369063707,1,0.375704665068452,0,0.232397898613906,0.912302039507366,0.51915281922157,1,0.971150022706648,0,0,0.979981968380728,0.553618333748873,0,0.606243235704792,0.95300641668826,0.766436263909138,0.0861406941749689,0.459372852115195,0,0,0.760081244689063,0.985829858570687,"94"
"96",0,0.382048269057088,0.972431253315189,0.370129672568828,0,0.203364363369508,0.842015359132136,0.522941674676812,0.99727524178695,0.957742980538246,0,0,0.98124239182603,0.612172132103356,0.027336493150439,0.613786774881855,0.958628758426915,0.79442050623034,0.155904624726122,0.454839330321462,0,0,0.75763264922345,0.990606851242142,"95"
"97",0,0.238535532475098,0.899886948599298,0.31875026180458,0,0.0837624276876868,0.239154551741629,0.139763603863585,0.984214422475615,0.904348208702538,0,0,1,0.761464467524902,0.100113051400702,0.68124973819542,1,0.914610597165113,0.760845448258371,0.860236396136414,0,0,0.978823134456101,1,"ZA"
"98",0,0.254294044190635,0.905832475757022,0.3270698246728,0,0.105568606368737,0.346172137150165,0.0311001990241137,0.985246767416189,0.903131810809464,0,0,1,0.745705955809366,0.094167524242978,0.6729301753272,1,0.892305367662442,0.653827862849835,0.968899800975886,0,0,0.980210311870259,1,"ZB"
"99",0,0.288442441590924,0.912942838521465,0.315850527198072,0,0.0874918326460279,0.381681384872439,0.37052780351705,0.98190466471431,0.932804453027675,0,0,1,0.709349243829564,0.0870571614785352,0.684149472801928,1,0.910793166437275,0.618318615127561,0.62947219648295,0,0,0.96648419819062,1,"ZC"
"100",0,0.223490057726323,0.902588804238136,0.306220577548443,0,0.0910097366132023,0.43988347890949,0.304439488365953,0.982848676204992,0.929746447485463,0,0,1,0.776509942273677,0.0974111957618635,0.693779422451558,1,0.907191434010754,0.56011652109051,0.695560511634047,0,0,0.95139706092376,1,"ZD"
"101",0,0.224005868576228,0.907700109216321,0.000211704032979107,0,0.140033161308037,0.76478192708622,0,0.991581080241633,0.754417731922054,0,0,0.999999999999999,0.775994131423772,0.092299890783679,0.999788295967021,1,0.857281707167074,0.23521807291378,1,0,0,0.999999999999999,1,"ZM"
"102",0,0.472777047932817,0.907401190018136,0.401238993435449,0,0.258891347284091,0.797436921089097,0.625828803863493,0.985132044445087,0.946916743000177,0,0,0.947873216063738,0.518606302077917,0.0918430892395952,0.572721191436604,1,0.74110865271591,0.20138099293545,0.343918781625482,0,0,0.632591825472443,0.99759356180292,"ZN"
"103",0,0,0.837661135876987,0,0,0,0.711623204859136,0,0.969924097162437,0.662488432624691,0,0,1,0.999999999999999,0.162338864123014,1,1,1,0.288376795140864,1,0,0,0.999999999999999,1,"ZP"
"104",0,0.464809785421825,0.921313894142527,0.305100300070666,0,0.184702721665374,0.527578680651877,0.385796035735647,0.980457379550937,0.954018139179803,0,0,0.995265436202723,0.52637799100489,0.0785098701150594,0.694899699929335,1,0.812658283649736,0.472421319348123,0.614203964264353,0,0,0.860720118224685,1,"ZS"
"105",0,0.297823971054504,0.960706429589691,0.345357348821495,0,0.174367600687265,0.836654188772279,0.416112866502081,0.990580561991558,0.727750599173373,0,0,1,0.702176028945496,0.0392935704103089,0.64898547255823,0.990582157742985,0.822884061856183,0.16124253209924,0.583887133497918,0,0,0.999999999999999,1,"ZW"
"106",0,0.218669403954668,0.887459613249377,0.0102858959542041,0,0,0.558123568949928,0,0.978324724122101,0.917924806790234,0,0,1,0.781330596045332,0.112540386750623,0.989714104045796,1,1,0.441876431050072,1,0,0,1,1,"ZX"
"107",0,0.506692947096028,1,0.43846080972009,0,0.450169148092333,0.990431474062673,0.702679623445587,1,0.999999999999999,0,0,0.965039928506757,0.485121863862335,0,0.525915907433729,0.958085631166433,0.549830851907667,0.00946296983379654,0.272819539058821,0,0,0.670376755625452,0.96964519005483,"ZZ"
