"","GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST"
"GABRIEL BORIC FONT",0.985508116072548,0
"JOSE ANTONIO KAST RIST",0.00988495012429787,0.990036321770163
"YASNA PROVOSTE CAMPILLAY",0.810476559671626,0.188816592916221
"SEBASTIAN SICHEL RAMIREZ",0.431704732716932,0.568126953773363
"EDUARDO ARTES BRICHETTI",0.543062436005967,0.452985829592477
"MARCO ENRIQUEZ-OMINAMI GUMUCIO",0.989408727400587,0
"FRANCO PARISI FERNANDEZ",0.521414816721996,0.466251540010171
