"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","province"
"1",0.90518855717931,0,0.697528765374927,0.360583027240009,0.491133705873818,0.974138087715438,0.330592738366064,0,1,0.300395377984992,0.63941697275999,0.508866294126181,0,0.669407261633936,"ANTARTICA CHILENA"
"2",0.997334115492995,0.0129902937024213,0.82250408847968,0.457025715975023,0.577145495466782,0.997636080122292,0.631198576334989,0,0.986752030682409,0.17744669049902,0.54272601007081,0.414125948096308,0,0.356715098509666,"ANTOFAGASTA"
"3",0.971642954720651,0,0.797909610696131,0.431786975750029,0.554683231085501,0.985577664028308,0.410892081045584,0,1,0.202090389303869,0.567961023755357,0.440886533332661,0,0.589107918954416,"ARAUCO"
"4",0.977875419838022,0.00377488463895136,0.817902126899033,0.446307516671295,0.590060406691554,0.989962269218568,0.540222952479269,0,0.996134431370505,0.182097873100966,0.55344897186031,0.39980180604029,0,0.451495719807176,"ARICA"
"5",1,0.0235650453368538,0.868555306971712,0.490762270308136,0.642631365658382,1,0.610743544502631,0,0.975988608610086,0.131444693028288,0.509107597277426,0.342189486227982,0,0.368832304970356,"AYSEN"
"6",0.9470376210076,0,0.734772849745341,0.362370389422044,0.535425237586206,0.974678379895354,0.337675587823397,0,1,0.26375565085209,0.637629610577956,0.461533531132531,0,0.662324412176603,"BIOBIO"
"7",0.992118149719577,0.0130199181643362,0.821972013093927,0.445646555819224,0.561786210227565,0.99330577016694,0.560266516010383,0,0.986736553102026,0.177522325428219,0.554104486614177,0.430837590803209,0,0.42131768582122,"CACHAPOAL"
"8",0.972749409065886,0.0096415331867177,0.778746597883123,0.40311744555909,0.520845505396641,0.989932014114503,0.452809737824351,0,0.990358466813282,0.219758375267301,0.59688255444091,0.478990991531196,0,0.547190262175649,"CAPITAN PRAT"
"9",0.966805128832005,0.00558227537220346,0.781943296399585,0.36872623101427,0.511519758596369,0.985572481653798,0.471968427692063,0,0.994403523982735,0.216612266784853,0.63127376898573,0.488480241403631,0,0.524040582337322,"CARDENAL CARO"
"10",0.927748563849508,0,0.597095739709838,0.263420303237515,0.498552952683906,0.967699135539359,0.347166667676599,0,1,0.402541650031867,0.736579696762485,0.501447047316094,0,0.6528333323234,"CAUQUENES"
"11",0.957632582781441,0,0.749496667823468,0.376683314442096,0.519180108605825,0.979509327061176,0.404431619337991,0,1,0.248962132340005,0.623316685557904,0.480612296878028,0,0.595568380662009,"CAUTIN"
"12",0.963281990031409,0.00157864084190983,0.795269940290566,0.367153423862474,0.509242582256645,0.975151828136004,0.522934952417519,0,0.998407786147566,0.20331133244389,0.632846576137526,0.490757417743356,0,0.461918231133366,"CHACABUCO"
