"","Emmanuel.MACRON","Marine.LE.PEN"
"Nathalie ARTHAUD",0,0
"Fabien ROUSSEL",0,0
"Emmanuel MACRON",0.943101995125486,0.0503560278080578
"Jean LASSALLE",0,0.656340486589977
"Marine LE PEN",0,0.979066227581948
"Éric ZEMMOUR",0.190951778832144,0.675069135433793
"Jean-Luc MÉLENCHON",0.82379907340717,0.174248519804513
"Anne HIDALGO",0,0
"Yannick JADOT",0.97303206304764,0
"Valérie PÉCRESSE",0.91120869204209,0.076904202262438
"Philippe POUTOU",0,0
"Nicolas DUPONT-AIGNAN",0,0.848717194880361
