"","GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST"
"GABRIEL BORIC FONT",0.983136139769334,0
"JOSE ANTONIO KAST RIST",0.0514981060386438,0.948090701616349
"YASNA PROVOSTE CAMPILLAY",0.739991929836115,0.254491962964303
"SEBASTIAN SICHEL RAMIREZ",0.263895354208689,0.717067069231793
"EDUARDO ARTES BRICHETTI",0.974280994584682,0
"MARCO ENRIQUEZ-OMINAMI GUMUCIO",0.99540479500095,0
"FRANCO PARISI FERNANDEZ",0.548200775080205,0.443428145748466
