"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","commune"
"1",0.949741698154366,0.0208521295572532,0.68672356237985,0.264876690669753,0.963423055990021,0.985240736134761,0.540323522761357,0,0.978835533357818,0.301987619818256,0.71337498888126,0,0,0.448469729739397,"ALGARROBO"
"2",1,0.0791190191903425,0.832955097221334,0.288540986651412,0.981942927191478,1,0.571257825558555,0,0.920744339113994,0.16602231875103,0.693565054022371,0,0,0.424457047286434,"ALHUE"
"3",0.984204183860379,0.0636281384805192,0.667071588049141,0.25664494124039,0.940063608302074,0.996687054423546,0.491406283156564,0,0.93500584507164,0.32564184460215,0.722916918475913,0,0,0.488495232326232,"ALTO BIOBIO"
"4",1,0.0721018113656549,0.752322984887734,0.266276813004731,0.959988469148179,0.997986077425954,0.51334530133762,0,0.926892220107013,0.24687204199349,0.714400466448705,0,0,0.470104302545474,"ALTO DEL CARMEN"
"5",0.981200333047508,0.0457634901558441,0.736997324664892,0.254210214532241,0.968297737897732,0.989975115432269,0.478301816330182,0,0.95369237349958,0.25673867982833,0.727472915034623,0,0,0.512784052930633,"ALTO HOSPICIO"
"6",0.982451101811715,0.0677101208325162,0.753582437708646,0.270666455068886,0.968694308312628,0.997686503532004,0.544247445715174,0,0.931612555831682,0.241972671043123,0.710188033416586,0,0,0.445563610255401,"ANCUD"
"7",1,0.102705098427696,0.959501511166781,0.289515273254603,1,1,0.708336131833216,0,0.897294901572304,0.0404984888332193,0.695066832678669,0,0,0.291663868166784,"ANDACOLLO"
"8",0.950307005784912,0,0.578195413494591,0.198581921461536,0.962825549372406,0.977243133081253,0.371297812319319,0,1,0.412256643550611,0.781056678396253,0,0,0.600579222120704,"ANGOL"
"9",0.953454427176871,0.0171408668144203,0.650468395718031,0.246128537774208,NA,0.986982150105594,0.542200244276572,0,0.98116878370277,0.320323203898791,0.735839679970858,NA,0,0.449871139453055,"ANTARTICA"
"10",1,0.0770158289283539,0.778002651726532,0.266762470824956,0.978236220468045,1,0.617682872301568,0,0.922892622862371,0.219206007242703,0.716428790610388,0,0,0.382317127698432,"ANTOFAGASTA"
