"","Emmanuel.MACRON","Marine.LE.PEN"
"Nathalie ARTHAUD",0,0
"Fabien ROUSSEL",0,0
"Emmanuel MACRON",0.943407034949156,0.0498038636488019
"Jean LASSALLE",0,0.654360763887345
"Marine LE PEN",0,0.978719514492982
"Éric ZEMMOUR",0.188951781119065,0.6787005065321
"Jean-Luc MÉLENCHON",0.823443648998912,0.174545214070323
"Anne HIDALGO",0,0
"Yannick JADOT",0.972526009972365,0
"Valérie PÉCRESSE",0.908373344584133,0.0790647874815357
"Philippe POUTOU",0,0
"Nicolas DUPONT-AIGNAN",0,0.843797283034012
