"","Nathalie.ARTHAUD.Emmanuel.MACRON","Fabien.ROUSSEL.Emmanuel.MACRON","Emmanuel.MACRON.Emmanuel.MACRON","Jean.LASSALLE.Emmanuel.MACRON","Marine.LE.PEN.Emmanuel.MACRON","Éric.ZEMMOUR.Emmanuel.MACRON","Jean.Luc.MÉLENCHON.Emmanuel.MACRON","Anne.HIDALGO.Emmanuel.MACRON","Yannick.JADOT.Emmanuel.MACRON","Valérie.PÉCRESSE.Emmanuel.MACRON","Philippe.POUTOU.Emmanuel.MACRON","Nicolas.DUPONT.AIGNAN.Emmanuel.MACRON","Nathalie.ARTHAUD.Marine.LE.PEN","Fabien.ROUSSEL.Marine.LE.PEN","Emmanuel.MACRON.Marine.LE.PEN","Jean.LASSALLE.Marine.LE.PEN","Marine.LE.PEN.Marine.LE.PEN","Éric.ZEMMOUR.Marine.LE.PEN","Jean.Luc.MÉLENCHON.Marine.LE.PEN","Anne.HIDALGO.Marine.LE.PEN","Yannick.JADOT.Marine.LE.PEN","Valérie.PÉCRESSE.Marine.LE.PEN","Philippe.POUTOU.Marine.LE.PEN","Nicolas.DUPONT.AIGNAN.Marine.LE.PEN","department"
"1",0,0,0.920430895672928,0,0,0.241726179943645,0.812079123211799,0,0.987694032859771,0.960113362963088,0,0,0,0,0.078693546984724,0,0.99266228603253,0.757576662509965,0.186265002694672,0,0,0,0,0.988994386250236,"Ain"
"2",0,0,0.883909614770644,0,0,0.095996382392363,0.733321834033667,0,0.982230733928659,0.934580456182179,0,0,0,0,0.116090385229356,0,1,0.902093658849879,0.266678165966333,0,0,0,0,1,"Aisne"
"3",0,0,0.911682031328323,0,0,0.204412113247589,0.807793381673215,0,0.987746388815134,0.95896095495674,0,0,0,0,0.0875533328440237,0,1,0.793358647521748,0.190671136294787,0,0,0,0,0.990475762886516,"Allier"
"4",0,0,0.908418426421188,0,0,0.189233091217892,0.781544011738052,0,0.98263833116603,0.947457054967209,0,0,0,0,0.0914546873877818,0,1,0.808523606877607,0.217988239120475,0,0,0,0,0.996401911137569,"Alpes-Maritimes"
"5",0,0,0.914199688535758,0,0,0.146793005997642,0.732673700074831,0,0.983524586514407,0.949267167833213,0,0,0,0,0.0856707749144172,0,1,0.850480865715573,0.267326299925168,0,0,0,0,0.998603308819011,"Alpes-de-Haute-Provence"
"6",0,0,0.887906270402956,0,0,0.136261232325395,0.747146889680937,0,0.984529761806612,0.941942424727237,0,0,0,0,0.112093729597044,0,1,0.861108170364661,0.252853110319063,0,0,0,0,1,"Ardennes"
"7",0,0,0.923158693485501,0,0,0.181399703415248,0.778882180772741,0,0.986759210477645,0.954054689480616,0,0,0,0,0.0763949980578992,0,1,0.81593134749297,0.220777791220325,0,0,0,0,0.993552933579686,"Ardèche"
"8",0,0,0.926627553239104,0,0,0.198363447695047,0.757894467777111,0,0.988059713254861,0.96214777306213,0,0,0,0,0.0727287005743682,0,1,0.799250445643135,0.242105532222889,0,0,0,0,0.989346799606821,"Ariège"
"9",0,0,0.898754659428479,0,0,0.201906855915757,0.80576409590633,0,0.987254779499621,0.947999379368274,0,0,0,0,0.100785653869441,0,1,0.795838129489602,0.192762743976409,0,0,0,0,0.995543891570222,"Aube"
"10",0,0,0.90737312878266,0,0,0.16256698577539,0.748819743617399,0,0.984773365276859,0.955301828976153,0,0,0,0,0.0922526912415729,0,1,0.834650371464705,0.251180256382601,0,0,0,0,0.993779377475821,"Aude"
"11",0,0,0.943756210176609,0,0,0.228808157803652,0.839927333571377,0,0.99132254172063,0.97421969274113,0,0,0,0,0.0554980453851941,0,0.981279864138669,0.769847597830031,0.157940368111524,0,0,0,0,0.984367793198317,"Aveyron"
"12",0,0,0.931377241225779,0,0,0.315109819206117,0.83518398089402,0,0.992477187436806,0.971212568199246,0,0,0,0,0.0670842750385389,0,0.97164422319688,0.684890180793883,0.162734394204911,0,0,0,0,0.977475444714515,"Bas-Rhin"
"13",0,0,0.922724333667383,0,0,0.229575738541714,0.766268051693906,0,0.987640039212169,0.959117056278407,0,0,0,0,0.0766878970294725,0,0.999426979922724,0.769172032237887,0.233731948306094,0,0,0,0,0.990952210048748,"Bouches-du-Rhône"
"14",0,0,0.937093443502533,0,0,0.242095957918897,0.832774514706665,0,0.992731418520951,0.967090673126957,0,0,0,0,0.0619853191192703,0,0.970936529015096,0.757232116103384,0.165174224777965,0,0,0,0,0.985876180618153,"Calvados"
"15",0,0,0.923282009170108,0,0,0.210842694621827,0.837704380386987,0,0.98998447637103,0.966331198257257,0,0,0,0,0.0758978790318255,0,0.993045665246701,0.787114123973573,0.160180631843479,0,0,0,0,0.988443277352562,"Cantal"
"16",0,0,0.921064086415705,0,0,0.223157322923383,0.808328340208492,0,0.98940778176548,0.96404276053995,0,0,0,0,0.0779222768135093,0,0.991246421836152,0.77525161915366,0.190122940939824,0,0,0,0,0.987308892331144,"Charente"
"17",0,0,0.923102942423013,0,0,0.22047300233877,0.810483165658789,0,0.988426290889622,0.960679819270236,0,0,0,0,0.0760470484275882,0,0.988750340848534,0.777831206848797,0.187905599285539,0,0,0,0,0.989119696388635,"Charente-Maritime"
"18",0,0,0.911327109219281,0,0,0.219498440796045,0.80888658765151,0,0.988637138856191,0.960770549295352,0,0,0,0,0.0877193213278386,0,1,0.778768699576621,0.189546238883379,0,0,0,0,0.989338684413324,"Cher"
