department_id,ep,ec,N_candidates,year
01,0.07262929765834171,0.8449827655269766,2,2022
02,0.07344551986896514,0.8483506809403749,2,2022
03,0.06364264403075948,0.8467695708811991,2,2022
04,0.06129142180824844,0.7933101305935337,2,2022
05,0.06356619338125265,0.7795857145837951,2,2022
06,0.07292541280922107,0.8217140359791415,2,2022
07,0.07151148217883777,0.7927548979848982,2,2022
08,0.08044469982526335,0.8584631433236581,2,2022
09,0.07520652884125573,0.7488480475605028,2,2022
10,0.08264312169976532,0.8636876227192977,2,2022
11,0.06488190524015905,0.8013020614532538,2,2022
12,0.06047043060865633,0.7831222273188321,2,2022
13,0.09826445766301736,0.7886366076614701,2,2022
14,0.0839337236472256,0.8463443609221446,2,2022
15,0.05912485388862554,0.838353070682609,2,2022
16,0.06622963180374122,0.8468792098570901,2,2022
17,0.07930327566439356,0.8424645148882883,2,2022
18,0.07243178363962766,0.8542524414035984,2,2022
19,0.05951734097433255,0.7709343897421415,2,2022
21,0.09636871723294098,0.8245529688490968,2,2022
22,0.06604125793837642,0.8286369168122176,2,2022
23,0.0619845109862782,0.7970035326870789,2,2022
24,0.06138671319062467,0.8052337284418797,2,2022
25,0.08757977919590572,0.8178362438873679,2,2022
26,0.07546935640441449,0.8020240911898409,2,2022
27,0.0701297564120478,0.8744452541559663,2,2022
28,0.08238834482422391,0.8552504914053214,2,2022
29,0.06087523277354771,0.7973857230764481,2,2022
2A,0.07937039117065797,0.7728249848308255,2,2022
2B,0.0978935146716148,0.7445851664784044,2,2022
30,0.07938149229095945,0.803604692093786,2,2022
31,0.08744084026864092,0.7541632683993006,2,2022
32,0.05794350084628118,0.7859859744179118,2,2022
33,0.0984545174457472,0.7970272073796376,2,2022
34,0.09594131802073991,0.7816402082911039,2,2022
35,0.08832207753426466,0.7950968144271708,2,2022
36,0.06186359210429827,0.8537354618987789,2,2022
37,0.07994867346669242,0.8242146812367876,2,2022
38,0.09134275929031002,0.8037073086769853,2,2022
39,0.07657415550520058,0.8172758381163905,2,2022
40,0.05296052542794797,0.8078475468576033,2,2022
41,0.06594060125816176,0.8646457840061207,2,2022
42,0.07342708839429696,0.834266308397661,2,2022
43,0.061413900360006685,0.8158228293450684,2,2022
44,0.08406804220175985,0.7780335113188672,2,2022
45,0.0895780950870762,0.843074561737504,2,2022
46,0.05525889902047938,0.7580948325818521,2,2022
47,0.051337388963028356,0.8160346522878681,2,2022
48,0.07138955727499807,0.7680376333264727,2,2022
49,0.08134528604043528,0.8328034023815084,2,2022
50,0.07098536863655885,0.8670885795082924,2,2022
51,0.09620770485843017,0.8671956290392316,2,2022
52,0.09329200445512872,0.8458528511306473,2,2022
53,0.06966858385053504,0.8629508526685252,2,2022
54,0.09562357828881934,0.8351792306124652,2,2022
55,0.07757045171839352,0.8691787410034683,2,2022
56,0.06474006259391328,0.8433293482897877,2,2022
57,0.08956894879654591,0.850217575631203,2,2022
58,0.06590478588017597,0.851831865563307,2,2022
59,0.12526129035077593,0.8265826292558481,2,2022
60,0.09422992110823805,0.8408644750587984,2,2022
61,0.06884509800145368,0.8833636936018807,2,2022
62,0.08889994892754648,0.8619082153370479,2,2022
63,0.07518656370006402,0.8027483803193196,2,2022
64,0.06326997178793858,0.7505645381540619,2,2022
65,0.06387734794191513,0.7843252584549995,2,2022
66,0.06559603771487882,0.8197710894948174,2,2022
67,0.10323758829924465,0.8520882266240948,2,2022
68,0.07811957448996794,0.8598253351458711,2,2022
69,0.10177625300118835,0.7622996708506745,2,2022
70,0.07300491946833929,0.8473947665927946,2,2022
71,0.06803489968540245,0.8559924606915746,2,2022
72,0.0800343680790686,0.8589777488163188,2,2022
73,0.06878941577035672,0.7999871029093734,2,2022
74,0.06519151554917638,0.8090708725807998,2,2022
75,0.08707645030158326,0.6410110403798869,2,2022
76,0.10281912018194223,0.8425947695740041,2,2022
77,0.0862524499765571,0.7901074822680532,2,2022
78,0.08867955919327312,0.7429283266423171,2,2022
79,0.07285125894831318,0.8525139761292753,2,2022
80,0.09934708703325512,0.8669115421606015,2,2022
81,0.05860565378076822,0.7945450363555897,2,2022
82,0.05960102591786293,0.8092216637719654,2,2022
83,0.061365077456494915,0.8451494407516831,2,2022
84,0.07259720675833829,0.813694987949452,2,2022
85,0.06690335211148955,0.8680203270155068,2,2022
86,0.08157607416154623,0.8294746340201653,2,2022
87,0.060311141663130396,0.8056779938587688,2,2022
88,0.07309430550249987,0.8638903243303624,2,2022
89,0.07352110053336405,0.8482211717288264,2,2022
90,0.07313693296501142,0.8193155583433138,2,2022
91,0.0843169389131843,0.7554243272947694,2,2022
92,0.08318630746492375,0.6893949674044063,2,2022
93,0.08053761817077362,0.6338208073059506,2,2022
94,0.08326214460228579,0.6891729477176068,2,2022
95,0.08332810131878227,0.7363115604751981,2,2022
01,0.058920304144128605,0.9057965408818744,3,2022
02,0.06068316477183384,0.8627495107702798,3,2022
03,0.05272704508039151,0.9074461383466557,3,2022
04,0.05409766788146435,0.9220804581035555,3,2022
05,0.0525780902531569,0.9220890597694271,3,2022
06,0.0727605292827519,0.8837761059173924,3,2022
07,0.05830288120526954,0.9168256178583079,3,2022
08,0.06923594467029809,0.8761457354579798,3,2022
09,0.062187232696184994,0.908311865095524,3,2022
10,0.07161382831460653,0.8812751455623018,3,2022
11,0.0539731358827862,0.9024647854441803,3,2022
12,0.053775598427604876,0.8988841734853608,3,2022
13,0.10093781681748486,0.8760593155495164,3,2022
14,0.06762973358011373,0.8988641435496061,3,2022
15,0.0502811207708117,0.8901633249048002,3,2022
16,0.054541062835469514,0.9180578670603963,3,2022
17,0.062269773293823494,0.9049484454025013,3,2022
18,0.06043676296452088,0.9028926163981141,3,2022
19,0.05035524878658706,0.8989700077399512,3,2022
21,0.08079846070391679,0.891081825975239,3,2022
22,0.049853755803939075,0.9168712819192217,3,2022
23,0.054891159238743256,0.9161712695182423,3,2022
24,0.04844382101459987,0.9222756684999723,3,2022
25,0.08021716471888149,0.8945696420419358,3,2022
26,0.06741647998568602,0.9121797859264325,3,2022
27,0.0607325294724205,0.8936856734731927,3,2022
28,0.07896691636183394,0.8886026920650203,3,2022
29,0.048423432710786175,0.9071325992525712,3,2022
2A,0.06603938766914345,0.8417468681901125,3,2022
2B,0.08244155332840944,0.8206300828760155,3,2022
30,0.07118296478972888,0.8972412384866777,3,2022
31,0.0746871022004272,0.9004015919578311,3,2022
32,0.050726643255325166,0.8985272952315019,3,2022
33,0.07926339339957109,0.8962047865145809,3,2022
34,0.08257780235174411,0.8933076315610031,3,2022
35,0.0676066684455996,0.8838248035658032,3,2022
36,0.05111845768731882,0.9110191921295417,3,2022
37,0.06559227570177278,0.9025897937815979,3,2022
38,0.07681847385221233,0.9038624909289574,3,2022
39,0.06314397736315454,0.9124635288538545,3,2022
40,0.04288263262386714,0.9041485401401055,3,2022
41,0.054124385032107106,0.904619762542533,3,2022
42,0.0688170570716593,0.9085762722114474,3,2022
43,0.04957459593203548,0.9034589238724494,3,2022
44,0.06715017717474249,0.8937435431823626,3,2022
45,0.07503996520968632,0.8944922553621638,3,2022
46,0.04709082040100822,0.9188049170358864,3,2022
47,0.046084849556508496,0.9147411213229057,3,2022
48,0.06743695506040719,0.882110792936379,3,2022
49,0.061232813657178406,0.8817012879001784,3,2022
50,0.0532209876530815,0.8983316594590265,3,2022
51,0.0808373752020542,0.8754273859107252,3,2022
52,0.07405481003501645,0.8619584519559622,3,2022
