candidate,value,cumulative,N_candidates,year
Emmanuel MACRON,550762954,0.3019034136885428,1,2017
François FILLON,429597063,0.5373891501352828,2,2017
Jean-Luc MÉLENCHON,388303671,0.7502397112910224,3,2017
Marine LE PEN,197363936,0.8584257205072615,4,2017
Benoît HAMON,161304747,0.9468457084708433,5,2017
Nicolas DUPONT-AIGNAN,45609435,0.9718467438943436,6,2017
François ASSELINEAU,15917996,0.9805722714494896,7,2017
Philippe POUTOU,13850675,0.9881645868621753,8,2017
Jean LASSALLE,12237754,0.9948727717203759,9,2017
Nathalie ARTHAUD,6594297,0.9984874679535145,10,2017
Jacques CHEMINADE,2759315,1.0,11,2017
