candidate,value,cumulative,N_candidates,year
François HOLLANDE,9719139,0.2812669431680762,1,2012
Nicolas SARKOZY,9343506,0.5516632582215577,2,2012
Marine LE PEN,6323417,0.734659732494335,3,2012
Jean-Luc MÉLENCHON,3900147,0.8475280045291462,4,2012
François BAYROU,3174231,0.9393886364513099,5,2012
Eva JOLY,786541,0.9621507332529259,6,2012
Nicolas DUPONT-AIGNAN,628101,0.9803276569774257,7,2012
Philippe POUTOU,399870,0.9918996915542148,8,2012
Nathalie ARTHAUD,194934,0.9975409824442335,9,2012
Jacques CHEMINADE,84971,1.0,10,2012
