department_id,ep,ec,N_candidates,year
01,0.059485448668502534,0.8362676766664341,2,2007
02,0.0693255268068513,0.8278348724625122,2,2007
03,0.06055310499311594,0.845205033108624,2,2007
04,0.054965793669969884,0.8602118712565734,2,2007
05,0.05550889673274244,0.8546508113807878,2,2007
06,0.07008716870591856,0.8106690729115074,2,2007
07,0.06046443633183063,0.8369282326820389,2,2007
08,0.07906613652487707,0.8314607488689698,2,2007
09,0.06507160434134807,0.8492195658187253,2,2007
10,0.07381938231973434,0.8216551431553267,2,2007
11,0.06487025381356183,0.871064725116858,2,2007
12,0.0761363173691901,0.857294884090914,2,2007
13,0.08642529327035031,0.8442317610068564,2,2007
14,0.0772860645875018,0.840775820777932,2,2007
15,0.06868643724933869,0.8628322633330654,2,2007
16,0.05561721066456859,0.8812890110523847,2,2007
17,0.0726267621164643,0.874306796425172,2,2007
18,0.06111682808183691,0.8263231226667629,2,2007
19,0.06434121167769459,0.8809833132932516,2,2007
21,0.07979165667791213,0.8503422163420327,2,2007
22,0.05907866689574964,0.8650966306193708,2,2007
23,0.062425408932265225,0.8696375005566512,2,2007
24,0.05528059326761721,0.8758064025093291,2,2007
25,0.07618478881547873,0.8591292004662393,2,2007
26,0.060644426134941046,0.8438776584083845,2,2007
27,0.06539642043676613,0.8193789318068984,2,2007
28,0.06803441947908573,0.837674636082206,2,2007
29,0.06074869108044516,0.8701527106140445,2,2007
2A,0.0816831689745827,0.8184441303901369,2,2007
2B,0.11833222542218674,0.8249986955389325,2,2007
30,0.06547712473667366,0.8329611624548623,2,2007
31,0.05844442453057477,0.8930117086166589,2,2007
32,0.06598328056160349,0.8729835066642151,2,2007
33,0.0733400520838683,0.8682342110900723,2,2007
34,0.07157271332235679,0.8665710071195377,2,2007
35,0.07482446337570155,0.861252122898824,2,2007
36,0.055611346675546805,0.832325730724485,2,2007
37,0.0609939551611852,0.8573642470522562,2,2007
38,0.07135092304805611,0.8668170534686507,2,2007
39,0.06145580165720714,0.8227577937114561,2,2007
40,0.0626317576525056,0.8875327207201884,2,2007
41,0.05748025597653422,0.8189235086623488,2,2007
42,0.0666508069460736,0.8343627715194053,2,2007
43,0.06564258451058606,0.8174509055144943,2,2007
44,0.08212096815719885,0.8677535370625875,2,2007
45,0.06357950652479591,0.8487376318842215,2,2007
46,0.05963838128160574,0.8621139524705022,2,2007
47,0.05357364281648367,0.8545835464040075,2,2007
48,0.08336418182108167,0.8289239554219436,2,2007
49,0.0642847337588504,0.84140988325816,2,2007
50,0.06385503082776023,0.8304768773577353,2,2007
51,0.07895788500615132,0.8233459467465386,2,2007
52,0.0778113400249142,0.8094899121653574,2,2007
53,0.06694358116718671,0.8430875386770711,2,2007
54,0.06856746160783826,0.8432111965416147,2,2007
55,0.07168330153863417,0.8074237921214495,2,2007
56,0.061288003440147565,0.8531626633825995,2,2007
57,0.07469709234374819,0.8198757641156588,2,2007
58,0.06939083636753353,0.8583003551105182,2,2007
59,0.0864325138260565,0.8284895707371001,2,2007
60,0.07571008817805032,0.821318992181878,2,2007
61,0.06872337983010988,0.8202875970428338,2,2007
62,0.07167716255154936,0.813996890333738,2,2007
63,0.06062486500550471,0.8614618266601315,2,2007
64,0.08096260054799431,0.8141437249749368,2,2007
65,0.0682795266815336,0.8326736105547585,2,2007
66,0.05689552739047235,0.8669777964798082,2,2007
67,0.08342861243074881,0.7976464001317929,2,2007
68,0.07204748950871388,0.7994393922569667,2,2007
69,0.08417893581932381,0.8557621249192567,2,2007
70,0.07206189624149659,0.8368067666783191,2,2007
71,0.06546294359570672,0.8604656652728636,2,2007
72,0.06473868280262052,0.8487799421060338,2,2007
73,0.06578302977863461,0.8358442127167045,2,2007
74,0.06271968814990031,0.8218634299774127,2,2007
75,0.1173900875092054,0.8661288980821371,2,2007
76,0.0764106519917855,0.8401727705709049,2,2007
77,0.0686237792227995,0.8593513762574567,2,2007
78,0.0933585555177512,0.8427134512966853,2,2007
79,0.07232008153593857,0.8843677348464785,2,2007
80,0.07117184684871132,0.8291101901380848,2,2007
81,0.06197875316063657,0.8690739457481298,2,2007
82,0.048336121103476806,0.868829909806565,2,2007
83,0.06826522603368043,0.819584188649336,2,2007
84,0.0606712765617866,0.8309340720078316,2,2007
85,0.07016967764623967,0.8129937866885346,2,2007
86,0.05788014538726743,0.8793510442439587,2,2007
87,0.05287806386736765,0.8706080132961759,2,2007
88,0.06410245728253117,0.8211444022258668,2,2007
89,0.06176236536639667,0.8203600328136228,2,2007
90,0.060412486533327966,0.8519292358473158,2,2007
91,0.06862496189914824,0.8756631025209871,2,2007
92,0.10770767367802186,0.8539839599208316,2,2007
93,0.08703905349089397,0.8742847729206127,2,2007
94,0.08463142087093119,0.8814095231800702,2,2007
95,0.08242786604582515,0.8737630583268746,2,2007
01,0.04944716050506949,0.8997350979019187,3,2007
02,0.05739345268332288,0.8698289246574618,3,2007
03,0.04931936756620888,0.9164395193872215,3,2007
04,0.04522297103054466,0.9062255869764164,3,2007
05,0.04716127000487417,0.9193780369269269,3,2007
06,0.055227010617396315,0.8400149077608209,3,2007
07,0.05068009300297767,0.91584933116188,3,2007
08,0.06530990466372133,0.8729801061392151,3,2007
09,0.052285454420988114,0.882462648553365,3,2007
10,0.06128110643214388,0.8721561074589742,3,2007
11,0.0515076512786683,0.8849322002248843,3,2007
12,0.06322671113087933,0.9106815802634612,3,2007
13,0.07058128164086737,0.8662608314283254,3,2007
14,0.06477041515986545,0.9086397564238047,3,2007
15,0.05348191341153237,0.906320505877984,3,2007
