region_id,ep,ec,N_candidates,year
1,0.09006160739555896,0.7806442527233851,2,2021
2,0.08411368635032225,0.7326428281102393,2,2021
3,0.08237083838252723,0.6905238883581569,2,2021
4,0.0771571119006429,0.7850665676633808,2,2021
5,0.09274798026689658,0.840037003484901,2,2021
6,0.06641032570235998,0.8071719997085471,2,2021
7,0.08008301938579729,0.7973579064324043,2,2021
8,0.08718862468391858,0.796693019998604,2,2021
9,0.08544565042912629,0.7958709418931644,2,2021
10,0.07756020697472135,0.8132986214261357,2,2021
11,0.07299666215269687,0.8451919722337711,2,2021
12,0.07190598407508529,0.8813586656264156,2,2021
13,0.1077294795947262,0.8285577618247462,2,2021
14,0.08728297610738459,0.8458576075222286,2,2021
15,0.05912727418772145,0.7696831565285606,2,2021
16,0.07397570084047528,0.7929804590370879,2,2021
1,0.08202886678682657,0.8852072116124259,3,2021
2,0.08049019888288395,0.8820640096046289,3,2021
3,0.08698838490783749,0.8532181922842013,3,2021
4,0.07508269645355846,0.8873922108636073,3,2021
5,0.07727754948278537,0.8669644004949659,3,2021
6,0.06661991676305262,0.869800980808594,3,2021
7,0.07136160246655437,0.8536920789538127,3,2021
8,0.0784839963480421,0.8747589608185672,3,2021
9,0.07214462561308195,0.8208073877282762,3,2021
10,0.07058754654841255,0.8672070433127299,3,2021
11,0.06689524576744664,0.8734283924621705,3,2021
12,0.059259007932181994,0.8764654661883046,3,2021
13,0.08731042269681644,0.8169949710217304,3,2021
14,0.07256857946751072,0.8615909855151868,3,2021
15,0.05154167743451889,0.9108372943285393,3,2021
16,0.06257597718904065,0.8383307137039995,3,2021
1,0.0676398934703286,0.8612129867501975,4,2021
2,0.06531924707201141,0.8609952516142441,4,2021
3,0.07256583291643337,0.8563959139931487,4,2021
4,0.06344794628343908,0.8933409282506997,4,2021
5,0.06681925008959054,0.8781378034795132,4,2021
6,0.0554502809099163,0.9041458410199033,4,2021
7,0.0598537548003754,0.8870609483881702,4,2021
8,0.06618983133095808,0.8774884594595266,4,2021
9,0.06071118344752948,0.8421779932493983,4,2021
10,0.061212897785570604,0.8772108452159044,4,2021
11,0.05553742477678961,0.8789338712759599,4,2021
12,0.048838464905061114,0.8671959574023809,4,2021
13,0.0856282520523132,0.847809920393914,4,2021
14,0.059235092930279995,0.8681652855732815,4,2021
15,0.04276898194441655,0.8750108520981306,4,2021
16,0.05282936711180601,0.8716685908507555,4,2021
1,0.057055182866652634,0.8572066600310201,5,2021
2,0.05496109380712341,0.860090057778345,5,2021
3,0.06571455355820133,0.8647378609482347,5,2021
4,0.05523604748864125,0.8919119384474117,5,2021
5,0.056574181651674015,0.8798156718325197,5,2021
6,0.049039367228176374,0.900267940709974,5,2021
7,0.05122279931664117,0.8873088611639517,5,2021
8,0.05617956056878342,0.8760106886419667,5,2021
9,0.0517891995451966,0.851784849002949,5,2021
10,0.05341270148636437,0.8752598207935411,5,2021
11,0.04787855921247021,0.8773106961236348,5,2021
12,0.04286566237082443,0.8739808324816656,5,2021
13,0.07176137695264456,0.8609482623701905,5,2021
14,0.050745579801365494,0.8696618971763548,5,2021
15,0.03672730956801888,0.8674832405572941,5,2021
16,0.04554728678910584,0.8732244227872641,5,2021
1,0.0492584057595014,0.8511550011192148,6,2021
2,0.04734705226304831,0.8535676572381639,6,2021
3,0.056131344357606416,0.85542364983428,6,2021
4,0.047643636969287986,0.8760588692686069,6,2021
5,0.04885570563855803,0.8686213928556441,6,2021
6,0.042247183080023336,0.8817954882411998,6,2021
7,0.04398923339353392,0.8720746323059568,6,2021
8,0.04833610811995721,0.8642504155544877,6,2021
9,0.044538578186190204,0.8469537747314303,6,2021
10,0.04588679701380118,0.8636057653801085,6,2021
11,0.041351820553557614,0.8655858634348557,6,2021
12,0.03726961771692245,0.8643641155109529,6,2021
13,0.061551259342377825,0.8552323472064962,6,2021
14,0.043739349209560005,0.8600308335092753,6,2021
15,0.03174395636897778,0.859231780468829,6,2021
16,0.03926921169706825,0.8622632909745023,6,2021
1,0.0492584057595014,0.8511550011192148,7,2021
2,0.04734705226304831,0.8535676572381639,7,2021
3,0.056131344357606416,0.85542364983428,7,2021
4,0.047643636969287986,0.8760588692686069,7,2021
5,0.048855705638558025,0.8686213928556441,7,2021
6,0.042247183080023336,0.8817954882411998,7,2021
7,0.04398923339353392,0.8720746323059568,7,2021
8,0.04833610811995721,0.8642504155544875,7,2021
9,0.044538578186190204,0.8469537747314302,7,2021
10,0.04588679701380118,0.8636057653801085,7,2021
11,0.041351820553557614,0.8655858634348556,7,2021
12,0.03726961771692245,0.8643641155109529,7,2021
13,0.06155125934237782,0.8552323472064962,7,2021
14,0.043739349209560005,0.8600308335092752,7,2021
15,0.03174395636897778,0.859231780468829,7,2021
16,0.03926921169706825,0.8622632909745023,7,2021
