candidate,value,cumulative,N_candidates,year
MICHELLE BACHELET JERIA,3075839.0,0.4670404907036464,1,2013
EVELYN MATTHEI FORNET,1648481.0,0.7173485774258831,2,2013
MARCO ENRIQUEZ-OMINAMI GUMUCIO,723542.0,0.8272123936804717,3,2013
FRANCO ALDO PARISI FERNANDEZ,666015.0,0.928341214927614,4,2013
MARCEL CLAUDE REYES,185072.0,0.9564428540886707,5,2013
ALFREDO SFEIR YOUNIS,154648.0,0.9799248626744054,6,2013
ROXANA MIRANDA MENESES,81873.0,0.9923565946653774,7,2013
RICARDO ISRAEL ZIPPER,37744.0,0.998087706170602,8,2013
TOMAS JOCELYN-HOLT LETELIER,12594.0,1.0,9,2013
