region_id,within,between,value,N_candidates
1,0.10462216008170201,0.8358468274485991,0.9404689875303011,2
2,0.11615881912993714,0.7899422933711009,0.9061011125010381,2
3,0.11439378384876789,0.7420488243945129,0.8564426082432808,2
4,0.14517103747944005,0.7178812999079485,0.8630523373873885,2
5,0.14971329734204575,0.7871896336065191,0.9369029309485648,2
6,0.11421840259354468,0.7562722563577946,0.8704906589513393,2
7,0.11938483458084778,0.7196987652890565,0.8390835998699043,2
8,0.1336967826504976,0.7586821557352317,0.8923789383857292,2
9,0.12039254404573638,0.7742707043945265,0.8946632484402629,2
10,0.1273635030019215,0.7474865737272591,0.8748500767291807,2
11,0.11129846650863878,0.7689136955257843,0.880212162034423,2
12,0.10476632566989316,0.7642119483866627,0.8689782740565559,2
13,0.17633527460270837,0.7733137592875035,0.9496490338902118,2
14,0.120765656518585,0.7443335541818598,0.8650992107004447,2
15,0.08567798601853624,0.8356431827464941,0.9213211687650303,2
16,0.09874992428555042,0.7594320904942288,0.8581820147797792,2
1,0.07566585785043221,0.8480987162460849,0.9237645740965171,3
2,0.08324656249241871,0.8245592623423745,0.9078058248347932,3
3,0.08123828534906553,0.7694261424215061,0.8506644277705716,3
4,0.09972659479545173,0.7446275318587912,0.8443541266542429,3
5,0.10367286883726524,0.7860187480030721,0.8896916168403374,3
6,0.07911171607964382,0.7570314297966162,0.83614314587626,3
7,0.08309430980406773,0.7314226913771449,0.8145170011812126,3
8,0.09284771263971425,0.7656420131852603,0.8584897258249745,3
9,0.08314449796688049,0.7510025236244683,0.8341470215913488,3
10,0.0883676583712421,0.7420954621452938,0.8304631205165358,3
11,0.077546164334692,0.752278315859834,0.8298244801945259,3
12,0.07457984145697481,0.7889440609763052,0.86352390243328,3
13,0.1216148866515391,0.7905467888809042,0.9121616755324433,3
14,0.08413369311428233,0.7399597745558091,0.8240934676700914,3
15,0.06263317084638445,0.8221782256212666,0.8848113964676511,3
16,0.06885946201290016,0.7396100779748433,0.8084695399877435,3
1,0.061964887928328716,0.8483795618622764,0.910344449790605,4
2,0.06614768012542442,0.8290708309688954,0.8952185110943198,4
3,0.06302707941337628,0.7897882755761443,0.8528153549895205,4
4,0.0769029484996335,0.7684474922058409,0.8453504407054744,4
5,0.08125274894064426,0.8084993600395831,0.8897521089802274,4
6,0.06161102546709685,0.7781050776620313,0.8397161031291281,4
7,0.06499035001312951,0.7571550834263621,0.8221454334394915,4
8,0.07251878994034222,0.7896558318133647,0.862174621753707,4
9,0.06550766826248429,0.7714617034707831,0.8369693717332675,4
10,0.06883312159519768,0.7697025186419977,0.8385356402371954,4
11,0.06203880233700797,0.7766769366938706,0.8387157390308786,4
12,0.058364331848291914,0.799461490242538,0.8578258220908299,4
13,0.09657470079793376,0.7950602335655186,0.8916349343634523,4
14,0.06654437175889326,0.7739317891062344,0.8404761608651277,4
15,0.05026645892361727,0.8231225867969424,0.8733890457205596,4
16,0.05532619609167129,0.7641760657002401,0.8195022617919114,4
1,0.051198087697067754,0.8359373185691272,0.887135406266195,5
2,0.05476788729231897,0.8210311995211712,0.8757990868134902,5
3,0.052547717266562585,0.7948037857071952,0.8473515029737578,5
4,0.06308050755245957,0.7791207766810468,0.8422012842335064,5
5,0.0677256304863085,0.8116239499323066,0.8793495804186151,5
6,0.05109078331449618,0.7872717587630095,0.8383625420775056,5
7,0.05387507556309391,0.7713843296709606,0.8252594052340545,5
8,0.05962801336309552,0.7944298046267781,0.8540578179898737,5
9,0.0539843758155703,0.7820443964438097,0.83602877225938,5
10,0.05730555172360356,0.7823226901655373,0.8396282418891409,5
11,0.051367644256924146,0.7869410433646844,0.8383086876216086,5
12,0.048519843293314026,0.8013340994003958,0.8498539426937098,5
13,0.08119098283003659,0.8007665491373889,0.8819575319674254,5
14,0.05523400009620097,0.7886752135921917,0.8439092136883927,5
15,0.04199009577281326,0.8175462262398495,0.8595363220126628,5
16,0.04603638422606564,0.7783488625283793,0.8243852467544449,5
1,0.0441559016015073,0.8358426082735513,0.8799985098750586,6
2,0.04754074937136047,0.8246100788738738,0.8721508282452343,6
3,0.04514536567823847,0.8054876492752288,0.8506330149534672,6
4,0.05430902073021348,0.7937775122204265,0.84808653295064,6
5,0.0585517887746409,0.8175882531919911,0.8761400419666321,6
6,0.04422859045289836,0.8005425321276555,0.8447711225805539,6
7,0.04728175164974791,0.7884244426161497,0.8357061942658977,6
8,0.05166945673417737,0.8056656753291805,0.8573351320633579,6
9,0.047209922237416976,0.7967780840977217,0.8439880063351386,6
10,0.0495595476546029,0.7964917439297637,0.8460512915843666,6
11,0.04426505788508055,0.8006518997894814,0.8449169576745619,6
12,0.041749545006917944,0.810925257610643,0.852674802617561,6
13,0.07058112424412434,0.8095489434256351,0.8801300676697594,6
14,0.04793229677042408,0.8015643977959115,0.8494966945663356,6
15,0.03682887696259574,0.8231296336212269,0.8599585105838227,6
16,0.040885487957889745,0.7948376275315898,0.8357231154894795,6
1,0.03884051886504583,0.8405716432046746,0.8794121620697204,7
2,0.04160410957496187,0.831812008430564,0.8734161180055259,7
3,0.039590278027112936,0.8173533305015288,0.8569436085286417,7
4,0.047441655182721136,0.8078440527803755,0.8552857079630967,7
5,0.05128267781710971,0.8254816321695636,0.8767643099866733,7
6,0.03873172810600497,0.8136760372717851,0.8524077653777901,7
7,0.04216712655138015,0.8037806981558228,0.8459478247072029,7
8,0.04522874279660225,0.8174232188499253,0.8626519616465276,7
9,0.04133352521892637,0.8109355591136397,0.8522690843325661,7
10,0.04332124596270047,0.8103177727238482,0.8536390186865487,7
