latitude,longitude,department
46.10033921042736,5.348301380780345,Ain
49.561295041749766,3.559607085475285,Aisne
46.39342376552251,3.1877624644889924,Allier
44.1063133403771,6.2450828714728175,Alpes-de-Haute-Provence
44.663679295420565,6.26455869410706,Hautes-Alpes
43.93895997618185,7.116668529683799,Alpes-Maritimes
44.75326629328001,4.4261140562736525,Ardèche
49.61638992328017,4.64019702311536,Ardennes
42.921251461838985,1.503600788472962,Ariège
48.30454403149784,4.160936882619775,Aube
43.10354936826922,2.412201348172259,Aude
44.281266824250835,2.6777877663574783,Aveyron
43.54523249609228,5.0848894460677965,Bouches-du-Rhône
49.10005340807787,-0.3607670877183578,Calvados
45.05176663103036,2.6687789849783834,Cantal
45.71869910177191,0.20236617493077275,Charente
45.78064619661461,-0.6762452808595089,Charente-Maritime
47.06566280648547,2.4922714967831974,Cher
45.35773131479268,1.8773993701294982,Corrèze
47.425482945595085,4.771212209893976,Côte-d'Or
48.440506056060244,-2.865489111729644,Côtes-d'Armor
46.090301889640855,2.0179775228083963,Creuse
45.1049573445256,0.7412153893249444,Dordogne
47.16555401845241,6.362806454949332,Doubs
44.68521721447172,5.167064965566965,Drôme
49.11432420450213,0.9964339342374012,Eure
48.388261267978905,1.3697713030271352,Eure-et-Loir
48.26094287772043,-4.060307735910041,Finistère
41.86358634515414,8.989278224951022,Corse-du-Sud
42.394581284329675,9.206882405753671,Haute-Corse
43.99357156414038,4.180296557875161,Gard
43.35887376873256,1.1732952559705718,Haute-Garonne
43.69267883379781,0.4529307715606638,Gers
44.824696434027,-0.5751166345344714,Gironde
43.579246037333455,3.3680948538769226,Hérault
48.1549797596142,-1.6373711334271657,Ille-et-Vilaine
46.77816237026599,1.5766498171886318,Indre
47.25826380987239,0.6909899209855274,Indre-et-Loire
45.26381925427885,5.574934131430133,Isère
46.729781857279775,5.697559532896719,Jura
43.96580052901434,-0.7836806238386119,Landes
47.616948231557124,1.4289161038584584,Loir-et-Cher
45.72762637234974,4.165289916775771,Loire
45.12770048629657,3.8063983223622873,Haute-Loire
47.362737616925294,-1.6788634049150724,Loire-Atlantique
47.912531877081285,2.3442538246312963,Loiret
44.62487464782095,1.6053337627830755,Lot
44.36738600000181,0.4606313183501133,Lot-et-Garonne
44.517231996320504,3.499083370053427,Lozère
47.39054771986187,-0.5590059524807585,Maine-et-Loire
49.08140184314881,-1.3294359328255774,Manche
48.94959779489122,4.239182491779717,Marne
48.10994717576944,5.225384381881191,Haute-Marne
48.14727655262512,-0.6567226960768359,Mayenne
48.7880783249274,6.162211798862293,Meurthe-et-Moselle
48.99162113829417,5.3812596955703444,Meuse
47.84746506642807,-2.8111531842178685,Morbihan
49.03762396626859,6.6602856952362375,Moselle
47.115562940336794,3.504336826074459,Nièvre
50.447580294302185,3.2156908080348887,Nord
49.41014763008338,2.4257426690912878,Oise
48.62295281388256,0.12750035475091778,Orne
50.49427195415472,2.2854811470187717,Pas-de-Calais
45.72596088919613,3.1404207662325043,Puy-de-Dôme
43.25620586134095,-0.7621431762801052,Pyrénées-Atlantiques
43.053760524449785,0.1637990940525083,Hautes-Pyrénées
42.60015642083168,2.5211763417013837,Pyrénées-Orientales
48.67140330187118,7.552207561200868,Bas-Rhin
47.85926175183502,7.273441680643591,Haut-Rhin
45.87129389873653,4.6411094896456895,Rhône
47.64142096009607,6.087434969373021,Haute-Saône
46.644806337087154,4.543208852801591,Saône-et-Loire
47.994857170677726,0.2231130081790476,Sarthe
45.47787994691807,6.4428705617524615,Savoie
46.03503110786278,6.4279957045281835,Haute-Savoie
48.85632177351553,2.343894609675657,Paris
49.65529876982817,1.027238420207603,Seine-Maritime
48.62748302302933,2.9339806418574397,Seine-et-Marne
48.815414331503554,1.8416344335671757,Yvelines
46.55704886626993,-0.3180876988965846,Deux-Sèvres
49.95824482884582,2.2760516496765177,Somme
43.78559108021644,2.1656140543782265,Tarn
44.085988219537285,1.2810566610142482,Tarn-et-Garonne
43.44262353783708,6.244528732521121,Var
44.00651570167956,5.177618567729382,Vaucluse
46.675052189261166,-1.2979019315871763,Vendée
46.56494342163648,0.45900311021569423,Vienne
45.892549618986195,1.23394303575761,Haute-Vienne
48.19611720188157,6.3807769383801265,Vosges
47.840093119668914,3.5631359187560028,Yonne
47.63206681460961,6.9272190883605935,Territoire de Belfort
48.521969819847655,2.2427504955451396,Essonne
48.848208410061204,2.245533354893397,Hauts-de-Seine
48.91750115088459,2.4779200107683166,Seine-Saint-Denis
48.77699435311498,2.4683267069717543,Val-de-Marne
49.08286794195988,2.1306821420569007,Val-d'Oise
