polling_id,divisiveness_daciolo,divisiveness_ciro,divisiveness_haddad,divisiveness_alckmin,divisiveness_meirelles,divisiveness_bolsonaro,divisiveness_amoedo,rate_daciolo,rate_ciro,rate_haddad,rate_alckmin,rate_meirelles,rate_bolsonaro,rate_amoedo,value_daciolo,value_ciro,value_haddad,value_alckmin,value_meirelles,value_bolsonaro,value_amoedo,candidate,value,rate
AC-ACRELÂNDIA-8,,,,,,,,0.002644336712208021,0.03922432789775231,0.16600558248861466,0.08050536212722198,0.008961363302482738,0.7016306743058616,0.001028353165858675,18,267,1130,548,61,4776,7,FERNANDO HADDAD,1300,0.20108275328692962
AC-ACRELÂNDIA-8,,,,,,,,0.002644336712208021,0.03922432789775231,0.16600558248861466,0.08050536212722198,0.008961363302482738,0.7016306743058616,0.001028353165858675,18,267,1130,548,61,4776,7,JAIR MESSIAS BOLSONARO,5165,0.7989172467130704
AC-ASSIS BRASIL-6,,,,,,,,0.00676779463243874,0.022870478413068846,0.4219369894982497,0.08051341890315053,0.009334889148191364,0.456242707117853,0.002333722287047841,29,98,1808,345,40,1955,10,FERNANDO HADDAD,1660,0.4157275231655397
AC-ASSIS BRASIL-6,,,,,,,,0.00676779463243874,0.022870478413068846,0.4219369894982497,0.08051341890315053,0.009334889148191364,0.456242707117853,0.002333722287047841,29,98,1808,345,40,1955,10,JAIR MESSIAS BOLSONARO,2333,0.5842724768344603
AC-BRASILÉIA-6,,,,,,,,0.004791184221033299,0.03218078735127366,0.26151880539806754,0.07985307035055497,0.011977960552583248,0.6075221592270222,0.0021560328994649843,60,403,3275,1000,150,7608,27,FERNANDO HADDAD,3208,0.2691500964846044
AC-BRASILÉIA-6,,,,,,,,0.004791184221033299,0.03218078735127366,0.26151880539806754,0.07985307035055497,0.011977960552583248,0.6075221592270222,0.0021560328994649843,60,403,3275,1000,150,7608,27,JAIR MESSIAS BOLSONARO,8711,0.7308499035153956
AC-BUJARI-9,,,,,,,,0.0059626549505727286,0.04723050368743135,0.1779381766828809,0.0968146869606151,0.020555468382237565,0.6496155656676604,0.0018829436686019143,38,301,1134,617,131,4140,12,FERNANDO HADDAD,1274,0.21411764705882352
AC-BUJARI-9,,,,,,,,0.0059626549505727286,0.04723050368743135,0.1779381766828809,0.0968146869606151,0.020555468382237565,0.6496155656676604,0.0018829436686019143,38,301,1134,617,131,4140,12,JAIR MESSIAS BOLSONARO,4676,0.7858823529411765
AC-CAPIXABA-2,,,,,,,,0.004032258064516129,0.04325513196480939,0.18181818181818182,0.11290322580645161,0.01906158357771261,0.6385630498533724,0.00036656891495601173,22,236,992,616,104,3484,2,FERNANDO HADDAD,1086,0.21802850833166032
AC-CAPIXABA-2,,,,,,,,0.004032258064516129,0.04325513196480939,0.18181818181818182,0.11290322580645161,0.01906158357771261,0.6385630498533724,0.00036656891495601173,22,236,992,616,104,3484,2,JAIR MESSIAS BOLSONARO,3895,0.7819714916683397
AC-CRUZEIRO DO SUL-4,0.0031081772834342,0.0074091627128367,0.1564942141823721,0.0265861457090692,0.012821408403846,0.1473559212652855,0.0102634809283902,0.006198835943784602,0.0575639994321677,0.15269956939383902,0.09669710878720485,0.03442483319926182,0.649576491742772,0.002839161500970047,262,2433,6454,4087,1455,27455,120,FERNANDO HADDAD,7818,0.2006416014371872
AC-CRUZEIRO DO SUL-4,0.0031081772834342,0.0074091627128367,0.1564942141823721,0.0265861457090692,0.012821408403846,0.1473559212652855,0.0102634809283902,0.006198835943784602,0.0575639994321677,0.15269956939383902,0.09669710878720485,0.03442483319926182,0.649576491742772,0.002839161500970047,262,2433,6454,4087,1455,27455,120,JAIR MESSIAS BOLSONARO,31147,0.7993583985628128
AC-EPITACIOLÂNDIA-6,,,,,,,,0.005019845902404857,0.03724025215970114,0.22414195657249592,0.07004436142890497,0.010740135419098762,0.6498949334578566,0.0029185150595377072,43,319,1920,600,92,5567,25,FERNANDO HADDAD,2026,0.24380264741275573
AC-EPITACIOLÂNDIA-6,,,,,,,,0.005019845902404857,0.03724025215970114,0.22414195657249592,0.07004436142890497,0.010740135419098762,0.6498949334578566,0.0029185150595377072,43,319,1920,600,92,5567,25,JAIR MESSIAS BOLSONARO,6284,0.7561973525872443
AC-FEIJÓ-7,,,,,,,,0.003163160217743122,0.029792555539208475,0.47204649109901425,0.0795203766367515,0.005517139914668236,0.40907753420626747,0.0008827423863469177,43,405,6417,1081,75,5561,12,FERNANDO HADDAD,5256,0.4549861495844875
AC-FEIJÓ-7,,,,,,,,0.003163160217743122,0.029792555539208475,0.47204649109901425,0.0795203766367515,0.005517139914668236,0.40907753420626747,0.0008827423863469177,43,405,6417,1081,75,5561,12,JAIR MESSIAS BOLSONARO,6296,0.5450138504155124
AC-JORDÃO-5,,,,,,,,0.0017873100983020554,0.04974679773607388,0.4992552874590408,0.1126005361930295,0.014298480786416443,0.32201370271075364,0.0002978850163836759,6,167,1676,378,48,1081,1,FERNANDO HADDAD,1415,0.507168458781362
AC-JORDÃO-5,,,,,,,,0.0017873100983020554,0.04974679773607388,0.4992552874590408,0.1126005361930295,0.014298480786416443,0.32201370271075364,0.0002978850163836759,6,167,1676,378,48,1081,1,JAIR MESSIAS BOLSONARO,1375,0.492831541218638
AC-MANOEL URBANO-3,,,,,,,,0.005483658697082693,0.04430796227242816,0.3772757183592893,0.10923448124588725,0.02939241061636324,0.43408642246106605,0.00021934634788330776,25,202,1720,498,134,1979,1,FERNANDO HADDAD,1621,0.41617458279845954
AC-MANOEL URBANO-3,,,,,,,,0.005483658697082693,0.04430796227242816,0.3772757183592893,0.10923448124588725,0.02939241061636324,0.43408642246106605,0.00021934634788330776,25,202,1720,498,134,1979,1,JAIR MESSIAS BOLSONARO,2274,0.5838254172015405
AC-MARECHAL THAUMATURGO-4,,,,,,,,0.0019310754604872252,0.04827688651218063,0.4229055258467023,0.18850267379679145,0.043969102792632206,0.2944147355912062,0.0,13,325,2847,1269,296,1982,0,FERNANDO HADDAD,2451,0.4902980596119224
AC-MARECHAL THAUMATURGO-4,,,,,,,,0.0019310754604872252,0.04827688651218063,0.4229055258467023,0.18850267379679145,0.043969102792632206,0.2944147355912062,0.0,13,325,2847,1269,296,1982,0,JAIR MESSIAS BOLSONARO,2548,0.5097019403880776
AC-MÂNCIO LIMA-4,,,,,,,,0.0027430326969497478,0.03664691683124863,0.3032696949747641,0.11904761904761904,0.026881720430107527,0.510642966864165,0.0007680491551459293,25,334,2764,1085,245,4654,7,FERNANDO HADDAD,2334,0.30877100145521896
AC-MÂNCIO LIMA-4,,,,,,,,0.0027430326969497478,0.03664691683124863,0.3032696949747641,0.11904761904761904,0.026881720430107527,0.510642966864165,0.0007680491551459293,25,334,2764,1085,245,4654,7,JAIR MESSIAS BOLSONARO,5225,0.691228998544781
AC-PLÁCIDO DE CASTRO-8,,,,,,,,0.00875369296421928,0.057664952401794506,0.1600831600831601,0.12178575336470074,0.011708064339643286,0.6380347959295327,0.001969580916949338,80,527,1463,1113,107,5831,18,FERNANDO HADDAD,1837,0.2195267686424474
AC-PLÁCIDO DE CASTRO-8,,,,,,,,0.00875369296421928,0.057664952401794506,0.1600831600831601,0.12178575336470074,0.011708064339643286,0.6380347959295327,0.001969580916949338,80,527,1463,1113,107,5831,18,JAIR MESSIAS BOLSONARO,6531,0.7804732313575525
AC-PORTO ACRE-1,,,,,,,,0.006214396685655101,0.035629207664422576,0.2040393578456758,0.11248058001035732,0.01605385810460901,0.6246504401864319,0.0009321595028482652,60,344,1970,1086,155,6031,9,FERNANDO HADDAD,2059,0.22358562276034313
AC-PORTO ACRE-1,,,,,,,,0.006214396685655101,0.035629207664422576,0.2040393578456758,0.11248058001035732,0.01605385810460901,0.6246504401864319,0.0009321595028482652,60,344,1970,1086,155,6031,9,JAIR MESSIAS BOLSONARO,7150,0.7764143772396569
AC-PORTO WALTER-4,,,,,,,,0.00781788916992412,0.03564037709818349,0.36238215681765923,0.14072200505863416,0.08024833295010347,0.3731892389054955,0.0,34,155,1576,612,349,1623,0,FERNANDO HADDAD,1208,0.3890499194847021
AC-PORTO WALTER-4,,,,,,,,0.00781788916992412,0.03564037709818349,0.36238215681765923,0.14072200505863416,0.08024833295010347,0.3731892389054955,0.0,34,155,1576,612,349,1623,0,JAIR MESSIAS BOLSONARO,1897,0.6109500805152979
AC-RIO BRANCO-1,0.0066891174759323,0.1143852957298578,0.0781997090793006,0.0321654261644922,0.023839996422984,0.1137564318112607,0.0042082021226374,0.010886166777715135,0.06251857926297985,0.11336169340372097,0.06328737635180155,0.011357695658859105,0.7304494900312645,0.008138998513658962,1062,6099,11059,6174,1108,71259,794,FERNANDO HADDAD,16552,0.17124293902211923
AC-RIO BRANCO-1,0.0066891174759323,0.1143852957298578,0.0781997090793006,0.0321654261644922,0.023839996422984,0.1137564318112607,0.0042082021226374,0.010886166777715135,0.06251857926297985,0.11336169340372097,0.06328737635180155,0.011357695658859105,0.7304494900312645,0.008138998513658962,1062,6099,11059,6174,1108,71259,794,JAIR MESSIAS BOLSONARO,80106,0.8287570609778808
AC-RIO BRANCO-9,0.0066891174759323,0.1143852957298578,0.0781997090793006,0.0321654261644922,0.023839996422984,0.1137564318112607,0.0042082021226374,0.014389168765743074,0.06726490344248531,0.11113560033585222,0.060841729638958855,0.009340890008396305,0.7280961376994123,0.008931570109151974,1371,6409,10589,5797,890,69373,851,FERNANDO HADDAD,16385,0.17330738394169848
AC-RIO BRANCO-9,0.0066891174759323,0.1143852957298578,0.0781997090793006,0.0321654261644922,0.023839996422984,0.1137564318112607,0.0042082021226374,0.014389168765743074,0.06726490344248531,0.11113560033585222,0.060841729638958855,0.009340890008396305,0.7280961376994123,0.008931570109151974,1371,6409,10589,5797,890,69373,851,JAIR MESSIAS BOLSONARO,78158,0.8266926160583015
AC-RODRIGUES ALVES-4,,,,,,,,0.0034851879512073688,0.034851879512073684,0.2579039083893453,0.1301966641772467,0.02937515558874782,0.5440627333831217,0.00012447099825740602,28,280,2072,1046,236,4371,1,FERNANDO HADDAD,1682,0.2610180012414649
AC-RODRIGUES ALVES-4,,,,,,,,0.0034851879512073688,0.034851879512073684,0.2579039083893453,0.1301966641772467,0.02937515558874782,0.5440627333831217,0.00012447099825740602,28,280,2072,1046,236,4371,1,JAIR MESSIAS BOLSONARO,4762,0.7389819987585351
AC-SANTA ROSA DO PURUS-3,,,,,,,,0.00249500998003992,0.036926147704590816,0.5538922155688623,0.15169660678642716,0.016467065868263474,0.23652694610778444,0.001996007984031936,5,74,1110,304,33,474,4,FERNANDO HADDAD,975,0.535126234906696
AC-SANTA ROSA DO PURUS-3,,,,,,,,0.00249500998003992,0.036926147704590816,0.5538922155688623,0.15169660678642716,0.016467065868263474,0.23652694610778444,0.001996007984031936,5,74,1110,304,33,474,4,JAIR MESSIAS BOLSONARO,847,0.4648737650933041
AC-SENA MADUREIRA-3,,,,,,,,0.0052173913043478265,0.04590250329380764,0.20110671936758892,0.09127799736495389,0.016706192358366272,0.6379446640316205,0.001844532279314888,99,871,3816,1732,317,12105,35,FERNANDO HADDAD,3711,0.23543966501712982
AC-SENA MADUREIRA-3,,,,,,,,0.0052173913043478265,0.04590250329380764,0.20110671936758892,0.09127799736495389,0.016706192358366272,0.6379446640316205,0.001844532279314888,99,871,3816,1732,317,12105,35,JAIR MESSIAS BOLSONARO,12051,0.7645603349828702
AC-SENADOR GUIOMARD-8,,,,,,,,0.00969281240679988,0.040262451535937965,0.15493587831792424,0.1032657321801372,0.013048016701461378,0.676260065612884,0.0025350432448553533,130,540,2078,1385,175,9070,34,FERNANDO HADDAD,2452,0.19308606976927317
AC-SENADOR GUIOMARD-8,,,,,,,,0.00969281240679988,0.040262451535937965,0.15493587831792424,0.1032657321801372,0.013048016701461378,0.676260065612884,0.0025350432448553533,130,540,2078,1385,175,9070,34,JAIR MESSIAS BOLSONARO,10247,0.8069139302307269
AC-TARAUACÁ-5,,,,,,,,0.004012216300377268,0.03946344092460626,0.4082879214324211,0.06994430804239775,0.01047966944128391,0.466974070303611,0.0008383735553027128,67,659,6818,1168,175,7798,14,FERNANDO HADDAD,5267,0.38845047569879787
AC-TARAUACÁ-5,,,,,,,,0.004012216300377268,0.03946344092460626,0.4082879214324211,0.06994430804239775,0.01047966944128391,0.466974070303611,0.0008383735553027128,67,659,6818,1168,175,7798,14,JAIR MESSIAS BOLSONARO,8292,0.6115495243012021
AC-XAPURI-2,,,,,,,,0.004954954954954955,0.040653153153153154,0.3921171171171171,0.06463963963963965,0.009234234234234234,0.4877252252252252,0.0006756756756756757,44,361,3482,574,82,4331,6,FERNANDO HADDAD,3400,0.40821227038059793
AC-XAPURI-2,,,,,,,,0.004954954954954955,0.040653153153153154,0.3921171171171171,0.06463963963963965,0.009234234234234234,0.4877252252252252,0.0006756756756756757,44,361,3482,574,82,4331,6,JAIR MESSIAS BOLSONARO,4929,0.5917877296194021
AL-ANADIA-48,,,,,,,,0.006834577901531452,0.06404252626249841,0.6605492975572712,0.02290849259587394,0.03936210606252373,0.20377167447158587,0.0025313251487153526,54,506,5219,181,311,1610,20,FERNANDO HADDAD,6182,0.7832256429747878
AL-ANADIA-48,,,,,,,,0.006834577901531452,0.06404252626249841,0.6605492975572712,0.02290849259587394,0.03936210606252373,0.20377167447158587,0.0025313251487153526,54,506,5219,181,311,1610,20,JAIR MESSIAS BOLSONARO,1711,0.21677435702521222
AL-ARAPIRACA-22,0.000234488124833,0.0083042343284539,0.0598063831169814,0.0006083812647666,0.0022278588061469,0.0495804369218702,0.002949681258605,0.008116065843872523,0.16100932127111017,0.3829349036598575,0.044256968069688325,0.02854353231933363,0.3674960716410624,0.00764313719507544,532,10554,25101,2901,1871,24089,501,FERNANDO HADDAD,37584,0.5684468442306819
AL-ARAPIRACA-22,0.000234488124833,0.0083042343284539,0.0598063831169814,0.0006083812647666,0.0022278588061469,0.0495804369218702,0.002949681258605,0.008116065843872523,0.16100932127111017,0.3829349036598575,0.044256968069688325,0.02854353231933363,0.3674960716410624,0.00764313719507544,532,10554,25101,2901,1871,24089,501,JAIR MESSIAS BOLSONARO,28533,0.431553155769318
AL-ARAPIRACA-55,0.000234488124833,0.0083042343284539,0.0598063831169814,0.0006083812647666,0.0022278588061469,0.0495804369218702,0.002949681258605,0.007788001850614301,0.17316095203824602,0.2972549221199815,0.04518583251940575,0.02536883771140698,0.4393409756849843,0.011900478075361126,303,6737,11565,1758,987,17093,463,FERNANDO HADDAD,19171,0.4914003024632815
AL-ARAPIRACA-55,0.000234488124833,0.0083042343284539,0.0598063831169814,0.0006083812647666,0.0022278588061469,0.0495804369218702,0.002949681258605,0.007788001850614301,0.17316095203824602,0.2972549221199815,0.04518583251940575,0.02536883771140698,0.4393409756849843,0.011900478075361126,303,6737,11565,1758,987,17093,463,JAIR MESSIAS BOLSONARO,19842,0.5085996975367185
AL-ATALAIA-6,0.0085972776620216,0.0138523401621451,0.2064492686566293,0.0106805484744959,0.0187761185789952,0.1613235664060383,0.0186051091143088,0.013474305384804524,0.07386279813130071,0.5411359724612737,0.051684288173100564,0.03663634128350135,0.280304893041554,0.002901401524465208,274,1502,11004,1051,745,5700,59,FERNANDO HADDAD,13524,0.682651052445611
AL-ATALAIA-6,0.0085972776620216,0.0138523401621451,0.2064492686566293,0.0106805484744959,0.0187761185789952,0.1613235664060383,0.0186051091143088,0.013474305384804524,0.07386279813130071,0.5411359724612737,0.051684288173100564,0.03663634128350135,0.280304893041554,0.002901401524465208,274,1502,11004,1051,745,5700,59,JAIR MESSIAS BOLSONARO,6287,0.31734894755438897
AL-BARRA DE SANTO ANTÔNIO-17,,,,,,,,0.015610888917559025,0.05534769707134563,0.5205779899367824,0.040252870597342276,0.027738356341117276,0.33647271319829697,0.003999483937556445,121,429,4035,312,215,2608,31,FERNANDO HADDAD,4923,0.6298618219037871
AL-BARRA DE SANTO ANTÔNIO-17,,,,,,,,0.015610888917559025,0.05534769707134563,0.5205779899367824,0.040252870597342276,0.027738356341117276,0.33647271319829697,0.003999483937556445,121,429,4035,312,215,2608,31,JAIR MESSIAS BOLSONARO,2893,0.3701381780962129
AL-BARRA DE SÃO MIGUEL-26,0.0068808821587218,0.0967380237172063,0.1382394087060612,0.0294829994339787,0.0108233287751424,0.1731337257322601,0.0009304133940623,0.01467197652483756,0.0813246698805282,0.3764409976944037,0.05659190945294487,0.02452316076294278,0.4412072940683295,0.005239991616013414,70,388,1796,270,117,2105,25,FERNANDO HADDAD,2346,0.4943109987357775
AL-BARRA DE SÃO MIGUEL-26,0.0068808821587218,0.0967380237172063,0.1382394087060612,0.0294829994339787,0.0108233287751424,0.1731337257322601,0.0009304133940623,0.01467197652483756,0.0813246698805282,0.3764409976944037,0.05659190945294487,0.02452316076294278,0.4412072940683295,0.005239991616013414,70,388,1796,270,117,2105,25,JAIR MESSIAS BOLSONARO,2400,0.5056890012642224
AL-BATALHA-29,0.0018187032801793,0.0024159640540353,0.0341284611662562,0.0099103493712692,0.0106111275759018,0.0320684822665243,0.0007838230714963,0.0034125676629795246,0.07284066839256295,0.6447399388091316,0.022240527182866558,0.024240997881854555,0.22746528594963522,0.0050600141209696395,29,619,5479,189,206,1933,43,FERNANDO HADDAD,6261,0.75135005400216
AL-BATALHA-29,0.0018187032801793,0.0024159640540353,0.0341284611662562,0.0099103493712692,0.0106111275759018,0.0320684822665243,0.0007838230714963,0.0034125676629795246,0.07284066839256295,0.6447399388091316,0.022240527182866558,0.024240997881854555,0.22746528594963522,0.0050600141209696395,29,619,5479,189,206,1933,43,JAIR MESSIAS BOLSONARO,2072,0.2486499459978399
AL-BELO MONTE-29,,,,,,,,0.00888642043876701,0.045542904748680925,0.7620105526242711,0.02027214662593724,0.03471257983893363,0.12496528742016107,0.0036101083032490976,32,164,2744,73,125,450,13,FERNANDO HADDAD,2928,0.8576449912126538
AL-BELO MONTE-29,,,,,,,,0.00888642043876701,0.045542904748680925,0.7620105526242711,0.02027214662593724,0.03471257983893363,0.12496528742016107,0.0036101083032490976,32,164,2744,73,125,450,13,JAIR MESSIAS BOLSONARO,486,0.14235500878734622
AL-BELÉM-28,0.0080323111878305,0.0451940899461828,0.153643622340186,0.0145127790722068,0.0102493092274231,0.0888514728038742,0.0079213890901188,0.007642922653622745,0.05013757260776521,0.6490369917456436,0.03362885967594008,0.04891470498318557,0.2054417609293794,0.005197187404463467,25,164,2123,110,160,672,17,FERNANDO HADDAD,2511,0.7859154929577464
