province,candidate,value,rate_x,votes,rate_y,divisiveness,voters,hhi,entropy,growth
ANTARTICA CHILENA,GABRIEL BORIC FONT,193.0,0.2111597374179431,279.0,0.34875,0.0657711886882589,2095,0.31424617786055953,1.452713555045647,0.1375902625820569
ANTARTICA CHILENA,JOSE ANTONIO KAST RIST,455.0,0.49781181619256015,521.0,0.65125,0.120654057555587,2095,0.31424617786055953,1.452713555045647,0.15343818380743984
ANTOFAGASTA,GABRIEL BORIC FONT,29852.0,0.22884389828819368,87451.0,0.6091641764013402,0.0525218527228965,312533,0.2097872356858471,1.6920324214844047,0.38032027811314656
ANTOFAGASTA,JOSE ANTONIO KAST RIST,28704.0,0.2200433892692051,56108.0,0.39083582359865976,0.0639422647035237,312533,0.2097872356858471,1.6920324214844047,0.17079243432945465
ARAUCO,GABRIEL BORIC FONT,9573.0,0.1537559628017539,31535.0,0.4169200666331738,0.0478275531630593,147120,0.24646349508463378,1.614254816311489,0.2631641038314199
ARAUCO,JOSE ANTONIO KAST RIST,25643.0,0.4118629639742375,44103.0,0.5830799333668262,0.1014523003173106,147120,0.24646349508463378,1.614254816311489,0.17121696939258868
ARICA,GABRIEL BORIC FONT,14874.0,0.18063027506223814,43678.0,0.5099472283192453,0.0410811685844064,183932,0.21908551102517043,1.6603339341601966,0.32931695325700716
ARICA,JOSE ANTONIO KAST RIST,24322.0,0.29536705325156354,41974.0,0.4900527716807547,0.0507788313070029,183932,0.21908551102517043,1.6603339341601966,0.19468571842919113
AYSEN,GABRIEL BORIC FONT,2726.0,0.23667303351276264,7902.0,0.5927981995498874,0.0571877897565638,28984,0.1987233282099263,1.7221054294902842,0.3561251660371248
AYSEN,JOSE ANTONIO KAST RIST,3228.0,0.2802569890606008,5428.0,0.4072018004501125,0.0665688434147045,28984,0.1987233282099263,1.7221054294902842,0.1269448113895117
BIOBIO,GABRIEL BORIC FONT,19559.0,0.13565493612240084,65257.0,0.3772102728917508,0.0426417706425081,347460,0.23275189443612485,1.6420353455473895,0.24155533676934995
BIOBIO,JOSE ANTONIO KAST RIST,55784.0,0.3868998904162794,107742.0,0.6227897271082492,0.0722459717148701,347460,0.23275189443612485,1.6420353455473895,0.23588983669196978
CACHAPOAL,GABRIEL BORIC FONT,64180.0,0.25227987421383646,178542.0,0.5880132790578192,0.0556931195324412,536985,0.18770540722281556,1.7595397394300498,0.33573340484398273
CACHAPOAL,JOSE ANTONIO KAST RIST,63263.0,0.2486753144654088,125094.0,0.41198672094218075,0.0508979315210438,536985,0.18770540722281556,1.7595397394300498,0.16331140647677195
CAPITAN PRAT,GABRIEL BORIC FONT,499.0,0.26276987888362296,1147.0,0.5239835541343079,0.0676707132494544,4712,0.22498274499951612,1.6354068146122407,0.2612136752506849
CAPITAN PRAT,JOSE ANTONIO KAST RIST,609.0,0.320695102685624,1042.0,0.4760164458656921,0.0838124345738861,4712,0.22498274499951612,1.6354068146122407,0.15532134318006807
CARDENAL CARO,GABRIEL BORIC FONT,5399.0,0.2388515307025305,15555.0,0.5450627233863621,0.0558640283412461,48580,0.1945895314810786,1.7286470905517413,0.30621119268383157
CARDENAL CARO,JOSE ANTONIO KAST RIST,5713.0,0.2527428773668377,12983.0,0.454937276613638,0.0447805114898047,48580,0.1945895314810786,1.7286470905517413,0.20219439924680027
CAUQUENES,GABRIEL BORIC FONT,3153.0,0.13591103064787274,9551.0,0.32204875746029604,0.0394112153628746,54965,0.27437577244624284,1.5504718980372205,0.1861377268124233
CAUQUENES,JOSE ANTONIO KAST RIST,10632.0,0.45829561619035303,20106.0,0.677951242539704,0.0530295075891088,54965,0.27437577244624284,1.5504718980372205,0.21965562634935093
CAUTIN,GABRIEL BORIC FONT,54317.0,0.17614572388475958,151533.0,0.4193884074737282,0.0543664321082877,687311,0.23480685908099827,1.6471292793824501,0.2432426835889686
CAUTIN,JOSE ANTONIO KAST RIST,122267.0,0.39650218572855456,209786.0,0.5806115925262718,0.0672613753840797,687311,0.23480685908099827,1.6471292793824501,0.18410940679771726
CHACABUCO,GABRIEL BORIC FONT,17341.0,0.21015318241310776,47800.0,0.4820200471935946,0.0743079243182535,171843,0.20813352084081527,1.7061881675318147,0.2718668647804868
CHACABUCO,JOSE ANTONIO KAST RIST,27145.0,0.3289665034659945,51366.0,0.5179799528064054,0.097163219560381,171843,0.20813352084081527,1.7061881675318147,0.18901344934041092
CHAÑARAL,GABRIEL BORIC FONT,2138.0,0.2251237232810361,7936.0,0.7442558379442934,0.0467976409494028,25081,0.21340193894628795,1.665958456684844,0.5191321146632573
CHAÑARAL,JOSE ANTONIO KAST RIST,1263.0,0.13298936506265135,2727.0,0.25574416205570666,0.0358711526360373,25081,0.21340193894628795,1.665958456684844,0.1227547969930553
CHILOE,GABRIEL BORIC FONT,14884.0,0.24211468076453843,43405.0,0.581298798698255,0.0610450587085413,162548,0.19183043418364554,1.7434919993130036,0.3391841179337165
CHILOE,JOSE ANTONIO KAST RIST,15635.0,0.2543310288735258,31264.0,0.41870120130174504,0.0556348260094871,162548,0.19183043418364554,1.7434919993130036,0.16437017242821922
CHOAPA,GABRIEL BORIC FONT,8580.0,0.2568477772788505,27267.0,0.6791282689912826,0.0544613508020111,79469,0.18971797702743323,1.7492994260849273,0.42228049171243215
CHOAPA,JOSE ANTONIO KAST RIST,6064.0,0.18152971112108965,12883.0,0.3208717310087173,0.0407968508492423,79469,0.18971797702743323,1.7492994260849273,0.13934201988762765
COLCHAGUA,GABRIEL BORIC FONT,18282.0,0.21113780200489676,57488.0,0.5391454402220806,0.0541379754887559,194738,0.18803296495229188,1.7521966516756986,0.3280076382171838
COLCHAGUA,JOSE ANTONIO KAST RIST,23373.0,0.2699334780801035,49140.0,0.4608545597779195,0.0467606623291313,194738,0.18803296495229188,1.7521966516756986,0.19092108169781602
CONCEPCION,GABRIEL BORIC FONT,88193.0,0.21751129570072805,253879.0,0.5294572770423017,0.0542702734235118,843030,0.19598430309336304,1.7368159974681316,0.3119459813415737
CONCEPCION,JOSE ANTONIO KAST RIST,118048.0,0.2911429868003078,225629.0,0.47054272295769833,0.0585938786012246,843030,0.19598430309336304,1.7368159974681316,0.17939973615739052
COPIAPO,GABRIEL BORIC FONT,14131.0,0.20744883877976453,47356.0,0.6280553308311561,0.0531070950161098,152356,0.1931391883726076,1.7316135318447756,0.42060649205139156
COPIAPO,JOSE ANTONIO KAST RIST,13840.0,0.20317684018908366,28045.0,0.3719446691688439,0.0523022464698083,152356,0.1931391883726076,1.7316135318447756,0.16876782897976023
CORDILLERA,GABRIEL BORIC FONT,75403.0,0.35761780998634085,177705.0,0.6937672021706456,0.0722287628566754,442640,0.21078493153058195,1.7249820100275788,0.33614939218430473
CORDILLERA,JOSE ANTONIO KAST RIST,39145.0,0.18565506905448476,78440.0,0.3062327978293545,0.051200696527082,442640,0.21078493153058195,1.7249820100275788,0.12057772877486972
COYHAIQUE,GABRIEL BORIC FONT,5862.0,0.25190150831507024,14686.0,0.5510280654359898,0.0556381913187509,55468,0.2082284252311735,1.6937278581095023,0.29912655712091957
COYHAIQUE,JOSE ANTONIO KAST RIST,6972.0,0.2996003609642903,11966.0,0.4489719345640102,0.0632462030066883,55468,0.2082284252311735,1.6937278581095023,0.14937157359971986
CURICO,GABRIEL BORIC FONT,22908.0,0.20042345447864354,72960.0,0.5277625068719076,0.0520839298363877,245535,0.19007158273819655,1.7536614333758676,0.3273390523932641
CURICO,JOSE ANTONIO KAST RIST,33349.0,0.2917723844686696,65284.0,0.4722374931280924,0.0564602954076943,245535,0.19007158273819655,1.7536614333758676,0.18046510865942278
DEL TAMARUGAL,GABRIEL BORIC FONT,1231.0,0.11108103230463816,4159.0,0.3895653802922443,0.0636982841533438,32455,0.2620569519645532,1.5420496889934794,0.27848434798760613
