nuts_2,ep,ec,N_candidates,year
ES43,0.05485613468325186,0.8209938645138999,14,2019
ES51,0.05013099274468256,0.8907433135256936,14,2019
ES52,0.04774892718830035,0.8878470470914908,14,2019
ES53,0.05554813810298794,0.8787977926674687,14,2019
ES61,0.06497536683745975,0.8442953334118339,14,2019
ES62,0.04339107622898386,0.8534890031951172,14,2019
ES63,0.08927500628253754,0.7688259072723025,14,2019
ES64,0.09180319920133655,0.7963490176536436,14,2019
ES70,0.04953669212280474,0.8843715832705425,14,2019
ES11,0.09032547965497305,0.6443230635723738,15,2019
ES12,0.040379336869189084,0.786567516421975,15,2019
ES13,0.04508121974125593,0.8778427662025137,15,2019
ES21,0.05828779808168226,0.794131915514068,15,2019
ES22,0.09184157436558002,0.5893451520767266,15,2019
ES23,0.039802263015151,0.8216596772846677,15,2019
ES24,0.07035411691558081,0.8382018597909253,15,2019
ES30,0.04761425314383761,0.861931233973997,15,2019
ES41,0.057361413611628054,0.8365161381512507,15,2019
ES42,0.05079507416477685,0.832249618607756,15,2019
ES43,0.05485613468325186,0.8209938645138999,15,2019
ES51,0.05013099274468256,0.8907433135256936,15,2019
ES52,0.04774892718830035,0.8878470470914908,15,2019
ES53,0.05554813810298794,0.8787977926674687,15,2019
ES61,0.06497536683745975,0.8442953334118339,15,2019
ES62,0.036910688231130764,0.8482126780043415,15,2019
ES63,0.08927500628253754,0.7688259072723025,15,2019
ES64,0.09180319920133655,0.7963490176536436,15,2019
ES70,0.043335888487793836,0.8734394437428339,15,2019
